date,value
-1735689600000,19.25
-1733011200000,19.25
-1730592000000,19.25
-1727913600000,19.25
-1725321600000,19.25
-1722643200000,19.25
-1720051200000,19.25
-1717372800000,19.25
-1714694400000,19.25
-1712102400000,19.25
-1709424000000,19.25
-1706832000000,19.25
-1704153600000,19.47
-1701475200000,19.47
-1698969600000,19.47
-1696291200000,19.47
-1693699200000,19.47
-1691020800000,19.47
-1688428800000,19.47
-1685750400000,19.47
-1683072000000,19.47
-1680480000000,19.47
-1677801600000,19.47
-1675209600000,19.47
-1672531200000,19.66
-1669852800000,19.66
-1667433600000,19.66
-1664755200000,19.66
-1662163200000,19.66
-1659484800000,19.66
-1656892800000,19.66
-1654214400000,19.66
-1651536000000,19.66
-1648944000000,19.66
-1646265600000,19.66
-1643673600000,19.66
-1640995200000,19.84
-1638316800000,19.84
-1635897600000,19.84
-1633219200000,19.84
-1630627200000,19.84
-1627948800000,19.84
-1625356800000,19.84
-1622678400000,19.84
-1620000000000,19.84
-1617408000000,19.84
-1614729600000,19.84
-1612137600000,19.84
-1609459200000,20.03
-1606780800000,20.03
-1604361600000,20.03
-1601683200000,20.03
-1599091200000,20.03
-1596412800000,20.03
-1593820800000,20.03
-1591142400000,20.03
-1588464000000,20.03
-1585872000000,20.03
-1583193600000,20.03
-1580601600000,20.03
-1577923200000,20.63
-1575244800000,20.63
-1572739200000,20.63
-1570060800000,20.63
-1567468800000,20.63
-1564790400000,20.63
-1562198400000,20.63
-1559520000000,20.63
-1556841600000,20.63
-1554249600000,20.63
-1551571200000,20.63
-1548979200000,20.63
-1546300800000,20.69
-1543622400000,20.69
-1541203200000,20.69
-1538524800000,20.69
-1535932800000,20.69
-1533254400000,20.69
-1530662400000,20.69
-1527984000000,20.69
-1525305600000,20.69
-1522713600000,20.69
-1520035200000,20.69
-1517443200000,20.69
-1514764800000,20.84
-1512086400000,20.84
-1509667200000,20.84
-1506988800000,20.84
-1504396800000,20.84
-1501718400000,20.84
-1499126400000,20.84
-1496448000000,20.84
-1493769600000,20.84
-1491177600000,20.84
-1488499200000,20.84
-1485907200000,20.84
-1483228800000,20.75
-1480550400000,20.75
-1478131200000,20.75
-1475452800000,20.75
-1472860800000,20.75
-1470182400000,20.75
-1467590400000,20.75
-1464912000000,20.75
-1462233600000,20.75
-1459641600000,20.75
-1456963200000,20.75
-1454371200000,20.75
-1451692800000,20.78
-1449014400000,20.78
-1446508800000,20.78
-1443830400000,20.78
-1441238400000,20.78
-1438560000000,20.78
-1435968000000,20.78
-1433289600000,20.78
-1430611200000,20.78
-1428019200000,20.78
-1425340800000,20.78
-1422748800000,20.78
-1420070400000,20.75
-1417392000000,20.75
-1414972800000,20.75
-1412294400000,20.75
-1409702400000,20.75
-1407024000000,20.75
-1404432000000,20.75
-1401753600000,20.75
-1399075200000,20.75
-1396483200000,20.75
-1393804800000,20.75
-1391212800000,20.75
-1388534400000,20.72
-1385856000000,20.72
-1383436800000,20.72
-1380758400000,20.72
-1378166400000,20.72
-1375488000000,20.72
-1372896000000,20.72
-1370217600000,20.72
-1367539200000,20.72
-1364947200000,20.72
-1362268800000,20.72
-1359676800000,20.72
-1356998400000,20.75
-1354320000000,20.75
-1351900800000,20.75
-1349222400000,20.75
-1346630400000,20.75
-1343952000000,20.75
-1341360000000,20.75
-1338681600000,20.75
-1336003200000,20.75
-1333411200000,20.75
-1330732800000,20.75
-1328140800000,20.75
-1325462400000,20.78
-1322784000000,20.78
-1320278400000,20.78
-1317600000000,20.78
-1315008000000,20.78
-1312329600000,20.78
-1309737600000,20.78
-1307059200000,20.78
-1304380800000,20.78
-1301788800000,20.78
-1299110400000,20.78
-1296518400000,20.78
-1293840000000,20.72
-1291161600000,20.72
-1288742400000,20.72
-1286064000000,20.72
-1283472000000,20.72
-1280793600000,20.72
-1278201600000,20.72
-1275523200000,20.72
-1272844800000,20.72
-1270252800000,20.72
-1267574400000,20.72
-1264982400000,20.72
-1262304000000,20.69
-1259625600000,20.69
-1257206400000,20.69
-1254528000000,20.69
-1251936000000,20.69
-1249257600000,20.69
-1246665600000,20.69
-1243987200000,20.69
-1241308800000,20.69
-1238716800000,20.69
-1236038400000,20.69
-1233446400000,20.69
-1230768000000,22.59
-1228089600000,22.59
-1225670400000,22.59
-1222992000000,22.59
-1220400000000,22.59
-1217721600000,22.59
-1215129600000,22.59
-1212451200000,22.59
-1209772800000,22.59
-1207180800000,22.59
-1204502400000,22.59
-1201910400000,22.59
-1199232000000,20.78
-1196553600000,20.78
-1194048000000,20.78
-1191369600000,20.78
-1188777600000,20.78
-1186099200000,20.78
-1183507200000,20.78
-1180828800000,20.78
-1178150400000,20.78
-1175558400000,20.78
-1172880000000,20.78
-1170288000000,20.78
-1167609600000,26.47
-1164931200000,26.47
-1162512000000,26.47
-1159833600000,26.47
-1157241600000,26.47
-1154563200000,26.47
-1151971200000,26.47
-1149292800000,26.47
-1146614400000,26.47
-1144022400000,26.47
-1141344000000,26.47
-1138752000000,26.47
-1136073600000,35
-1133395200000,35
-1130976000000,35
-1128297600000,35
-1125705600000,35
-1123027200000,35
-1120435200000,35
-1117756800000,35
-1115078400000,35
-1112486400000,35
-1109808000000,35
-1107216000000,35
-1104537600000,35
-1101859200000,35
-1099440000000,35
-1096761600000,35
-1094169600000,35
-1091491200000,35
-1088899200000,35
-1086220800000,35
-1083542400000,35
-1080950400000,35
-1078272000000,35
-1075680000000,35
-1073001600000,35
-1070323200000,35
-1067817600000,35
-1065139200000,35
-1062547200000,35
-1059868800000,35
-1057276800000,35
-1054598400000,35
-1051920000000,35
-1049328000000,35
-1046649600000,35
-1044057600000,35
-1041379200000,35
-1038700800000,35
-1036281600000,35
-1033603200000,35
-1031011200000,35
-1028332800000,35
-1025740800000,35
-1023062400000,35
-1020384000000,35
-1017792000000,35
-1015113600000,35
-1012521600000,35
-1009843200000,35
-1007164800000,35
-1004745600000,35
-1002067200000,35
-999475200000,35
-996796800000,35
-994204800000,35
-991526400000,35
-988848000000,35
-986256000000,35
-983577600000,35
-980985600000,35
-978307200000,34.69
-975628800000,34.69
-973209600000,34.69
-970531200000,34.69
-967939200000,34.69
-965260800000,34.69
-962668800000,34.69
-959990400000,34.69
-957312000000,34.69
-954720000000,34.69
-952041600000,34.69
-949449600000,34.69
-946771200000,34.06
-944092800000,34.06
-941587200000,34.06
-938908800000,34.06
-936316800000,34.06
-933638400000,34.06
-931046400000,34.06
-928368000000,34.06
-925689600000,34.06
-923097600000,34.06
-920419200000,34.06
-917827200000,34.06
-915148800000,34.06
-912470400000,34.06
-910051200000,34.06
-907372800000,34.06
-904780800000,34.06
-902102400000,34.06
-899510400000,34.06
-896832000000,34.06
-894153600000,34.06
-891561600000,34.06
-888883200000,34.06
-886291200000,34.06
-883612800000,34.06
-880934400000,34.06
-878515200000,34.06
-875836800000,34.06
-873244800000,34.06
-870566400000,34.06
-867974400000,34.06
-865296000000,34.06
-862617600000,34.06
-860025600000,34.06
-857347200000,34.06
-854755200000,34.06
-852076800000,34.06
-849398400000,34.06
-846979200000,34.06
-844300800000,34.06
-841708800000,34.06
-839030400000,34.06
-836438400000,34.06
-833760000000,34.06
-831081600000,34.06
-828489600000,34.06
-825811200000,34.06
-823219200000,34.06
-820540800000,34.06
-817862400000,34.06
-815356800000,34.06
-812678400000,34.06
-810086400000,34.06
-807408000000,34.06
-804816000000,34.06
-802137600000,34.06
-799459200000,34.06
-796867200000,34.06
-794188800000,34.06
-791596800000,34.06
-788918400000,35
-786240000000,35
-783820800000,35
-781142400000,35
-778550400000,35
-775872000000,35
-773280000000,35
-770601600000,35
-767923200000,35
-765331200000,35
-762652800000,35
-760060800000,35
-757382400000,35
-754704000000,35
-752284800000,35
-749606400000,35
-747014400000,35
-744336000000,35
-741744000000,35
-739065600000,35
-736387200000,35
-733795200000,35
-731116800000,35
-728524800000,35
-725846400000,35
-723168000000,35
-720748800000,35
-718070400000,35
-715478400000,35
-712800000000,35
-710208000000,35
-707529600000,35
-704851200000,35
-702259200000,35
-699580800000,35
-696988800000,35
-694310400000,35
-691632000000,35
-689126400000,35
-686448000000,35
-683856000000,35
-681177600000,35
-678585600000,35
-675907200000,35
-673228800000,35
-670636800000,35
-667958400000,35
-665366400000,35
-662688000000,31.88
-660009600000,31.88
-657590400000,31.88
-654912000000,31.88
-652320000000,31.88
-649641600000,31.88
-647049600000,31.88
-644371200000,31.88
-641692800000,31.88
-639100800000,31.88
-636422400000,31.88
-633830400000,31.88
-631152000000,35
-628473600000,35
-626054400000,35
-623376000000,35
-620784000000,35
-618105600000,35
-615513600000,35
-612835200000,35
-610156800000,35
-607564800000,35
-604886400000,35
-602294400000,35
-599616000000,35
-596937600000,35
-594518400000,35
-591840000000,35
-589248000000,35
-586569600000,35
-583977600000,35
-581299200000,35
-578620800000,35
-576028800000,35
-573350400000,35
-570758400000,35
-568080000000,34.69
-565401600000,34.69
-562896000000,34.69
-560217600000,34.69
-557625600000,34.69
-554947200000,34.69
-552355200000,34.69
-549676800000,34.69
-546998400000,34.69
-544406400000,34.69
-541728000000,34.69
-539136000000,34.69
-536457600000,35
-533779200000,35
-531360000000,35
-528681600000,35
-526089600000,35
-523411200000,35
-520819200000,35
-518140800000,35
-515462400000,35
-512870400000,35
-510192000000,35
-507600000000,35
-504921600000,35.31
-502243200000,35.31
-499824000000,35.31
-497145600000,35.31
-494553600000,35.31
-491875200000,35.31
-489283200000,35.31
-486604800000,35.31
-483926400000,35.31
-481334400000,35.31
-478656000000,35.31
-476064000000,35.31
-473385600000,35.31
-470707200000,35.31
-468288000000,35.31
-465609600000,35.31
-463017600000,35.31
-460339200000,35.31
-457747200000,35.31
-455068800000,35.31
-452390400000,35.31
-449798400000,35.31
-447120000000,35.31
-444528000000,35.31
-441849600000,35.31
-439171200000,35.31
-436665600000,35.31
-433987200000,35.31
-431395200000,35.31
-428716800000,35.31
-426124800000,35.31
-423446400000,35.31
-420768000000,35.31
-418176000000,35.31
-415497600000,35.31
-412905600000,35.31
-410227200000,35
-407548800000,35
-405129600000,35
-402451200000,35
-399859200000,35
-397180800000,35
-394588800000,35
-391910400000,35
-389232000000,35
-386640000000,35
-383961600000,35
-381369600000,35
-378691200000,35.31
-376012800000,35.31
-373593600000,35.31
-370915200000,35.31
-368323200000,35.31
-365644800000,35.31
-363052800000,35.31
-360374400000,35.31
-357696000000,35.31
-355104000000,35.31
-352425600000,35.31
-349833600000,35.31
-347155200000,35.31
-344476800000,35.31
-342057600000,35.31
-339379200000,35.31
-336787200000,35.31
-334108800000,35.31
-331516800000,35.31
-328838400000,35.31
-326160000000,35.31
-323568000000,35.31
-320889600000,35.31
-318297600000,35.31
-315619200000,35.31
-312940800000,35.31
-310435200000,35.31
-307756800000,35.31
-305164800000,35.31
-302486400000,35.31
-299894400000,35.31
-297216000000,35.31
-294537600000,35.31
-291945600000,35.31
-289267200000,35.31
-286675200000,35.31
-283996800000,35.31
-281318400000,35.31
-278899200000,35.31
-276220800000,35.31
-273628800000,35.31
-270950400000,35.31
-268358400000,35.31
-265680000000,35.31
-263001600000,35.31
-260409600000,35.31
-257731200000,35.31
-255139200000,35.31
-252460800000,35.31
-249782400000,35.31
-247363200000,35.31
-244684800000,35.31
-242092800000,35.31
-239414400000,35.31
-236822400000,35.31
-234144000000,35.31
-231465600000,35.31
-228873600000,35.31
-226195200000,35.31
-223603200000,35.31
-220924800000,35.31
-218246400000,35.31
-215827200000,35.31
-213148800000,35.31
-210556800000,35.31
-207878400000,35.31
-205286400000,35.31
-202608000000,35.31
-199929600000,35.31
-197337600000,35.31
-194659200000,35.31
-192067200000,35.31
-189388800000,35.31
-186710400000,35.31
-184204800000,35.31
-181526400000,35.31
-178934400000,35.31
-176256000000,35.31
-173664000000,35.31
-170985600000,35.31
-168307200000,35.31
-165715200000,35.31
-163036800000,35.31
-160444800000,35.31
-157766400000,35.31
-155088000000,35.31
-152668800000,35.31
-149990400000,35.31
-147398400000,35.31
-144720000000,35.31
-142128000000,35.31
-139449600000,35.31
-136771200000,35.31
-134179200000,35.31
-131500800000,35.31
-128908800000,35.31
-126230400000,35.31
-123552000000,35.31
-121132800000,35.31
-118454400000,35.31
-115862400000,35.31
-113184000000,35.31
-110592000000,35.31
-107913600000,35.31
-105235200000,35.31
-102643200000,35.31
-99964800000,35.31
-97372800000,35.31
-94694400000,35.31
-92016000000,35.31
-89596800000,35.31
-86918400000,35.31
-84326400000,35.31
-81648000000,35.31
-79056000000,35.31
-76377600000,35.31
-73699200000,35.31
-71107200000,35.31
-68428800000,35.31
-65836800000,35.31
-63158400000,40.31
-60480000000,40.31
-57974400000,40.31
-55296000000,39.1
-52704000000,42
-50025600000,40.95
-47433600000,38.9
-44755200000,39.85
-42076800000,39.7
-39484800000,39.2
-36806400000,39.85
-34214400000,41.95
-31536000000,42.55
-28857600000,42.78
-26438400000,43.1
-23760000000,43.6
-21168000000,43.15
-18489600000,41.23
-15897600000,41.45
-13219200000,40.95
-10540800000,40.65
-7948800000,39.85
-5270400000,35.55
-2678400000,35.21
0,34.98
2678400000,35
5097600000,35.3
7776000000,35.85
10368000000,35.5
13046400000,35.51
15638400000,35.29
18316800000,35.78
20995200000,36.24
23587200000,37.4
26265600000,37.6
28857600000,37.38
31536000000,38
34214400000,38.79
36633600000,38.8
39312000000,39.6
41904000000,40.8
44582400000,40.2
47174400000,42.48
49852800000,41
52531200000,42.48
55123200000,42.4
57801600000,43.55
60393600000,43.5
63072000000,46.95
65750400000,48.4
68256000000,48.38
70934400000,49.5
73526400000,59.3
76204800000,64.1
78796800000,68.9
81475200000,66.8
84153600000,64.1
86745600000,64.43
89424000000,63.6
92016000000,64.7
94694400000,66
97372800000,85.3
99792000000,90.25
102470400000,90.7
105062400000,114.5
107740800000,123.5
110332800000,115.2
113011200000,104
115689600000,100.25
118281600000,97.25
120960000000,100.25
123552000000,112.25
126230400000,133.25
128908800000,169.5
131328000000,173
134006400000,168.5
136598400000,156.5
139276800000,146.75
141868800000,154
144547200000,155.25
147225600000,147.5
149817600000,166.4
152496000000,182
155088000000,187.5
157766400000,176.25
160444800000,181.75
162864000000,177.75
165542400000,167.4
168134400000,167.75
170812800000,166
173404800000,166.4
176083200000,161.5
178761600000,138.25
181353600000,143.4
184032000000,138.25
186624000000,140.25
189302400000,128
191980800000,132.3
194486400000,129.5
197164800000,128.15
199756800000,125.25
202435200000,123.8
205027200000,112.4
207705600000,103.05
210384000000,116.1
212976000000,122.3
215654400000,130.1
218246400000,134.55
220924800000,132.1
223603200000,142.25
226022400000,149.8
228700800000,146.5
231292800000,143.2
233971200000,142.95
236563200000,144.5
239241600000,146
241920000000,153.9
244512000000,160.8
247190400000,159.8
249782400000,165.6
252460800000,175.2
255139200000,182
257558400000,180.75
260236800000,170
262828800000,184.9
265507200000,183.2
268099200000,198.9
270777600000,207.3
273456000000,217.45
276048000000,243.65
278726400000,193.7
281318400000,224.5
283996800000,233.05
286675200000,250.9
289094400000,239.65
291772800000,243.45
294364800000,277.15
297043200000,276.45
299635200000,295.35
302313600000,317.75
304992000000,397
307584000000,379.75
310262400000,417.2
312854400000,524
315532800000,668
318211200000,640
320716800000,503.25
323395200000,519.25
325987200000,531.4
328665600000,662.5
331257600000,618
333936000000,633.75
336614400000,670
339206400000,636
341884800000,621.5
344476800000,589.5
347155200000,507.5
349833600000,490.25
352252800000,514.25
354931200000,481
357523200000,478.75
360201600000,421.5
362793600000,405.25
365472000000,425.5
368150400000,426.5
370742400000,429
373420800000,415.5
376012800000,400
378691200000,388.25
381369600000,363.25
383788800000,320.5
386467200000,356.75
389059200000,325.5
391737600000,314
394329600000,342.5
397008000000,409.6
399686400000,394.75
402278400000,422
404956800000,428.25
407548800000,448
410227200000,503
412905600000,419.75
415324800000,414.25
418003200000,428.5
420595200000,439
423273600000,416.75
425865600000,422.25
428544000000,414.5
431222400000,404
433814400000,383.5
436492800000,405.75
439084800000,381.5
441763200000,371.9
444441600000,396.6
446947200000,388.5
449625600000,376.2
452217600000,383.45
454896000000,375.25
457488000000,341.6
460166400000,347.7
462844800000,344.15
465436800000,334.5
468115200000,328.6
470707200000,309
473385600000,304.9
476064000000,290.5
478483200000,329.8
481161600000,324.65
483753600000,313.15
486432000000,316.5
489024000000,328.1
491702400000,335.75
494380800000,326.5
496972800000,325.75
499651200000,327.4
502243200000,327
504921600000,354
507600000000,338.25
510019200000,345.5
512697600000,344.75
515289600000,343.35
517968000000,345.5
520560000000,357.75
523238400000,386
525916800000,421.2
528508800000,401.5
531187200000,390
533779200000,390.9
536457600000,407.3
539136000000,405.75
541555200000,419
544233600000,454.5
546825600000,451.75
549504000000,447.1
552096000000,464.25
554774400000,455.9
557452800000,459.15
560044800000,468
562723200000,493.9
565315200000,486.5
567993600000,465.25
570672000000,423.75
573177600000,458
575856000000,449.75
578448000000,454
581126400000,436.85
583718400000,432.7
586396800000,426.35
589075200000,396.15
591667200000,412.3
594345600000,421.3
596937600000,410.15
599616000000,394.85
602294400000,386.75
604713600000,382.3
607392000000,381.3
609984000000,363.5
612662400000,371.15
615254400000,369.1
617932800000,359.6
620611200000,369
623203200000,376.05
625881600000,406.8
628473600000,401
631152000000,417.55
633830400000,409.1
636249600000,372.2
638928000000,371.55
641520000000,363.7
644198400000,352.4
646790400000,371.1
649468800000,388.1
652147200000,406.1
654739200000,379.25
657417600000,384.8
660009600000,391
662688000000,369.6
665366400000,363
667785600000,354
670464000000,353.45
673056000000,361.55
675734400000,366.9
678326400000,363.6
681004800000,347
683683200000,350.5
686275200000,357.4
688953600000,366.85
691545600000,353.4
694224000000,354.15
696902400000,353.05
699408000000,341.5
702086400000,336.25
704678400000,337.55
707356800000,343.4
709948800000,357.95
712627200000,340.5
715305600000,349
717897600000,338.8
720576000000,333.7
723168000000,332.9
725846400000,330.75
728524800000,328.75
730944000000,336.9
733622400000,353.45
736214400000,381
738892800000,379
741484800000,403.7
744163200000,370.6
746841600000,352.65
749433600000,369.1
752112000000,370.8
754704000000,390.65
757382400000,378.2
760060800000,380.75
762480000000,389.7
765158400000,376.45
767750400000,386.25
770428800000,385.4
773020800000,384.05
775699200000,386.25
778377600000,395.35
780969600000,387.4
783648000000,383.35
786240000000,382.5
788918400000,375.85
791596800000,375.7
794016000000,386.55
796694400000,389.5
799286400000,384.25
801964800000,387.6
804556800000,383.35
807235200000,381.65
809913600000,383.75
812505600000,382.4
815184000000,387.85
817776000000,386.7
820454400000,403.2
823132800000,400.35
825638400000,396.7
828316800000,390.15
830908800000,390.55
833587200000,381.3
836179200000,385.5
838857600000,387.25
841536000000,379.3
844128000000,379.3
846806400000,371.9
849398400000,369.55
852076800000,345
854755200000,360.6
857174400000,349.5
859852800000,340.45
862444800000,345.75
865123200000,334.05
867715200000,326
870393600000,325.4
873072000000,328.75
875664000000,310.4
878342400000,296.9
880934400000,289.2
883612800000,301.8
886291200000,296.55
888710400000,299.9
891388800000,310.7
893980800000,292.4
896659200000,295.75
899251200000,289.4
901929600000,273.4
904608000000,294.1
907200000000,293.1
909878400000,295.75
912470400000,287.45
915148800000,285.65
917827200000,286.8
920246400000,279.8
922924800000,285.85
925516800000,271.05
928195200000,261.2
930787200000,256.75
933465600000,254.6
936144000000,303.75
938736000000,298.85
941414400000,292
944006400000,290.85
946684800000,283.05
949363200000,294
951868800000,275.9
954547200000,275.85
957139200000,272.25
959817600000,289.15
962409600000,277.4
965088000000,274.95
967766400000,274.1
970358400000,263.8
973036800000,267
975628800000,272.65
978307200000,266.2
980985600000,265
983404800000,259.05
986083200000,263.45
988675200000,266.1
991353600000,269.9
993945600000,265.55
996624000000,275.35
999302400000,290.85
1001894400000,280.95
1004572800000,274.7
1007164800000,276.5
1009843200000,281.5
1012521600000,296.55
1014940800000,303
1017619200000,309.35
1020211200000,327.25
1022889600000,319.05
1025481600000,305.5
1028160000000,312.4
1030838400000,322.4
1033430400000,316.35
1036108800000,318.25
1038700800000,342.75
1041379200000,370.35
1044057600000,347.65
1046476800000,335.35
1049155200000,336
1051747200000,365.8
1054425600000,345.15
1057017600000,355.75
1059696000000,371
1062374400000,384.5
1064966400000,384.6
1067644800000,398.1
1070236800000,417.25
1072915200000,401.3
1075593600000,392.25
1078099200000,423
1080777600000,387.3
1083369600000,393.85
1086048000000,393.75
1088640000000,389.6
1091318400000,408.1
1093996800000,412.35
1096588800000,426.2
1099267200000,452
1101859200000,438
1104537600000,423.8
1107216000000,436.55
1109635200000,427.5
1112313600000,433.2
1114905600000,416.9
1117584000000,436.8
1120176000000,427.15
1122854400000,433
1125532800000,473.4
1128124800000,472.65
1130803200000,493.8
1133395200000,513
1136073600000,569.8
1138752000000,556.5
1141171200000,584
1143849600000,638.25
1146441600000,654
1149120000000,600.4
1151712000000,637
1154390400000,621.75
1157068800000,601.75
1159660800000,600.9
1162339200000,638.4
1164931200000,635.7
1167609600000,645.75
1170288000000,677
1172707200000,663.5
1175385600000,678
1177977600000,656.6
1180656000000,648.5
1183248000000,666.75
1185926400000,668
1188604800000,737.75
1191196800000,783
1193875200000,794.75
1196467200000,836.5
1199145600000,923.75
1201824000000,969
1204329600000,937.25
1207008000000,867.75
1209600000000,879.5
1212278400000,932.75
1214870400000,912
1217548800000,836.5
1220227200000,897
1222819200000,728.5
1225497600000,813.5
1228089600000,865
1230768000000,918.5
1233446400000,943.75
1235865600000,918.5
1238544000000,889
1241136000000,972
1243814400000,941
1246406400000,936.5
1249084800000,950.75
1251763200000,1001.25
1254355200000,1044.5
1257033600000,1172
1259625600000,1104
1262304000000,1082.75
1264982400000,1112.5
1267401600000,1109.5
1270080000000,1175.25
1272672000000,1214
1275350400000,1240.5
1277942400000,1168
1280620800000,1233.5
1283299200000,1311
1285891200000,1336.75
1288569600000,1375
1291161600000,1410.25
1293840000000,1333.5
1296518400000,1409.75
1298937600000,1431
1301616000000,1531
1304208000000,1537
1306886400000,1508
1309478400000,1613.75
1312156800000,1826
1314835200000,1629
1317427200000,1718
1320105600000,1704
1322697600000,1574.5
1325376000000,1738
1328054400000,1788
1330560000000,1660.75
1333238400000,1662.5
1335830400000,1567.5
1338508800000,1569.5
1341100800000,1622.75
1343779200000,1657.75
1346457600000,1781
1349049600000,1718
1351728000000,1728.25
1354320000000,1664
1356998400000,1674.5
1359676800000,1591
1362096000000,1602.5
1364774400000,1472.75
1367366400000,1410.25
1370044800000,1203.25
1372636800000,1331.5
1375315200000,1392.75
1377993600000,1335.75
1380585600000,1333.75
1383264000000,1245.25
1385856000000,1201.5
1388534400000,1246.5
1391212800000,1327.75
1393632000000,1294
1396310400000,1292
1398902400000,1254
1401580800000,1313
1404172800000,1295
1406851200000,1285.75
1409529600000,1210
1412121600000,1173.25
1414800000000,1184.5
1417392000000,1199.25
1420070400000,1263.5
1422748800000,1205
1425168000000,1179.25
1427846400000,1204.3
1430438400000,1189.8
1433116800000,1171.8
1435708800000,1095.1
1438387200000,1132.5
1441065600000,1115.2
1443657600000,1141.4
1446336000000,1065.3
1448928000000,1060.2
1451606400000,1116.4
1454284800000,1234.4
1456790400000,1235.6
1459468800000,1290.5
1462060800000,1217.5
1464739200000,1320.6
1467331200000,1357.5
1470009600000,1311.4
1472688000000,1317.1
1475280000000,1273.1
1477958400000,1173.9
1480550400000,1151.7
1483228800000,1211.4
1485907200000,1253.9
1488326400000,1251.2
1491004800000,1268.3
1493596800000,1275.4
1496275200000,1242.3
1498867200000,1273.4
1501545600000,1322.2
1504224000000,1284.8
1506816000000,1270.5
1509494400000,1282.15
1512086400000,1296.5
1514764800000,1343.35
1517443200000,1320.3
1519862400000,1323.9
1522540800000,1316.25
1525132800000,1303.5
1527811200000,1250.55
1530403200000,1219.2
1533081600000,1206.85
1535760000000,1183.5
1538352000000,1217.7
1541030400000,1220.45
1543622400000,1281.65
1546300800000,1322.5
1548979200000,1325.45
1551398400000,1291.15
1554076800000,1285.15
1556668800000,1296
1559347200000,1413.2
1561939200000,1430.55
1564617600000,1526.55
1567296000000,1487.6
1569888000000,1506.4
1572566400000,1456.35
1575158400000,1523
1577836800000,1580.85
1580515200000,1626.35
1583020800000,1604.65
1585699200000,1716.75
1588291200000,1725.65
1590969600000,1770.7
1593561600000,1971.68
1596240000000,1970.5
1598918400000,1893.9
1601510400000,1879.9
1604188800000,1779.86
1606780800000,1895.1
1609459200000,1849.7
1612137600000,1728.8
1614556800000,1715.24
1617235200000,1767.7
