date,value
1994-12-30,1059.49
1995-12-30,-1.26
1996-12-30,63.76
1997-12-30,44.85
1998-12-30,-33.47
1999-12-30,151.95
2000-12-30,-10.72
2001-12-30,-11.02
2002-12-30,-17.01
2003-12-30,97.33
2004-12-30,17.81
2005-12-30,27.71
2006-12-30,32.83
2007-12-30,43.21
2008-12-30,-41
2009-12-30,82.66
2010-12-30,1.04
2011-12-30,-18.11
2012-12-30,7.4
2013-12-30,-15.5
2014-12-30,-2.91
2015-12-30,-13.31
2016-12-30,38.93
2017-12-30,26.86
2018-12-30,15.03
2019-12-30,31.58
2020-12-30,2.92
2021-12-30,-11.93
2022-12-30,4.69
2023-12-30,22.28
2024-12-30,-10.36
2025-12-30,12.35
