date,value
1993-12-30,129.2
1994-12-30,3165.32
1995-12-30,3902.18
1996-12-30,5869.42
1997-12-30,10386.14
1998-12-30,9261
1999-12-30,11085.81
2000-12-30,16271.6
2001-12-30,14044.06
2002-12-30,11451.28
2003-12-30,14433.01
2004-12-30,22314.11
2005-12-30,27541.76
2006-12-30,38065.04
2007-12-30,53112.81
2008-12-30,55299.26
2009-12-30,52768.69
2010-12-30,67258.35
2011-12-30,61206.89
2012-12-30,59600.87
2013-12-30,53695.57
2014-12-30,52686.94
2015-12-30,49825.31
2016-12-30,53201.99
2017-12-30,68011.91
2018-12-30,81685.49
2019-12-30,100674.77
2020-12-30,98894.76
2021-12-30,116834.68
2022-12-30,109692.74
2023-12-30,114155.75
2024-12-30,128238.37
2025-12-30,127021.18
