date,value
1914-12-30,54.63
1915-01-29,56.54
1915-02-26,55.02
1915-03-30,60.83
1915-04-29,71.78
1915-05-28,65.01
1915-06-29,70.06
1915-07-30,75.53
1915-08-30,81.2
1915-09-29,90.58
1915-10-29,95.34
1915-11-29,96.71
1915-12-30,99.15
1916-01-30,90.58
1916-02-28,91.03
1916-03-30,93.25
1916-04-28,89.65
1916-05-30,91.8
1916-06-29,89.58
1916-07-30,89.25
1916-08-30,92.25
1916-09-29,103.73
1916-10-30,104.61
1916-11-28,105.97
1916-12-29,95
1917-01-30,95.43
1917-02-27,91.56
1917-03-30,96.72
1917-04-29,93.23
1917-05-30,97.38
1917-06-29,95.38
1917-07-30,91.75
1917-08-30,83.4
1917-09-28,83.46
1917-10-30,74.5
1917-11-29,72.65
1917-12-30,74.38
1918-01-30,79.8
1918-02-27,80.39
1918-03-29,76.41
1918-04-29,77.51
1918-05-30,78.08
1918-06-28,82.58
1918-07-30,81.23
1918-08-30,82.46
1918-09-29,84.68
1918-10-30,85.51
1918-11-29,80.93
1918-12-30,82.2
1919-01-30,80.61
1919-02-27,84.81
1919-03-30,88.85
1919-04-29,92.88
1919-05-28,105.5
1919-06-29,106.98
1919-07-30,107.16
1919-08-28,104.75
1919-09-29,111.42
1919-10-30,118.92
1919-11-28,103.72
1919-12-30,107.23
1920-01-30,104.21
1920-02-27,91.18
1920-03-30,102.81
1920-04-29,93.54
1920-05-28,91.81
1920-06-29,90.76
1920-07-30,86.85
1920-08-30,86.16
1920-09-29,82.95
1920-10-29,85.08
1920-11-29,76.04
1920-12-30,71.95
1921-01-30,76.13
1921-02-27,74.98
1921-03-30,75.76
1921-04-29,78.57
1921-05-30,73.44
1921-06-29,68.45
1921-07-29,68.37
1921-08-30,67.11
1921-09-29,71.08
1921-10-30,73.21
1921-11-29,77.3
1921-12-30,80.8
1922-01-30,81.3
1922-02-27,85.46
1922-03-30,89.05
1922-04-28,91.93
1922-05-30,96.03
1922-06-29,92.93
1922-07-30,97.05
1922-08-30,100.78
1922-09-29,97.12
1922-10-30,96.11
1922-11-28,94.65
1922-12-29,98.17
1923-01-30,97.43
1923-02-27,103.9
1923-03-30,102.77
1923-04-29,98.38
1923-05-30,97.53
1923-06-29,88.4
1923-07-30,86.91
1923-08-30,93.46
1923-09-28,87.97
1923-10-30,88.53
1923-11-29,92.34
1923-12-30,95.52
1924-01-30,100.66
1924-02-28,97.69
1924-03-30,92.28
1924-04-29,90.63
1924-05-30,89.9
1924-06-29,96.37
1924-07-30,102.14
1924-08-29,104.14
1924-09-29,103.16
1924-10-30,104.06
1924-11-28,111.1
1924-12-30,120.51
1925-01-30,123.49
1925-02-27,122.24
1925-03-30,116.75
1925-04-29,120.01
1925-05-28,129.95
1925-06-29,131.01
1925-07-30,133.81
1925-08-30,141.18
1925-09-29,143.46
1925-10-30,155.65
1925-11-29,151.08
1925-12-30,151.08
1926-01-29,157.35
1926-02-26,154.68
1926-03-30,140.46
1926-04-29,143.71
1926-05-27,143.43
1926-06-29,153.04
1926-07-30,160.18
1926-08-30,162.51
1926-09-29,158.19
1926-10-29,150.76
1926-11-29,156.55
1926-12-30,157.2
1927-01-30,156.41
1927-02-27,161.96
1927-03-30,160.08
1927-04-29,164.64
1927-05-30,172.96
1927-06-29,166.23
1927-07-29,181.4
1927-08-30,189.79
1927-09-29,197.59
1927-10-30,181.73
1927-11-29,198.21
1927-12-30,200.7
1928-01-30,198.59
1928-02-28,194.78
1928-03-30,214.45
1928-04-29,211.63
1928-05-30,219.81
1928-06-29,210.37
1928-07-30,216
1928-08-30,240.41
1928-09-28,237.38
1928-10-30,252.16
1928-11-29,293.38
1928-12-30,300
1929-01-30,317.51
1929-02-27,317.41
1929-03-27,308.85
1929-04-29,319.29
1929-05-30,297.41
1929-06-28,333.79
1929-07-30,347.7
1929-08-29,380.33
1929-09-29,343.45
1929-10-30,273.51
1929-11-26,238.95
1929-12-30,248.48
1930-01-30,267.14
1930-02-27,271.11
1930-03-30,286.1
1930-04-29,279.23
1930-05-28,275.07
1930-06-29,226.34
1930-07-30,233.99
1930-08-28,240.42
1930-09-29,204.9
1930-10-30,183.35
1930-11-28,183.39
