date,value
1986-12-30,7497.13
1987-01-27,7406.43
1987-02-26,8318.08
1987-03-30,7808.8
1987-04-29,7612.95
1987-05-28,8415.68
1987-06-29,9032.28
1987-07-30,9861.64
1987-08-27,10183.51
1987-09-29,11061.32
1987-10-29,6167.27
1987-11-29,5977.16
1987-12-30,6436.69
1988-01-28,6718.02
1988-02-28,6724.01
1988-03-30,7043.74
1988-04-28,7169.89
1988-05-30,6853.94
1988-06-29,7302.73
1988-07-28,7292.06
1988-08-30,6624.16
1988-09-29,6572.38
1988-10-30,7050.72
1988-11-29,7130.39
1988-12-29,7193.78
1989-01-30,8184.95
1989-02-27,7991.61
1989-03-30,7925.56
1989-04-27,8164.91
1989-05-30,7149.23
1989-06-29,5910.33
1989-07-30,6666.69
1989-08-30,6494.19
1989-09-28,7117.5
1989-10-30,6999.01
1989-11-29,7041.51
1989-12-28,7255.96
1990-01-30,6966.71
1990-02-27,7439.06
1990-03-29,7511.39
1990-04-29,7384.62
1990-05-30,7819.36
1990-06-28,8139.76
1990-07-30,8504.33
1990-08-30,7566.46
1990-09-27,6708.88
1990-10-30,7224.4
1990-11-29,7147.93
1990-12-30,7290.17
1991-01-30,7771.66
1991-02-27,8499.53
1991-03-27,8948.08
1991-04-29,8560.27
1991-05-30,8818.09
1991-06-27,8699.66
1991-07-30,9494.47
1991-08-29,9440.69
1991-09-29,9302.31
1991-10-30,9481.27
1991-11-28,9713.81
1991-12-30,10051.79
1992-01-30,10748.45
1992-02-27,11471.4
1992-03-30,11435.05
1992-04-29,12415.94
1992-05-28,14038.91
1992-06-29,14043.37
1992-07-30,13501.88
1992-08-27,12885.5
1992-09-29,12567.78
1992-10-29,14082.36
1992-11-29,13199.11
1992-12-30,12530.55
1993-01-28,13009.66
1993-02-25,14318.01
1993-03-30,14351.04
1993-04-29,15300.37
1993-05-30,16490.88
1993-06-29,15858.43
1993-07-29,15612.04
1993-08-30,16817.95
1993-09-29,17064.39
1993-10-28,20653.42
1993-11-29,20188.16
1993-12-30,26301.33
1994-01-30,25343.76
1994-02-27,22889.74
1994-03-30,19787.32
1994-04-28,19620.86
1994-05-30,20892.33
1994-06-29,19088.64
1994-07-28,20611.73
1994-08-30,21495.55
1994-09-29,20556.68
1994-10-30,20812.84
1994-11-29,18242.47
1994-12-29,17649.28
1995-01-29,15758.27
1995-02-27,17800.71
1995-03-30,18296.28
1995-04-27,17754.66
1995-05-30,19937.32
1995-06-29,19473.17
1995-07-30,19995.4
1995-08-30,19366.11
1995-09-28,20310.18
1995-10-30,20529.74
1995-11-29,20607.99
1995-12-28,21167.99
1996-01-30,23731.84
1996-02-28,23167.96
1996-03-28,22699.84
1996-04-29,22627.77
1996-05-30,23202.76
1996-06-27,22686.11
1996-07-30,21945.24
1996-08-29,22882.76
1996-09-29,24329.85
1996-10-30,25425.06
1996-11-28,27240.54
1996-12-30,27357.69
1997-01-30,27008.76
1997-02-27,27079.56
1997-03-26,25269.23
1997-04-29,25980.66
1997-05-29,29733.23
1997-06-26,30579.51
1997-07-30,32890.57
1997-08-28,28354.88
1997-09-29,30113.63
1997-10-30,21205.59
1997-11-27,21025.19
1997-12-30,21443.01
1998-01-26,18468.21
1998-02-26,22873.54
1998-03-30,22906.8
1998-04-29,20611.51
1998-05-28,17702.34
1998-06-29,16905.96
1998-07-30,15685.71
1998-08-30,14361.35
1998-09-29,15543.38
1998-10-29,19973.1
1998-11-29,20459.65
1998-12-30,19775.96
1999-01-28,18664.37
1999-02-25,19331.09
1999-03-30,21391.07
1999-04-29,25877.08
1999-05-30,23575.13
1999-06-29,26263.18
1999-07-29,25516.3
1999-08-30,26026.42
1999-09-29,24462.46
1999-10-28,25423.16
1999-11-29,29471.67
1999-12-29,32509.28
2000-01-30,29680.85
2000-02-28,32615.97
2000-03-30,32795.98
2000-04-27,29223.12
2000-05-30,27674.15
2000-06-29,30227.52
2000-07-30,31436.59
2000-08-30,31915.45
2000-09-28,29060.16
2000-10-30,27612.96
2000-11-29,25909.36
2000-12-28,27984.08
2001-01-30,29662.99
2001-02-27,27133.05
2001-03-29,23360.3
2001-04-26,24408.22
2001-05-30,23914.19
2001-06-28,23634.9
2001-07-30,22382.44
2001-08-30,20154.12
2001-09-27,18001.73
2001-10-30,18286.27
2001-11-29,20508.72
2001-12-30,20805.29
2002-01-30,19534.52
2002-02-27,19017.22
2002-03-27,19903.75
2002-04-29,20626.65
2002-05-30,20275.67
2002-06-27,19003.22
2002-07-30,18388.95
2002-08-29,17928.95
2002-09-29,16167.63
2002-10-30,16797.46
2002-11-28,17915.87
2002-12-30,16620.7
2003-01-29,16436.85
2003-02-27,16071.08
2003-03-30,15120.18
2003-04-29,15298.34
2003-05-29,16677.16
2003-06-29,16816.58
2003-07-30,17776.51
2003-08-28,19061.83
2003-09-29,19558.83
2003-10-30,21254.33
2003-11-27,21534.61
2003-12-30,22010.35
2004-01-29,23145.96
2004-02-26,24091.65
2004-03-30,21828.24
2004-04-29,20491.13
2004-05-30,20807.38
2004-06-29,20890.37
2004-07-29,20842.19
2004-08-30,21873.35
2004-09-29,22285.47
2004-10-28,22058.27
2004-11-29,23744.63
2004-12-30,24120.27
2005-01-30,23209.66
2005-02-27,23873.13
2005-03-30,22555.71
2005-04-28,23054.94
2005-05-30,23009.14
2005-06-29,23551.2
2005-07-28,24565.12
2005-08-30,24477.11
2005-09-29,25033.39
2005-10-30,23295.59
2005-11-29,24383.29
2005-12-29,24382.91
2006-01-26,25624.55
2006-02-27,25841.37
2006-03-30,25515.96
2006-04-27,26671.39
2006-05-29,25259.94
2006-06-29,25861.51
2006-07-30,26900.7
2006-08-30,27513.82
2006-09-28,27889.13
2006-10-30,29289.99
2006-11-29,30351.92
2006-12-28,31911.99
2007-01-30,32040.68
2007-02-27,31149.1
2007-03-29,31102.73
2007-04-29,31710.47
2007-05-30,32007.25
2007-06-28,33707.54
2007-07-30,35902.99
2007-08-30,37208.83
2007-09-27,41992.91
2007-10-30,48402.95
2007-11-29,43959.67
2007-12-30,42713.04
2008-01-30,35843.79
2008-02-28,37074.67
2008-03-30,34516.6
2008-04-29,38672.17
2008-05-29,36529.36
