date,value
1987-12-30,-10.34
1988-12-30,16.7
1989-12-30,5.55
1990-12-30,6.61
1991-12-30,42.11
1992-12-30,28.28
1993-12-30,115.67
1994-12-30,-31.1
1995-12-30,22.98
1996-12-30,33.53
1997-12-30,-20.29
1998-12-30,-6.29
1999-12-30,68.8
2000-12-30,-11
2001-12-30,-24.5
2002-12-30,-18.21
2003-12-30,34.92
2004-12-30,13.15
2005-12-30,4.54
2006-12-30,34.2
2007-12-30,39.31
2008-12-30,-48.27
2009-12-30,52.02
2010-12-30,5.32
2011-12-30,-19.97
2012-12-30,22.91
2013-12-30,2.87
2014-12-30,1.28
2015-12-30,-7.16
2016-12-30,0.39
2017-12-30,35.99
2018-12-30,-13.61
2019-12-30,9.07
2020-12-30,-3.4
2021-12-30,-14.08
2022-12-30,-15.46
2023-12-30,-13.82
2024-12-30,17.67
2025-12-30,12.19
