date,value
1986-12-30,2568.3
1987-12-30,2908.02
1988-12-30,2555.63
1989-12-30,2792.82
1990-12-30,3032.66
1991-12-30,3798.1
1992-12-30,5479.33
1993-12-30,7459.14
1994-12-30,9532.1
1995-12-30,9010.28
1996-12-30,11474.44
1997-12-30,13375.56
1998-12-30,9418.33
1999-12-30,12734.57
2000-12-30,16045.83
2001-12-30,12553.25
2002-12-30,10453.83
2003-12-30,10290.34
2004-12-30,12918.46
2005-12-30,14352.59
2006-12-30,16885.42
2007-12-30,23195.96
2008-12-30,20889.58
2009-12-30,18106.04
2010-12-30,21506.54
2011-12-30,21394.85
2012-12-30,20471.62
2013-12-30,22604.13
2014-12-30,23230.52
2015-12-30,24304.88
2016-12-30,21433.92
2017-12-30,26190.41
2018-12-30,28850.94
2019-12-30,27581.81
2020-12-30,25282.77
2021-12-30,27102.31
2022-12-30,20316.9
2023-12-30,19019.25
2024-12-30,18054.7
2025-12-30,21853.46
