date,value
3122-08-29,819.26
3213-01-03,854.54
3295-02-22,903.33
3371-10-22,866.43
3462-02-27,856.46
3544-04-18,834.3
3631-11-28,857.16
3714-01-17,861.98
3793-06-11,828.88
3881-01-21,819.97
3965-12-07,895.64
4050-10-22,932.92
4130-03-17,979.24
4212-05-06,998.38
4291-09-29,1020.77
4382-02-04,1027.62
4464-03-25,1006.2
4549-02-08,983.46
4633-12-25,998.02
4713-05-20,993.04
4800-12-29,993.15
4883-02-17,1011.5
4962-07-13,1014.97
5052-11-18,972.23
5129-07-18,905.35
1973-03-29,875.01
1973-04-29,797.89
1973-05-30,754.16
1973-06-28,736.93
1973-07-30,791.04
1973-08-30,750.04
1973-09-27,793.56
1973-10-30,779.31
1973-11-29,657.14
1973-12-30,643.66
1974-01-30,657.1
1974-02-27,644.78
1974-03-28,622.65
1974-04-29,583.7
1974-05-30,532.29
1974-06-27,500.04
1974-07-30,457
1974-08-29,402.36
1974-09-29,354.88
1974-10-30,411.75
1974-11-28,394.28
1974-12-30,371.78
1975-01-30,432.02
1975-02-27,448.51
1975-03-30,463.09
1975-04-29,478.9
1975-05-29,503.85
1975-06-29,523.68
1975-07-30,495.09
1975-08-28,469.35
1975-09-29,439.12
1975-10-30,452.35
1975-11-27,459.63
1975-12-30,451.12
1976-01-29,505.02
1976-02-26,521.76
1976-03-30,522.91
1976-04-29,517.94
1976-05-27,502.62
1976-06-29,512.92
1976-07-29,515.7
1976-08-30,504.07
1976-09-29,511.06
1976-10-28,503.34
1976-11-29,506.75
1976-12-30,542.48
1977-01-30,526.79
1977-02-27,516.15
1977-03-30,510.3
1977-04-28,513.3
1977-05-30,511.34
1977-06-29,529.97
1977-07-28,532.23
1977-08-30,527.59
1977-09-29,529.81
1977-10-30,510.65
1977-11-29,537.51
1977-12-29,545.65
1978-01-30,520.43
1978-02-27,520.35
1978-03-30,540.32
1978-04-27,581.42
1978-05-30,601.31
1978-06-29,595.15
1978-07-30,620.18
1978-08-30,659.83
1978-09-28,644.59
1978-10-30,534.17
1978-11-29,548.88
1978-12-28,562.12
1979-01-30,594.21
1979-02-27,572.11
1979-03-29,608.89
1979-04-29,611.4
1979-05-30,592.88
1979-06-28,616.26
1979-07-30,623.63
1979-08-30,657.53
1979-09-27,648.49
1979-10-30,581.34
1979-11-29,613.08
1979-12-30,635.62
1980-01-30,670.62
1980-02-28,646.06
1980-03-30,527.53
1980-04-29,557.47
1980-05-29,593.27
1980-06-29,615.4
1980-07-30,670.12
1980-08-28,702.9
1980-09-29,721
1980-10-30,733.29
1980-11-27,785.28
1980-12-30,756.28
1981-01-29,733.4
1981-02-26,726.62
1981-03-30,766.06
1981-04-29,784.65
1981-05-28,802.7
1981-06-29,768.13
1981-07-30,745.24
1981-08-30,684.09
1981-09-29,623.08
1981-10-29,674.27
1981-11-29,693.21
1981-12-30,672.02
1982-01-28,644.4
1982-02-25,611.81
1982-03-30,599.55
1982-04-29,627.79
1982-05-27,601.15
1982-06-29,569.64
1982-07-29,553.65
1982-08-30,586.72
1982-09-29,618.27
1982-10-28,698.43
1982-11-29,764.63
1982-12-30,768.1
1983-01-30,819.1
1983-02-27,858.86
1983-03-30,892.23
1983-04-28,958.72
1983-05-30,1003.87
1983-06-29,1033.17
1983-07-28,981.44
1983-08-30,941.35
1983-09-29,950.23
1983-10-30,876.82
1983-11-29,910.53
1983-12-29,887.12
1984-01-30,849.71
1984-02-28,795.6
1984-03-29,788.42
1984-04-29,774.15
1984-05-30,726.29
1984-06-28,745.44
1984-07-30,711.74
1984-08-30,786
1984-09-27,767.82
1984-10-30,756.62
1984-11-29,742.53
1984-12-30,756.93
1985-01-30,852.11
1985-02-27,864.83
1985-03-28,846.42
1985-04-29,846.68
1985-05-30,874.19
1985-06-27,887.94
1985-07-30,901.56
1985-08-29,889.13
1985-09-29,834.85
1985-10-30,867.98
1985-11-28,929.21
1985-12-30,958.83
1986-01-30,988.28
1986-02-27,1060.94
1986-03-30,1110.88
1986-04-29,1138.17
1986-05-29,1185.39
1986-06-29,1194.51
1986-07-30,1094.06
1986-08-28,1125.88
1986-09-29,1026.52
1986-10-30,1055.12
1986-11-27,1050.66
1986-12-30,1018.18
1987-01-29,1137.38
1987-02-26,1228.39
1987-03-30,1237.59
1987-04-29,1195.79
1987-05-28,1187.86
1987-06-29,1206.97
1987-07-30,1232.7
1987-08-30,1282.91
1987-09-29,1246.21
1987-10-29,904.46
1987-11-29,853.08
1987-12-30,923.8
1988-01-28,960.99
1988-02-28,1020.52
1988-03-30,1037.18
1988-04-28,1044.54
1988-05-30,1016.55
1988-06-29,1078.94
1988-07-28,1054.24
1988-08-30,1020.81
1988-09-29,1043.88
1988-10-30,1026.45
1988-11-29,996.1
1988-12-29,1020.95
1989-01-30,1068.9
1989-02-27,1060.26
1989-03-30,1072.65
1989-04-27,1120.45
1989-05-30,1162.57
1989-06-29,1131.43
1989-07-30,1176.67
1989-08-30,1214.91
1989-09-28,1220.31
1989-10-30,1170.05
1989-11-29,1168.55
1989-12-28,1163.37
1990-01-30,1052.75
1990-02-27,1073.02
1990-03-29,1091.49
1990-04-29,1051.26
1990-05-30,1145.94
1990-06-28,1147.96
1990-07-30,1083.94
1990-08-30,934.35
1990-09-27,837.39
1990-10-30,796.86
1990-11-29,865.71
1990-12-30,901.15
1991-01-30,992.61
1991-02-27,1084.22
1991-03-27,1152.38
1991-04-29,1156.45
1991-05-30,1203.92
1991-06-27,1128.77
1991-07-30,1188.98
1991-08-29,1241.32
1991-09-29,1238.71
1991-10-30,1274.7
1991-11-28,1226.34
1991-12-30,1371.5
1992-01-30,1448.63
1992-02-27,1474.26
1992-03-30,1398.08
1992-04-29,1338.06
1992-05-28,1351.45
1992-06-29,1296.69
1992-07-30,1333.47
1992-08-30,1289.15
1992-09-29,1331.49
1992-10-29,1376.62
1992-11-29,1482.71
1992-12-30,1538.81
