date,value
3122-08-29,101.34
3213-01-03,105.97
3295-02-22,112.3
3371-10-22,108.25
3462-02-27,107.8
3544-04-18,105.27
3631-11-28,108.42
3714-01-17,109.03
3793-06-11,105.1
3881-01-21,103.97
3965-12-07,114.12
4050-10-22,118.87
4130-03-17,125.38
4212-05-06,128.14
4291-09-29,131.33
4382-02-04,132.53
4464-03-25,130.08
4549-02-08,127.75
4633-12-25,129.95
4713-05-20,129.61
4800-12-29,130.24
4883-02-17,132.96
4962-07-13,133.73
5052-11-18,128.4
5129-07-18,120.41
1973-03-29,117.46
1973-04-29,107.85
1973-05-30,102.64
1973-06-28,100.98
1973-07-30,108.64
1973-08-30,104.87
1973-09-27,111.2
1973-10-30,110.17
1973-11-29,93.51
1973-12-30,92.19
1974-01-30,94.93
1974-02-27,94.35
1974-03-28,92.27
1974-04-29,86.86
1974-05-30,80.2
1974-06-27,75.96
1974-07-30,69.99
1974-08-29,62.37
1974-09-29,55.67
1974-10-30,65.23
1974-11-28,62.95
1974-12-30,59.82
1975-01-30,69.78
1975-02-27,73
1975-03-30,75.66
1975-04-29,78.54
1975-05-29,83.1
1975-06-29,87.02
1975-07-30,83.19
1975-08-28,79.01
1975-09-29,74.33
1975-10-30,76.99
1975-11-27,78.8
1975-12-30,77.62
1976-01-29,87.05
1976-02-26,90.26
1976-03-30,90.62
1976-04-29,90.08
1976-05-27,88.04
1976-06-29,90.32
1976-07-29,91.29
1976-08-30,89.7
1976-09-29,91.26
1976-10-28,90.35
1976-11-29,91.12
1976-12-30,97.88
1977-01-30,95.54
1977-02-27,94.57
1977-03-30,94.13
1977-04-28,95.48
1977-05-30,95.59
1977-06-29,99.73
1977-07-28,100.65
1977-08-30,100.1
1977-09-29,100.85
1977-10-30,97.52
1977-11-29,103.15
1977-12-29,105.05
1978-01-30,100.84
1978-02-27,101.47
1978-03-30,106.2
1978-04-27,115.18
1978-05-30,120.24
1978-06-29,120.3
1978-07-30,126.32
1978-08-30,135.01
1978-09-28,132.89
1978-10-30,111.12
1978-11-29,114.69
1978-12-28,117.98
1979-01-30,125.82
1979-02-27,122.56
1979-03-29,131.76
1979-04-29,133.82
1979-05-30,131.42
1979-06-28,138.13
1979-07-30,141.33
1979-08-30,150.44
1979-09-27,149.98
1979-10-30,135.53
1979-11-29,144.26
1979-12-30,151.14
1980-01-30,161.75
1980-02-28,158.03
1980-03-30,131
1980-04-29,139.99
1980-05-29,150.45
1980-06-29,157.78
1980-07-30,171.81
1980-08-28,181.52
1980-09-29,187.76
1980-10-30,192.78
1980-11-27,208.15
1980-12-30,202.34
1981-01-29,197.81
1981-02-26,198.01
1981-03-30,210.18
1981-04-29,216.74
1981-05-28,223.47
1981-06-29,215.75
1981-07-30,211.63
1981-08-30,195.75
1981-09-29,180.03
1981-10-29,195.24
1981-11-29,201.37
1981-12-30,195.84
1982-01-28,188.39
1982-02-25,179.43
1982-03-30,175.65
1982-04-29,184.7
1982-05-27,178.54
1982-06-29,171.3
1982-07-29,167.35
1982-08-30,177.71
1982-09-29,187.65
1982-10-28,212.63
1982-11-29,232.31
1982-12-30,232.41
1983-01-30,248.35
1983-02-27,260.67
1983-03-30,270.8
1983-04-28,293.06
1983-05-30,308.73
1983-06-29,318.7
1983-07-28,303.96
1983-08-30,292.42
1983-09-29,296.65
1983-10-30,274.55
1983-11-29,285.67
1983-12-29,278.6
1984-01-30,268.43
1984-02-28,252.57
1984-03-29,250.78
1984-04-29,247.44
1984-05-30,232.82
1984-06-28,239.65
1984-07-30,229.7
1984-08-30,254.64
1984-09-27,249.94
1984-10-30,247
1984-11-29,242.4
1984-12-30,247.1
1985-01-30,278.7
1985-02-27,284.2
1985-03-28,279.2
1985-04-29,280.6
1985-05-30,290.8
1985-06-27,296.2
1985-07-30,301.3
1985-08-29,297.7
1985-09-29,280.3
1985-10-30,292.5
1985-11-28,314
1985-12-30,324.9
1986-01-30,335.8
1986-02-27,359.5
1986-03-30,374.7
1986-04-29,383.2
1986-05-29,400.2
1986-06-29,405.5
1986-07-30,371.4
1986-08-28,382.9
1986-09-29,350.7
1986-10-30,360.8
1986-11-27,359.6
1986-12-30,348.8
1987-01-29,392.1
1987-02-26,425
1987-03-30,430.1
1987-04-29,417.8
1987-05-28,416.5
1987-06-29,424.7
1987-07-30,434.9
1987-08-30,455
1987-09-29,444.3
1987-10-29,323.3
1987-11-29,305.2
1987-12-30,330.5
1988-01-28,344.7
1988-02-28,367
1988-03-30,374.6
1988-04-28,379.2
1988-05-30,370.3
1988-06-29,394.7
1988-07-28,387.3
1988-08-30,376.6
1988-09-29,387.7
1988-10-30,382.5
1988-11-29,371.5
1988-12-29,381.4
1989-01-30,401.3
1989-02-27,399.7
1989-03-30,406.7
1989-04-27,427.6
1989-05-30,446.2
1989-06-29,435.3
1989-07-30,453.8
1989-08-30,469.3
1989-09-28,472.9
1989-10-30,455.6
1989-11-29,456.1
1989-12-28,454.8
1990-01-30,415.8
1990-02-27,425.8
1990-03-29,435.5
1990-04-29,420.1
1990-05-30,459
1990-06-28,462.3
1990-07-30,438.2
1990-08-30,381.2
1990-09-27,344.5
1990-10-30,329.8
1990-11-29,359.1
1990-12-30,373.8
1991-01-30,414.2
1991-02-27,453.1
1991-03-27,482.3
1991-04-29,484.72
1991-05-30,506.11
1991-06-27,475.92
1991-07-30,502.04
1991-08-29,525.68
1991-09-29,526.88
1991-10-30,542.98
1991-11-28,523.9
1991-12-30,586.34
1992-01-30,620.21
1992-02-27,633.47
1992-03-30,603.77
1992-04-29,578.68
1992-05-28,585.31
1992-06-29,563.6
1992-07-30,580.83
1992-08-30,563.12
1992-09-29,583.27
1992-10-29,605.17
1992-11-29,652.73
1992-12-30,676.95
1993-01-28,696.34
1993-02-25,670.77
1993-03-30,690.13
1993-04-29,661.42
1993-05-27,700.53
1993-06-29,703.95
1993-07-29,704.7
1993-08-30,742.84
1993-09-29,762.78
1993-10-28,779.26
1993-11-29,754.39
1993-12-30,776.8
1994-01-30,800.47
1994-02-27,792.5
1994-03-30,743.46
1994-04-28,733.84
1994-05-30,735.19
1994-06-29,705.96
1994-07-28,722.16
1994-08-30,765.62
1994-09-29,764.29
1994-10-30,777.49
1994-11-29,750.32
1994-12-29,751.96
1995-01-30,755.2
1995-02-27,793.73
1995-03-30,817.21
1995-04-27,843.98
1995-05-30,864.58
1995-06-29,933.45
1995-07-30,1001.21
1995-08-30,1020.11
1995-09-28,1043.54
1995-10-30,1036.06
1995-11-29,1059.2
1995-12-28,1052.13
1996-01-30,1059.79
1996-02-28,1100.05
1996-03-28,1101.4
1996-04-29,1190.52
1996-05-30,1243.43
1996-06-27,1185.02
1996-07-30,1080.59
1996-08-29,1141.5
1996-09-29,1226.92
1996-10-30,1221.51
1996-11-28,1292.61
1996-12-30,1291.03
1997-01-30,1379.85
1997-02-27,1309
