date,value
1949-12-30,148.86
1950-12-30,101.68
1951-12-30,136.4
1952-12-30,245.64
1953-12-30,389.68
1954-12-30,340.68
1955-12-30,373.74
1956-12-30,485.35
1957-12-30,534.61
1958-12-30,572.34
1959-12-30,822.19
1960-12-30,1115.92
1961-12-30,1551.23
1962-12-30,1416.98
1963-12-30,1440.51
1964-12-30,1263.89
1965-12-30,1200.19
-94780800000,1479.92
-63244800000,1412.94
0967-12-04,1546.64
1967-04-06,1956.54
2966-08-06,2192.82
3965-12-07,2389.82
4968-01-03,3753.72
1973-12-30,4757.35
1974-12-30,4277.07
1975-12-30,4249.54
1976-12-30,4652.08
1977-12-30,5029.02
1978-12-30,5538.21
1979-12-30,6273.39
1980-12-30,6867.86
1981-12-30,7518.55
1982-12-30,7397.27
1983-12-30,8816.24
1984-12-30,10567.53
1985-12-30,12557.45
1986-12-30,16392.74
1987-12-30,23232.14
1988-12-30,27048.26
1989-12-30,34050.78
1990-12-30,29437.18
1991-12-30,24295.57
1992-12-30,18109.08
1993-12-30,19100
1994-12-30,19935.83
1995-12-30,17329.7
1996-12-30,21094.61
1997-12-30,18397.52
1998-12-30,15355.99
1999-12-30,16823.41
2000-12-30,17145.01
2001-12-30,12093.56
2002-12-30,10123.14
2003-12-30,9311.42
2004-12-30,11179.25
2005-12-30,12422.58
2006-12-30,16110.38
2007-12-30,17002.24
2008-12-30,12165.35
2009-12-30,9346.11
2010-12-30,10006.49
2011-12-30,9425.42
2012-12-30,9102.56
2013-12-30,13577.87
2014-12-30,15460.43
2015-12-30,19203.77
2016-12-30,16920.48
2017-12-30,20209.03
2018-12-30,22310.73
2019-12-30,21697.23
2020-12-30,22705.02
2021-12-30,28836.54
2022-12-30,27257.79
2023-12-30,30716.56
2024-12-30,38396.74
2025-12-30,41436.8
