date,value
1928-12-30,37.88
1929-12-30,-11.91
1930-12-30,-28.48
1931-12-30,-47.07
1932-12-30,-15.15
1933-12-30,46.59
1934-12-30,-5.94
1935-12-30,41.37
1936-12-30,27.92
1937-12-30,-38.59
1938-12-30,25.21
1939-12-30,-5.45
1940-12-30,-15.29
1941-12-30,-17.86
1942-12-30,12.43
1943-12-30,19.45
1944-12-30,13.8
1945-12-30,30.72
1946-12-30,-11.87
1947-12-30,0
1948-12-30,-0.65
1949-12-30,10.26
1950-12-30,21.78
1951-12-30,16.46
1952-12-30,11.78
1953-12-30,-6.62
1954-12-30,45.02
1955-12-30,26.4
1956-12-30,2.62
1957-12-30,-14.31
1958-12-30,38.06
1959-12-30,8.48
1960-12-30,-2.97
1961-12-30,23.13
1962-12-30,-11.81
1963-12-30,18.89
1964-12-30,12.97
1965-12-30,9.06
-94780800000,-13.09
-63244800000,20.09
0967-12-04,7.66
1967-04-06,-11.36
2966-08-06,0.1
3965-12-07,10.79
4968-01-03,15.63
1973-12-30,-17.37
1974-12-30,-29.72
1975-12-30,31.55
1976-12-30,19.15
1977-12-30,-11.5
1978-12-30,1.06
1979-12-30,12.31
1980-12-30,25.77
1981-12-30,-9.73
1982-12-30,14.76
1983-12-30,17.27
1984-12-30,1.4
1985-12-30,26.33
1986-12-30,14.62
1987-12-30,2.03
1988-12-30,12.4
1989-12-30,27.25
1990-12-30,-6.56
1991-12-30,26.31
1992-12-30,4.46
1993-12-30,7.06
1994-12-30,-1.54
1995-12-30,34.11
1996-12-30,20.26
1997-12-30,31.01
1998-12-30,26.67
1999-12-30,19.53
2000-12-30,-10.14
2001-12-30,-13.04
2002-12-30,-23.37
2003-12-30,26.38
2004-12-30,8.99
2005-12-30,3
2006-12-30,13.62
2007-12-30,3.53
2008-12-30,-38.49
2009-12-30,23.45
2010-12-30,12.78
2011-12-30,0
2012-12-30,13.41
2013-12-30,29.6
2014-12-30,11.39
2015-12-30,-0.73
2016-12-30,9.54
2017-12-30,19.42
2018-12-30,-6.24
2019-12-30,28.88
2020-12-30,16.26
2021-12-30,26.89
2022-12-30,-19.44
2023-12-30,24.23
2024-12-30,23.31
2025-12-30,15.62
