date,value
1991-12-30,-26.8
1992-12-30,-34.9
1993-12-30,-7.24
1994-12-30,13.21
1995-12-30,-5.15
1996-12-30,67.09
1997-12-30,14.77
1998-12-30,1.71
1999-12-30,0.9
2000-12-30,8.97
2001-12-30,-11.36
2002-12-30,20.25
2003-12-30,-36.02
2004-12-30,-27.42
2005-12-30,-9.18
2006-12-30,-4.23
2007-12-30,94.64
2008-12-30,77.78
2009-12-30,-45.8
2010-12-30,-18.13
2011-12-30,31.83
2012-12-30,-22.99
2013-12-30,-23.86
2014-12-30,39.94
2015-12-30,-5.16
2016-12-30,-22.9
2017-12-30,-21.37
2018-12-30,130.25
2019-12-30,-45.79
2020-12-30,65.09
2021-12-30,-24.31
2022-12-30,25.84
2023-12-30,-42.55
2024-12-30,39.36
2025-12-30,-4.9
