date,value
0297-02-19,39.1
0382-01-05,42
0458-09-03,40.95
0549-01-09,38.9
0631-03-01,39.85
0716-01-15,39.7
0800-11-29,39.2
0880-04-23,39.85
0967-12-04,41.95
1052-10-19,42.55
1129-06-18,42.78
1214-05-03,43.1
1296-06-21,43.6
1378-08-11,43.15
1463-06-27,41.23
1548-05-12,41.45
1627-10-05,40.95
1715-05-17,40.65
1800-04-01,39.85
1876-11-28,35.55
1967-04-06,35.21
2049-05-25,34.98
2126-01-22,35
2213-09-03,35.3
2295-10-23,35.85
2375-03-18,35.5
2462-10-27,35.51
2547-09-12,35.29
2624-05-11,35.78
2714-09-17,36.24
2796-11-05,37.4
2881-09-20,37.6
2966-08-06,37.38
3045-12-30,38
3122-08-29,38.79
3213-01-03,38.8
3295-02-22,39.6
3371-10-22,40.8
3462-02-27,40.2
3544-04-18,42.48
3631-11-28,41
3714-01-17,42.48
3793-06-11,42.4
3881-01-21,43.55
3963-03-13,43.5
4050-10-22,46.95
4130-03-17,48.4
4212-05-06,48.38
4291-09-29,49.5
4382-02-04,59.3
4464-03-25,64.1
4549-02-08,68.9
4633-12-25,66.8
4713-05-20,64.1
4800-12-29,64.43
4883-02-17,63.6
4962-07-13,64.7
5052-11-18,66
5129-07-18,85.3
1973-03-29,90.25
1973-04-29,90.7
1973-05-30,114.5
1973-06-28,123.5
1973-07-30,115.2
1973-08-30,104
1973-09-27,100.25
1973-10-30,97.25
1973-11-29,100.25
1973-12-30,112.25
1974-01-30,133.25
1974-02-27,169.5
1974-03-28,173
1974-04-29,168.5
1974-05-30,156.5
1974-06-27,146.75
1974-07-30,154
1974-08-29,155.25
1974-09-29,147.5
1974-10-30,166.4
1974-11-28,182
1974-12-30,187.5
1975-01-30,176.25
1975-02-27,181.75
1975-03-26,177.75
1975-04-29,167.4
1975-05-29,167.75
1975-06-29,166
1975-07-30,166.4
1975-08-28,161.5
1975-09-29,138.25
1975-10-30,143.4
1975-11-27,138.25
1975-12-30,140.25
1976-01-29,128
1976-02-26,132.3
1976-03-30,129.5
1976-04-29,128.15
1976-05-27,125.25
1976-06-29,123.8
1976-07-29,112.4
1976-08-30,103.05
1976-09-29,116.1
1976-10-28,122.3
1976-11-29,130.1
1976-12-30,134.55
1977-01-30,132.1
1977-02-27,142.25
1977-03-30,149.8
1977-04-28,146.5
1977-05-30,143.2
1977-06-29,142.95
1977-07-28,144.5
1977-08-30,146
1977-09-29,153.9
1977-10-30,160.8
1977-11-29,159.8
1977-12-29,165.6
1978-01-30,175.2
1978-02-27,182
1978-03-30,180.75
1978-04-27,170
1978-05-30,184.9
1978-06-29,183.2
1978-07-30,198.9
1978-08-30,207.3
1978-09-28,217.45
1978-10-30,243.65
1978-11-29,193.7
1978-12-28,224.5
1979-01-30,233.05
1979-02-27,250.9
1979-03-29,239.65
1979-04-29,243.45
1979-05-30,277.15
1979-06-28,276.45
1979-07-30,295.35
1979-08-30,317.75
1979-09-27,397
1979-10-30,379.75
1979-11-29,417.2
1979-12-30,524
1980-01-30,668
1980-02-28,640
1980-03-30,503.25
1980-04-29,519.25
1980-05-29,531.4
1980-06-29,662.5
1980-07-30,618
1980-08-28,633.75
1980-09-29,670
1980-10-30,636
1980-11-27,621.5
1980-12-30,589.5
1981-01-29,507.5
1981-02-26,490.25
1981-03-30,514.25
1981-04-29,481
1981-05-28,478.75
1981-06-29,421.5
1981-07-30,405.25
1981-08-27,425.5
1981-09-29,426.5
1981-10-29,429
1981-11-29,415.5
1981-12-30,400
1982-01-28,388.25
1982-02-25,363.25
1982-03-30,320.5
1982-04-29,356.75
1982-05-27,325.5
1982-06-29,314
1982-07-29,342.5
1982-08-30,409.6
1982-09-29,394.75
1982-10-28,422
1982-11-29,428.25
1982-12-30,448
1983-01-30,503
1983-02-27,419.75
1983-03-30,414.25
1983-04-28,428.5
1983-05-30,439
1983-06-29,416.75
1983-07-28,422.25
1983-08-30,414.5
1983-09-29,404
1983-10-30,383.5
1983-11-29,405.75
1983-12-29,381.5
1984-01-30,371.9
1984-02-28,396.6
1984-03-29,388.5
1984-04-29,376.2
1984-05-30,383.45
1984-06-28,375.25
1984-07-30,341.6
1984-08-30,347.7
1984-09-27,344.15
1984-10-30,334.5
1984-11-29,328.6
1984-12-30,309
1985-01-30,304.9
1985-02-27,290.5
1985-03-28,329.8
1985-04-29,324.65
1985-05-30,313.15
1985-06-27,316.5
1985-07-30,328.1
1985-08-29,335.75
1985-09-29,326.5
1985-10-30,325.75
1985-11-28,327.4
1985-12-30,327
1986-01-30,354
1986-02-27,338.25
1986-03-26,345.5
1986-04-29,344.75
1986-05-29,343.35
1986-06-29,345.5
1986-07-30,357.75
1986-08-28,386
1986-09-29,421.2
1986-10-30,401.5
1986-11-27,390
1986-12-30,390.9
1987-01-29,407.3
1987-02-26,405.75
1987-03-30,419
1987-04-29,454.5
1987-05-28,451.75
1987-06-29,447.1
1987-07-30,464.25
1987-08-27,455.9
1987-09-29,459.15
1987-10-29,468
1987-11-29,493.9
1987-12-30,486.5
1988-01-28,465.25
1988-02-28,423.75
1988-03-30,458
1988-04-28,449.75
1988-05-30,454
1988-06-29,436.85
1988-07-28,432.7
1988-08-30,426.35
1988-09-29,396.15
1988-10-30,412.3
1988-11-29,421.3
1988-12-29,410.15
1989-01-30,394.85
1989-02-27,386.75
1989-03-30,382.3
1989-04-27,381.3
1989-05-30,363.5
1989-06-29,371.15
1989-07-30,369.1
1989-08-30,359.6
1989-09-28,369
1989-10-30,376.05
1989-11-29,406.8
1989-12-28,401
1990-01-30,417.55
1990-02-27,409.1
1990-03-29,372.2
1990-04-29,371.55
1990-05-30,363.7
1990-06-28,352.4
1990-07-30,371.1
1990-08-30,388.1
1990-09-27,406.1
1990-10-30,379.25
1990-11-29,384.8
1990-12-30,391
1991-01-30,369.6
1991-02-27,363
1991-03-27,354
1991-04-29,353.45
1991-05-30,361.55
1991-06-27,366.9
1991-07-30,363.6
1991-08-29,347
1991-09-29,350.5
1991-10-30,357.4
1991-11-28,366.85
1991-12-30,353.4
1992-01-30,354.15
1992-02-27,353.05
1992-03-30,341.5
1992-04-29,336.25
1992-05-28,337.55
1992-06-29,343.4
1992-07-30,357.95
1992-08-27,340.5
1992-09-29,349
1992-10-29,338.8
1992-11-29,333.7
1992-12-30,332.9
1993-01-28,330.75
1993-02-25,328.75
1993-03-30,336.9
1993-04-29,353.45
1993-05-27,381
1993-06-29,379
1993-07-29,403.7
1993-08-30,370.6
1993-09-29,352.65
1993-10-28,369.1
1993-11-29,370.8
1993-12-30,390.65
1994-01-30,378.2
1994-02-27,380.75
1994-03-30,389.7
1994-04-28,376.45
1994-05-30,386.25
1994-06-29,385.4
1994-07-28,384.05
1994-08-30,386.25
1994-09-29,395.35
1994-10-30,387.4
1994-11-29,383.35
1994-12-29,382.5
1995-01-30,375.85
1995-02-27,375.7
1995-03-30,386.55
1995-04-27,389.5
1995-05-30,384.25
1995-06-29,387.6
1995-07-30,383.35
1995-08-30,381.65
1995-09-28,383.75
1995-10-30,382.4
1995-11-29,387.85
1995-12-28,386.7
1996-01-30,403.2
1996-02-28,400.35
1996-03-28,396.7
1996-04-29,390.15
1996-05-30,390.55
1996-06-27,381.3
1996-07-30,385.5
1996-08-29,387.25
1996-09-29,379.3
1996-10-30,379.3
1996-11-28,371.9
1996-12-30,369.55
1997-01-30,345
1997-02-27,360.6
1997-03-26,349.5
1997-04-29,340.45
1997-05-29,345.75
1997-06-29,334.05
1997-07-30,326
1997-08-28,325.4
1997-09-29,328.75
1997-10-30,310.4
1997-11-27,296.9
1997-12-30,289.2
1998-01-29,301.8
1998-02-26,296.55
1998-03-30,299.9
1998-04-29,310.7
1998-05-28,292.4
1998-06-29,295.75
1998-07-30,289.4
1998-08-27,273.4
1998-09-29,294.1
1998-10-29,293.1
1998-11-29,295.75
1998-12-30,287.45
1999-01-28,285.65
1999-02-25,286.8
1999-03-30,279.8
1999-04-29,285.85
1999-05-27,271.05
1999-06-29,261.2
1999-07-29,256.75
1999-08-30,254.6
1999-09-29,303.75
1999-10-28,298.85
1999-11-29,292
1999-12-29,290.85
2000-01-30,283.05
2000-02-28,294
2000-03-30,275.9
2000-04-27,275.85
2000-05-30,272.25
2000-06-29,289.15
2000-07-30,277.4
2000-08-30,274.95
2000-09-28,274.1
2000-10-30,263.8
2000-11-29,267
2000-12-28,272.65
2001-01-30,266.2
2001-02-27,265
2001-03-29,259.05
2001-04-29,263.45
2001-05-30,266.1
2001-06-28,269.9
2001-07-30,265.55
2001-08-30,275.35
2001-09-27,290.85
2001-10-30,280.95
2001-11-29,274.7
2001-12-30,276.5
2002-01-30,281.5
2002-02-27,296.55
2002-03-27,303
2002-04-29,309.35
2002-05-30,327.25
2002-06-27,319.05
2002-07-30,305.5
2002-08-29,312.4
2002-09-29,322.4
2002-10-30,316.35
2002-11-28,318.25
2002-12-30,342.75
2003-01-30,370.35
2003-02-27,347.65
2003-03-30,335.35
2003-04-29,336
2003-05-29,365.8
2003-06-29,345.15
2003-07-30,355.75
2003-08-28,371
2003-09-29,384.5
2003-10-30,384.6
2003-11-27,398.1
2003-12-30,417.25
2004-01-29,401.3
2004-02-26,392.25
2004-03-30,423
2004-04-29,387.3
2004-05-27,393.85
2004-06-29,393.75
2004-07-29,389.6
2004-08-30,408.1
2004-09-29,412.35
2004-10-28,426.2
2004-11-29,452
2004-12-30,438
2005-01-30,423.8
2005-02-27,436.55
2005-03-30,427.5
2005-04-28,433.2
2005-05-30,416.9
2005-06-29,436.8
2005-07-28,427.15
2005-08-30,433
2005-09-29,473.4
2005-10-30,472.65
2005-11-29,493.8
2005-12-29,513
2006-01-30,569.8
2006-02-27,556.5
2006-03-30,584
2006-04-27,638.25
2006-05-30,654
2006-06-29,600.4
2006-07-30,637
2006-08-30,621.75
2006-09-28,601.75
2006-10-30,600.9
2006-11-29,638.4
2006-12-28,635.7
2007-01-30,645.75
2007-02-27,677
2007-03-29,663.5
2007-04-29,678
2007-05-30,656.6
2007-06-28,648.5
2007-07-30,666.75
2007-08-30,668
2007-09-27,737.75
2007-10-30,783
2007-11-29,794.75
2007-12-30,836.5
2008-01-30,923.75
2008-02-28,969
2008-03-30,937.25
2008-04-29,867.75
2008-05-29,879.5
2008-06-29,932.75
2008-07-30,912
2008-08-28,836.5
2008-09-29,897
2008-10-30,728.5
2008-11-27,813.5
2008-12-30,865
2009-01-29,918.5
2009-02-26,943.75
2009-03-30,918.5
2009-04-29,889
2009-05-28,972
2009-06-29,941
2009-07-30,936.5
2009-08-27,950.75
2009-09-29,1001.25
2009-10-29,1044.5
2009-11-29,1172
2009-12-30,1104
2010-01-28,1082.75
2010-02-25,1112.5
2010-03-30,1109.5
2010-04-29,1175.25
2010-05-27,1214
2010-06-29,1240.5
2010-07-29,1168
2010-08-30,1233.5
2010-09-29,1311
2010-10-28,1336.75
2010-11-29,1375
2010-12-30,1410.25
2011-01-30,1333.5
2011-02-27,1409.75
2011-03-30,1431
2011-04-27,1531
2011-05-30,1537
2011-06-29,1508
2011-07-28,1613.75
2011-08-30,1826
2011-09-29,1629
2011-10-30,1718
2011-11-29,1704
2011-12-29,1574.5
2012-01-30,1738
2012-02-28,1788
2012-03-29,1660.75
2012-04-29,1662.5
2012-05-30,1567.5
2012-06-28,1569.5
2012-07-30,1622.75
2012-08-30,1657.75
2012-09-27,1781
2012-10-30,1718
2012-11-29,1728.25
2012-12-30,1664
2013-01-30,1674.5
2013-02-27,1591
2013-03-27,1602.5
2013-04-29,1472.75
2013-05-30,1410.25
2013-06-27,1203.25
2013-07-30,1331.5
2013-08-29,1392.75
2013-09-29,1335.75
2013-10-30,1333.75
2013-11-28,1245.25
2013-12-30,1201.5
2014-01-30,1246.5
2014-02-27,1327.75
2014-03-30,1294
2014-04-29,1292
2014-05-29,1254
2014-06-29,1313
2014-07-30,1295
2014-08-28,1285.75
2014-09-29,1210
2014-10-30,1173.25
2014-11-27,1184.5
2014-12-30,1199.25
2015-01-29,1263.5
2015-02-26,1205
2015-03-30,1179.25
2015-04-29,1204.3
2015-05-28,1189.8
2015-06-29,1171.8
2015-07-30,1095.1
2015-08-30,1132.5
2015-09-29,1115.2
2015-10-29,1141.4
2015-11-29,1065.3
2015-12-30,1060.2
2016-01-28,1116.4
2016-02-28,1234.4
2016-03-30,1235.6
2016-04-28,1290.5
2016-05-30,1217.5
2016-06-29,1320.6
2016-07-28,1357.5
2016-08-30,1311.4
2016-09-29,1317.1
2016-10-30,1273.1
2016-11-29,1173.9
2016-12-29,1151.7
2017-01-30,1211.4
2017-02-27,1253.9
2017-03-30,1251.2
2017-04-27,1268.3
2017-05-30,1275.4
2017-06-29,1242.3
2017-07-30,1273.4
2017-08-30,1322.2
2017-09-28,1284.8
2017-10-30,1270.5
2017-11-29,1282.15
2017-12-28,1296.5
2018-01-30,1343.35
2018-02-27,1320.3
2018-03-28,1323.9
2018-04-29,1316.25
