date,value
1916-12-30,1.14
1917-12-30,0.98
1918-12-30,0.92
1919-12-30,0.96
1920-12-30,3
1921-12-30,0.29
1922-12-30,0.72
1923-12-30,-0.43
1924-12-30,0.14
1925-12-30,-0.14
1926-12-30,-0.14
1927-12-30,0.14
1928-12-30,0.14
1929-12-30,-0.29
1930-12-30,-0.14
1931-12-30,9.18
1932-12-30,-8.01
1933-12-30,27.38
1934-12-30,32.23
1935-12-30,0
1936-12-30,0
1937-12-30,0
1938-12-30,0
1939-12-30,-0.89
1940-12-30,-1.82
1941-12-30,0
1942-12-30,0
1943-12-30,0
1944-12-30,0
1945-12-30,2.76
1946-12-30,0
1947-12-30,0
1948-12-30,0
1949-12-30,-8.91
1950-12-30,9.79
1951-12-30,0
1952-12-30,-0.89
1953-12-30,0.89
1954-12-30,0.89
1955-12-30,0
1956-12-30,0
1957-12-30,-0.88
1958-12-30,0.89
1959-12-30,0
1960-12-30,0
1961-12-30,0
1962-12-30,0
1963-12-30,0
1964-12-30,0
1965-12-30,0
-94780800000,0
-63244800000,0
0967-12-04,18.8
1967-04-06,-16.07
2966-08-06,6.16
3965-12-07,16.37
4968-01-03,48.74
1973-12-30,73.49
1974-12-30,67.04
1975-12-30,-25.2
1976-12-30,-4.06
1977-12-30,23.08
1978-12-30,35.57
1979-12-30,133.41
1980-12-30,12.5
1981-12-30,-32.15
1982-12-30,12
1983-12-30,-14.84
1984-12-30,-19
1985-12-30,5.83
1986-12-30,19.54
1987-12-30,24.46
1988-12-30,-15.69
1989-12-30,-2.23
1990-12-30,-2.49
1991-12-30,-9.62
1992-12-30,-5.8
1993-12-30,17.35
1994-12-30,-2.09
1995-12-30,1.1
1996-12-30,-4.43
1997-12-30,-21.74
1998-12-30,-0.61
1999-12-30,1.18
2000-12-30,-6.26
2001-12-30,1.41
2002-12-30,23.96
2003-12-30,21.74
2004-12-30,4.97
2005-12-30,17.12
2006-12-30,23.92
2007-12-30,31.59
2008-12-30,3.41
2009-12-30,27.63
2010-12-30,27.74
2011-12-30,11.65
2012-12-30,5.68
2013-12-30,-27.79
2014-12-30,-0.19
2015-12-30,-11.59
2016-12-30,8.63
2017-12-30,12.57
2018-12-30,-1.15
2019-12-30,18.83
2020-12-30,24.43
2021-12-30,-3.51
2022-12-30,-0.23
2023-12-30,13.08
2024-12-30,27.23
2025-12-30,64.36
