date,value
1052-10-19,235.7
1129-06-18,225.5
1206-02-14,216.5
1296-06-21,181.5
1375-11-15,182
1463-06-27,158.7
1548-05-12,156.2
1627-10-05,159.5
1715-05-17,166.1
1800-04-01,174
1876-11-28,182.5
1967-04-06,166.4
2049-05-25,169.8
2126-01-22,173
2213-09-03,177.76
2295-10-23,158
2372-06-21,147
2462-10-27,146.98
2547-09-12,143.5
2632-07-28,139
2714-09-17,124.7
2796-11-05,115
2881-09-20,113.6
2966-08-06,121.54
3045-12-30,97.5
3122-08-29,107
3213-01-03,108.74
3295-02-22,102.4
3371-10-22,112.4
3462-02-27,111.28
3544-04-18,117.9
3631-11-28,113
3714-01-17,113.72
3793-06-11,104
3881-01-21,108
3963-03-13,109.6
4050-10-22,100
4130-03-17,98
4212-05-06,104.38
4291-09-29,100.2
4382-02-04,109
4464-03-25,143.5
4549-02-08,142.6
4633-12-25,154.5
4713-05-20,138.5
4800-12-29,131.4
4883-02-17,141.1
4962-07-13,143.94
5052-11-18,137.5
5129-07-18,164
1973-03-29,142.22
1973-04-29,140
1973-05-30,153.5
1973-06-28,161.5
1973-07-30,175
1973-08-30,167
1973-09-27,172.3
1973-10-30,163.5
1973-11-29,156.5
1973-12-27,164
1974-01-30,193.5
1974-02-27,273.5
1974-03-28,247.1
1974-04-29,238.5
1974-05-30,211
1974-06-27,203.1
1974-07-30,216.5
1974-08-29,185.5
1974-09-29,191.7
1974-10-30,188
1974-11-28,185
1974-12-30,163.9
1975-01-30,149
1975-02-27,154.5
1975-03-30,156.9
1975-04-29,145.2
1975-05-29,149.8
1975-06-29,156.8
1975-07-30,173.7
1975-08-28,163
1975-09-29,157.34
1975-10-30,145.4
1975-11-27,145
1975-12-30,148.9
1976-01-29,140
1976-02-26,138.4
1976-03-30,138.86
1976-04-29,161
1976-05-27,164
1976-06-29,176.32
1976-07-29,167
1976-08-30,155.5
1976-09-29,163.4
1976-10-28,157.3
1976-11-29,156.1
1976-12-29,151.56
1977-01-30,159.8
1977-02-27,165.6
1977-03-30,164.02
1977-04-28,159.1
1977-05-30,154.2
1977-06-29,153.46
1977-07-28,151.1
1977-08-30,148.8
1977-09-29,155.94
1977-10-30,171.6
1977-11-29,173.8
1977-12-29,188.6
1978-01-30,219.7
1978-02-27,230.3
1978-03-30,228.92
1978-04-27,212.5
1978-05-30,254.3
1978-06-29,240.84
1978-07-30,268.6
1978-08-30,259.4
1978-09-28,286.3
1978-10-30,380.6
1978-11-29,321.7
1978-12-28,353.48
1979-01-30,384.7
1979-02-27,414.6
1979-03-29,385.74
1979-04-29,408.5
1979-05-30,447.4
1979-06-28,421.96
1979-07-30,380.8
1979-08-30,425.3
1979-09-27,569.1
1979-10-30,481.5
1979-11-29,545.2
1979-12-27,692.6
1980-01-30,832
1980-02-28,920.1
1980-03-30,579.36
1980-04-29,567
1980-05-29,595.3
1980-06-29,693.8
1980-07-30,641
1980-08-28,663.2
1980-09-29,708.2
1980-10-30,657.3
