date,value
1916-12-30,31.37
1917-12-30,25.37
1918-12-30,16.67
1919-12-30,15.31
1920-12-30,-8.85
1921-12-30,-38.83
1922-12-30,7.94
1923-12-30,-4.41
1924-12-30,3.08
1925-12-30,2.99
1926-12-30,-10.14
1927-12-30,-8.06
1928-12-30,1.75
1929-12-30,-8.62
1930-12-30,-28.3
1931-12-30,-23.68
1932-12-30,-3.45
1933-12-30,25
1934-12-30,37.14
1935-12-30,33.33
1936-12-30,-29.69
1937-12-30,0
1938-12-30,-4.44
1939-12-30,-9.3
1940-12-30,-10.26
1941-12-30,0
1942-12-30,8.57
1943-12-30,18.42
1944-12-30,0
1945-12-30,15.56
1946-12-30,53.85
1947-12-30,-10
1948-12-30,2.78
1949-12-30,-2.7
1950-12-30,2.78
1951-12-30,20.27
1952-12-30,-4.49
1953-12-30,0
1954-12-30,0
1955-12-30,4.71
1956-12-30,3.37
1957-12-30,0
1958-12-30,-3.26
1959-12-30,3.37
1960-12-30,0
1961-12-30,1.09
1962-12-30,17.2
1963-12-30,18.53
1964-12-30,1.63
1965-12-30,-1.22
-94780800000,0.62
-63244800000,72.64
0967-12-04,-13.45
1967-04-06,-8.21
2966-08-06,-8.94
3965-12-07,-15.95
4968-01-03,48.18
1973-12-30,60.59
1974-12-30,37.12
1975-12-30,-6.49
1976-12-30,4.31
1977-12-30,9.17
1978-12-30,26.47
1979-12-30,434.88
1980-12-30,-51.86
1981-12-30,-47.42
1982-12-30,33.37
1983-12-30,-18.03
1984-12-30,-29.41
1985-12-30,-7.79
1986-12-30,-8.97
1987-12-30,26.89
1988-12-30,-9.7
1989-12-30,-13.72
1990-12-30,-19.73
1991-12-30,-7.88
1992-12-30,-4.92
1993-12-30,39.51
1994-12-30,-5.27
1995-12-30,5.98
1996-12-30,-6.61
1997-12-30,25
1998-12-30,-16.5
1999-12-30,6.39
2000-12-30,-14.07
2001-12-30,-1.31
2002-12-30,3.32
2003-12-30,27.84
2004-12-30,14.24
2005-12-30,29.47
2006-12-30,46.09
2007-12-30,14.42
2008-12-30,-26.9
2009-12-30,57.46
2010-12-30,80.28
2011-12-30,-8
2012-12-30,6.28
2013-12-30,-34.89
2014-12-30,-18.1
2015-12-30,-13.59
2016-12-30,15.86
2017-12-30,7.12
2018-12-30,-9.4
2019-12-30,15.36
2020-12-30,47.44
2021-12-30,-11.55
2022-12-30,2.64
2023-12-30,-0.72
2024-12-30,21.36
2025-12-30,121.37
