date,value
1986-06-29,0.37
1986-07-30,0.32
1986-08-28,0.43
1986-09-29,0.4
1986-10-30,0.4
1986-11-27,0.42
1986-12-30,0.48
1987-01-29,0.52
1987-02-26,0.43
1987-03-30,0.47
1987-04-29,0.49
1987-05-28,0.52
1987-06-29,0.54
1987-07-30,0.54
1987-08-30,0.52
1987-09-29,0.54
1987-10-29,0.57
1987-11-29,0.56
1987-12-30,0.51
1988-01-28,0.48
1988-02-28,0.47
1988-03-30,0.48
1988-04-28,0.54
1988-05-30,0.5
1988-06-29,0.41
1988-07-28,0.44
1988-08-30,0.43
1988-09-29,0.38
1988-10-30,0.43
1988-11-29,0.48
1988-12-29,0.54
1989-01-30,0.52
1989-02-27,0.53
1989-03-30,0.57
1989-04-27,0.53
1989-05-30,0.5
1989-06-29,0.49
1989-07-30,0.48
1989-08-30,0.53
1989-09-28,0.59
1989-10-30,0.59
1989-11-29,0.62
1989-12-28,1
1990-01-30,0.59
1990-02-27,0.57
1990-03-29,0.59
1990-04-29,0.59
1990-05-30,0.5
1990-06-28,0.48
1990-07-30,0.56
1990-08-30,0.75
1990-09-27,1.04
1990-10-30,0.88
1990-11-29,0.86
1990-12-30,0.81
1991-01-30,0.72
1991-02-27,0.68
1991-03-27,0.57
1991-04-29,0.54
1991-05-30,0.57
1991-06-27,0.55
1991-07-30,0.6
1991-08-29,0.64
1991-09-29,0.63
1991-10-30,0.67
1991-11-28,0.61
1991-12-30,0.47
1992-01-30,0.53
1992-02-27,0.51
1992-03-30,0.54
1992-04-29,0.58
1992-05-28,0.6
1992-06-29,0.6
1992-07-30,0.6
1992-08-30,0.6
1992-09-29,0.63
1992-10-29,0.58
1992-11-29,0.55
1992-12-30,0.56
1993-01-28,0.56
1993-02-25,0.58
1993-03-30,0.56
1993-04-29,0.55
1993-05-27,0.55
1993-06-29,0.52
1993-07-29,0.49
1993-08-30,0.53
1993-09-29,0.56
1993-10-28,0.51
1993-11-29,0.46
1993-12-29,0.44
1994-01-30,0.54
1994-02-27,0.52
1994-03-30,0.48
1994-04-28,0.47
1994-05-30,0.5
1994-06-29,0.51
1994-07-28,0.53
1994-08-30,0.49
1994-09-29,0.5
1994-10-30,0.49
1994-11-29,0.49
1994-12-29,0.51
1995-01-30,0.47
1995-02-27,0.47
1995-03-30,0.47
1995-04-27,0.51
1995-05-30,0.48
1995-06-29,0.46
1995-07-30,0.48
1995-08-30,0.5
1995-09-28,0.49
1995-10-30,0.5
1995-11-29,0.52
1995-12-28,0.58
1996-01-30,0.54
1996-02-28,0.64
1996-03-28,0.64
1996-04-29,0.64
1996-05-30,0.51
1996-06-27,0.54
1996-07-30,0.57
