date,value
1986-06-29,1.09
1986-07-30,0.94
1986-08-28,1.26
1986-09-29,1.17
1986-10-30,1.17
1986-11-27,1.23
1986-12-30,1.4
1987-01-29,1.51
1987-02-26,1.24
1987-03-30,1.35
1987-04-29,1.4
1987-05-28,1.48
1987-06-29,1.53
1987-07-30,1.53
1987-08-30,1.47
1987-09-29,1.51
1987-10-29,1.59
1987-11-29,1.57
1987-12-30,1.43
1988-01-28,1.34
1988-02-28,1.31
1988-03-30,1.33
1988-04-28,1.49
1988-05-30,1.37
1988-06-29,1.12
1988-07-28,1.2
1988-08-30,1.17
1988-09-29,1.02
1988-10-30,1.15
1988-11-29,1.29
1988-12-29,1.45
1989-01-30,1.39
1989-02-27,1.41
1989-03-30,1.5
1989-04-27,1.39
1989-05-30,1.3
1989-06-29,1.27
1989-07-30,1.24
1989-08-30,1.37
1989-09-28,1.52
1989-10-30,1.52
1989-11-29,1.59
1989-12-28,2.56
1990-01-30,1.49
1990-02-27,1.44
1990-03-29,1.48
1990-04-29,1.48
1990-05-30,1.25
1990-06-28,1.19
1990-07-30,1.39
1990-08-30,1.84
1990-09-27,2.53
1990-10-30,2.13
1990-11-29,2.07
1990-12-30,1.95
1991-01-30,1.73
1991-02-27,1.63
1991-03-27,1.36
1991-04-29,1.29
1991-05-30,1.36
1991-06-27,1.3
1991-07-30,1.42
1991-08-29,1.51
1991-09-29,1.48
1991-10-30,1.57
1991-11-28,1.43
1991-12-30,1.1
1992-01-30,1.24
1992-02-27,1.19
1992-03-30,1.25
1992-04-29,1.34
1992-05-28,1.39
1992-06-29,1.38
1992-07-30,1.38
1992-08-30,1.37
1992-09-29,1.44
1992-10-29,1.32
1992-11-29,1.25
1992-12-30,1.27
1993-01-28,1.27
1993-02-25,1.31
1993-03-30,1.26
1993-04-29,1.23
1993-05-27,1.23
1993-06-29,1.16
1993-07-29,1.09
1993-08-30,1.18
1993-09-29,1.24
1993-10-28,1.13
1993-11-29,1.02
1993-12-29,0.97
1994-01-30,1.19
1994-02-27,1.14
1994-03-30,1.05
1994-04-28,1.03
1994-05-30,1.09
1994-06-29,1.11
1994-07-28,1.15
1994-08-30,1.06
1994-09-29,1.08
1994-10-30,1.06
1994-11-29,1.06
1994-12-29,1.1
1995-01-30,1.01
1995-02-27,1
1995-03-30,1
1995-04-27,1.08
1995-05-30,1.02
1995-06-29,0.97
1995-07-30,1.02
1995-08-30,1.05
1995-09-28,1.03
1995-10-30,1.05
1995-11-29,1.09
1995-12-28,1.22
1996-01-30,1.13
1996-02-28,1.33
1996-03-28,1.33
1996-04-29,1.32
1996-05-30,1.05
1996-06-27,1.11
1996-07-30,1.17
1996-08-29,1.29
1996-09-29,1.45
1996-10-30,1.34
1996-11-28,1.46
1996-12-30,1.48
1997-01-30,1.4
1997-02-27,1.11
1997-03-30,1.13
1997-04-29,1.17
1997-05-29,1.13
1997-06-29,1.07
1997-07-30,1.11
1997-08-28,1.04
1997-09-29,1.16
1997-10-30,1.14
1997-11-25,1.06
1997-12-30,0.98
1998-01-29,0.96
1998-02-26,0.86
1998-03-30,0.86
1998-04-29,0.83
1998-05-28,0.77
1998-06-29,0.75
1998-07-30,0.67
1998-08-30,0.69
1998-09-29,0.85
1998-10-29,0.79
1998-11-29,0.63
1998-12-30,0.65
1999-01-28,0.65
1999-02-25,0.63
1999-03-30,0.86
1999-04-29,0.89
1999-05-27,0.78
1999-06-29,0.93
1999-07-29,0.99
1999-08-30,1.12
1999-09-29,1.19
1999-10-28,1.09
1999-11-29,1.23
1999-12-29,1.34
2000-01-30,1.57
2000-02-28,1.56
2000-03-30,1.49
2000-04-27,1.39
