date,value
1987-12-30,6.25
1988-12-30,5.88
1989-12-30,85.19
1990-12-30,-19
1991-12-30,-41.98
1992-12-30,19.15
1993-12-30,-21.43
1994-12-30,15.91
1995-12-30,13.73
1996-12-30,25.86
1997-12-30,-32.88
1998-12-30,-32.65
1999-12-30,112.12
2000-12-30,32.86
2001-12-30,-40.86
2002-12-30,58.18
2003-12-30,2.3
2004-12-30,38.2
2005-12-30,39.84
2006-12-30,-6.98
2007-12-30,65.63
2008-12-30,-50.57
2009-12-30,61.07
2010-12-30,20.85
2011-12-30,14.51
2012-12-30,4.11
2013-12-30,1.32
2014-12-30,-44.03
2015-12-30,-42.63
2016-12-30,62.99
2017-12-30,23.64
2018-12-30,-17.56
2019-12-30,21.97
2020-12-30,-30.24
2021-12-30,58.15
2022-12-30,41.47
2023-12-30,-21.87
2024-12-30,-8.39
2025-12-30,-1.7
