date,value
1986-12-30,0.4
1987-12-30,0.52
1988-12-30,0.46
1989-12-30,0.56
1990-12-30,0.69
1991-12-30,0.61
1992-12-30,0.57
1993-12-30,0.52
1994-12-30,0.49
1995-12-30,0.49
1996-12-30,0.63
1997-12-30,0.56
1998-12-30,0.39
1999-12-30,0.49
2000-12-30,0.88
2001-12-30,0.71
2002-12-30,0.68
2003-12-30,0.85
2004-12-30,1.12
2005-12-30,1.63
2006-12-30,1.81
2007-12-30,2.03
2008-12-30,2.86
2009-12-30,1.65
2010-12-30,2.13
2011-12-30,2.95
2012-12-30,3.02
2013-12-30,2.92
2014-12-30,2.69
2015-12-30,1.54
2016-12-30,1.29
2017-12-30,1.58
2018-12-30,2.06
2019-12-30,1.92
2020-12-30,1.2
2021-12-30,1.91
2022-12-30,3.57
2023-12-30,2.68
2024-12-30,2.29
2025-12-30,2.21
