date,value
1991-01-31,3613.26
1991-02-28,2449.07
1991-03-31,2078.04
1991-04-30,2121.86
1991-05-31,2518.82
1991-06-30,2088.83
1991-07-31,2366.08
1991-08-31,1876.12
1991-09-30,2422.73
1991-10-31,2439.1
1991-11-30,2385.88
1991-12-31,2352.06
1992-01-31,2394.77
1992-02-29,2767.12
1992-03-31,2444.06
1992-04-30,2276.63
1992-05-31,2201.79
1992-06-30,2252.19
1992-07-31,2225.19
1992-08-31,2319.33
1992-09-30,2438.54
1992-10-31,2248.84
1992-11-30,2434.55
1992-12-31,2492.72
1993-01-31,2353.28
1993-02-28,2293.42
1993-03-31,2197.45
1993-04-30,2151.9
1993-05-31,2238.27
1993-06-30,1880.86
1993-07-31,1817.75
1993-08-31,1967.38
1993-09-30,1877.36
1993-10-31,1913.68
1993-11-30,1911.47
1993-12-31,1970.23
1994-01-31,2031.67
1994-02-28,1910.82
1994-03-31,1925.74
1994-04-30,1998.78
1994-05-31,1931.01
1994-06-30,1875.81
1994-07-31,1939.7
1994-08-31,1971.21
1994-09-30,2000.09
1994-10-31,1960.79
1994-11-30,2021.12
1994-12-31,2062.42
1995-01-31,1938.79
1995-02-28,2098.56
1995-03-31,2132
1995-04-30,1975.21
1995-05-31,1960.75
1995-06-30,1903.64
1995-07-31,1753.09
1995-08-31,1846.51
1995-09-30,1517.32
1995-10-31,1753.51
1995-11-30,1786.17
1995-12-31,1993.03
1996-01-31,1926.2
1996-02-29,1916.31
1996-03-31,2016.26
1996-04-30,1886.76
1996-05-31,1906.14
1996-06-30,1898.38
1996-07-31,1794.28
1996-08-31,2029.8
1996-09-30,2469.64
1996-10-31,1917.88
1996-11-30,2070.41
1996-12-31,1984.83
1997-01-31,1875.54
1997-02-28,1999.88
1997-03-31,1914.83
1997-04-30,1893.86
1997-05-31,1772.78
1997-06-30,1770.57
1997-07-31,1773.28
1997-08-31,1938.97
1997-09-30,1946.14
1997-10-31,1925.38
1997-11-30,1959.76
1997-12-31,1804.43
1998-01-31,1896.71
1998-02-28,1893.21
1998-03-31,1897.65
1998-04-30,1856.51
1998-05-31,1852.25
1998-06-30,1887.54
1998-07-31,1906.94
1998-08-31,1936.15
1998-09-30,1986.5
1998-10-31,1937.33
1998-11-30,2011.33
1998-12-31,1937.72
1999-01-31,1821.64
1999-02-28,1863.03
1999-03-31,1913.63
1999-04-30,1851.52
1999-05-31,1861.23
1999-06-30,1867.25
1999-07-31,1899.46
1999-08-31,1853.91
1999-09-30,1802.66
1999-10-31,1774.76
1999-11-30,1859.09
1999-12-31,1838.29
2000-01-31,1810.37
2000-02-29,1889.77
2000-03-31,1849.12
2000-04-30,1822.52
2000-05-31,1880.36
2000-06-30,1868.54
2000-07-31,1872.27
2000-08-31,1871.86
2000-09-30,1861.21
2000-10-31,1811.97
2000-11-30,1833.41
2000-12-31,1875.31
2001-01-31,1834.82
2001-02-28,1839.81
2001-03-31,1810.64
2001-04-30,1773.45
2001-05-31,1770.46
2001-06-30,1770
2001-07-31,1891.75
2001-08-31,1870.6
2001-09-30,1885.99
2001-10-31,1698.26
2001-11-30,1697.69
2001-12-31,1630.11
2002-01-31,1685.37
2002-02-28,1675.95
2002-03-31,1741.97
2002-04-30,1707.89
2002-05-31,1728.45
2002-06-30,1771.31
2002-07-31,1672.6
2002-08-31,1659.14
2002-09-30,1668.85
2002-10-31,1724
2002-11-30,1824.1
2002-12-31,1572.86
2003-01-31,1590.78
2003-02-28,1717.87
2003-03-31,1707.57
2003-04-30,1701.58
2003-05-31,1706.75
2003-06-30,1687.35
2003-07-31,1740.36
2003-08-31,1658.09
