date,value
1463-06-27,3.2829
1548-05-12,3.2651
1627-10-05,3.4
1715-05-17,3.8255
1800-04-01,4.1942
1876-11-28,4.0531
1967-04-06,4.2352
2049-05-25,4.3947
2126-01-22,4.3291
2213-09-03,4.3909
2295-10-23,4.3986
2375-03-18,4.3872
2462-10-27,4.4477
2547-09-12,4.5283
2632-07-28,4.6316
2714-09-17,4.6903
2796-11-05,4.6665
2881-09-20,4.48
2966-08-06,4.3359
3045-12-30,4.3359
3122-08-29,3.6379
3213-01-03,3.6288
3295-02-22,3.479
3371-10-22,3.4617
3462-02-27,3.4163
3544-04-18,3.4079
3631-11-28,3.3995
3714-01-17,3.3995
3793-06-11,3.3912
3881-01-21,3.4701
3965-12-07,3.4532
4050-10-22,3.4532
4130-03-17,3.4365
4212-05-06,3.584
4291-09-29,3.6531
4382-02-04,3.6443
4464-03-25,3.7029
4549-02-08,4.696
4633-12-25,4.4928
4713-05-20,4.4055
4800-12-29,4.3847
4883-02-17,4.3744
4962-07-13,4.3641
5052-11-18,4.3917
5129-07-18,4.6617
1973-03-29,4.7304
1973-04-29,4.7348
1973-05-30,4.776
1973-06-28,4.9625
1973-07-30,5.0241
1973-08-30,5.0065
1973-09-27,4.9954
1973-10-30,4.9516
1973-11-29,4.9192
1973-12-30,4.8175
1974-01-30,4.7761
1974-02-27,4.9888
1974-03-28,4.9936
1974-04-29,5.04
1974-05-30,4.8451
1974-06-27,4.608
1974-07-30,4.5054
1974-08-29,4.1288
1974-09-29,4.0161
1974-10-30,4.1661
1974-11-28,4.353
1974-12-30,4.3816
1975-01-30,4.3338
1975-02-27,4.3623
1975-03-30,4.2233
1975-04-29,4.2226
1975-05-29,4.4868
1975-06-29,4.1524
1975-07-30,4.1064
1975-08-28,5.5542
1975-09-29,5.5237
1975-10-30,5.4935
1975-11-27,5.4538
1975-12-30,5.4341
1976-01-29,6.2366
1976-02-26,6.3587
1976-03-30,6.4628
1976-04-29,7.7622
1976-05-27,8.2781
1976-06-29,8.5183
1976-07-29,8.1911
1976-08-30,8.1483
1976-09-29,8.512
1976-10-28,8.9136
1976-11-29,10.1495
1976-12-30,12.193
1977-01-30,12.4062
1977-02-27,15.555
1977-03-30,17.6189
1977-04-28,17.2033
1977-05-30,15.5129
1977-06-29,13.285
1977-07-28,11.1046
1977-08-30,10.5412
1977-09-29,9.7189
1977-10-30,9.6873
1977-11-29,10.1615
1977-12-29,10.6481
1978-01-30,10.709
1978-02-27,9.7435
1978-03-30,8.9035
1978-04-27,8.5814
1978-05-30,8.2516
1978-06-29,8.163
