date,value
1959-07-30,0.2915
1959-08-30,0.3123
1959-09-29,0.3038
1959-10-29,0.33
1959-11-29,0.3095
1959-12-30,0.3199
1960-01-28,0.3201
1960-02-28,0.302
1960-03-30,0.2917
1960-04-28,0.2943
1960-05-30,0.301
1960-06-29,0.3054
1960-07-28,0.3072
1960-08-30,0.2929
1960-09-29,0.2881
1960-10-30,0.2782
1960-11-29,0.2805
1960-12-29,0.2773
1961-01-30,0.2739
1961-02-27,0.2866
1961-03-29,0.2857
1961-04-27,0.3038
1961-05-30,0.3178
1961-06-29,0.3065
1961-07-30,0.3077
1961-08-30,0.3136
1961-09-28,0.2979
1961-10-30,0.298
1961-11-29,0.2959
1961-12-28,0.3015
1962-01-30,0.305
1962-02-27,0.3046
1962-03-29,0.3034
1962-04-29,0.2989
1962-05-30,0.2882
1962-06-28,0.285
1962-07-30,0.2834
1962-08-30,0.289
1962-09-27,0.2818
1962-10-30,0.2872
1962-11-29,0.2878
1962-12-30,0.2879
1963-01-30,0.2922
1963-02-27,0.2948
1963-03-28,0.2985
1963-04-29,0.2981
1963-05-30,0.2975
1963-06-27,0.2959
1963-07-30,0.2972
1963-08-29,0.2972
1963-09-29,0.3006
1963-10-30,0.3018
1963-11-28,0.3
1963-12-30,0.3046
1964-01-30,0.312
1964-02-27,0.3444
1964-03-30,0.3702
1964-04-29,0.3938
1964-05-27,0.3618
1964-06-29,0.3537
1964-07-30,0.388
1964-08-30,0.377
1964-09-29,0.4445
1964-10-29,0.537
1964-11-29,0.5427
1964-12-30,0.3715
1965-01-28,0.3815
1965-02-25,0.4014
1965-03-30,0.475
1965-04-29,0.4948
1965-05-27,0.4633
1965-06-29,0.4384
1965-07-29,0.4945
1965-08-30,0.4923
1965-09-29,0.5535
1965-10-28,0.5735
1965-11-29,0.5284
1965-12-29,0.5757
1966-01-30,0.5975
1966-02-27,0.6853
1966-03-30,0.7815
1966-04-28,0.662
1966-05-30,0.707
1966-06-29,0.7085
1966-07-28,0.644
1966-08-30,0.4945
1966-09-29,0.572
1966-10-30,0.5835
-97459200000,0.5346
-94867200000,0.5403
-92102400000,0.541
-89683200000,0.4876
-87004800000,0.4525
-84585600000,0.428
-81734400000,0.4535
-79142400000,0.4204
-76464000000,0.4625
-73785600000,0.4597
-71280000000,0.495
-68515200000,0.6165
-65923200000,0.5925
-63417600000,0.5758
0050-09-22,0.6425
0130-02-15,0.6495
0209-07-11,0.61
0297-02-19,0.4459
0376-07-15,0.448
0458-09-03,0.4499
0549-01-09,0.442
0631-03-01,0.444
0716-01-15,0.468
0800-11-29,0.4625
0880-04-23,0.4769
0967-12-04,0.5083
1052-10-19,0.544
1129-06-18,0.5082
1206-02-14,0.569
1296-06-21,0.5784
1375-11-15,0.5945
1463-06-27,0.5927
1548-05-12,0.641
1627-10-05,0.6784
1715-05-17,0.676
1800-04-01,0.6985
1876-11-28,0.7322
1967-04-06,0.7303
2049-05-25,0.6925
2126-01-22,0.7348
2213-09-03,0.7345
2295-10-23,0.735
2372-06-21,0.6645
2462-10-27,0.6157
2547-09-12,0.5955
2632-07-28,0.5698
2714-09-17,0.557
2796-11-05,0.496
2881-09-20,0.4746
2966-08-06,0.4646
3045-12-30,50.37
3122-08-29,50.37
3213-01-03,52.87
3295-02-22,52.87
3371-10-22,52.87
3462-02-27,52.87
3544-04-18,52.87
3631-11-28,52.87
3714-01-17,52.87
3793-06-11,52.87
3881-01-21,50.37
3965-12-07,50.37
4050-10-22,50.37
4130-03-17,52.63
4212-05-06,52.62
4291-09-29,52.65
4382-02-04,52.62
4464-03-25,52.62
4549-02-08,50.62
4633-12-25,50.62
4713-05-20,50.62
4800-12-29,50.62
4883-02-17,50.62
4962-07-13,50.62
5052-11-18,53.12
5129-07-18,56.12
1973-03-29,60.13
1973-04-29,60.13
1973-05-30,60.13
1973-06-28,60.13
1973-07-30,60.13
1973-08-30,60.13
1973-09-27,60.13
1973-10-30,60.13
1973-11-29,60.13
1973-12-30,68.75
1974-01-30,68.62
1974-02-27,68.62
1974-03-28,68.62
1974-04-29,68.7
1974-05-30,81.19
1974-06-27,86.31
1974-07-30,86.31
1974-08-29,86.31
1974-09-29,80.31
1974-10-30,76.31
1974-11-28,73.21
1974-12-30,71.31
1975-01-30,69.31
1975-02-27,64.31
1975-03-30,64.31
1975-04-29,64.31
1975-05-29,64.31
1975-06-29,62.81
1975-07-30,64.31
1975-08-28,64.31
1975-09-29,64.31
1975-10-30,64.31
1975-11-27,64.31
1975-12-30,64.31
1976-01-29,63.62
1976-02-26,63.62
1976-03-30,66.62
1976-04-29,70.62
1976-05-27,70.62
1976-06-29,70.62
1976-07-29,74
1976-08-30,74
1976-09-29,74
1976-10-28,70
1976-11-29,70
1976-12-30,65
1977-01-30,66.5
1977-02-27,68
1977-03-30,74
1977-04-28,72.5
1977-05-30,71
1977-06-29,69.5
1977-07-28,65
1977-08-30,60
1977-09-29,60
1977-10-30,60
1977-11-29,60
1977-12-29,63
1978-01-30,62.25
1978-02-27,62.25
1978-03-30,64
1978-04-27,64
1978-05-30,66
1978-06-29,63.25
1978-07-30,64.5
1978-08-30,67.5
1978-09-28,67.75
1978-10-30,71.5
1978-11-29,69.31
1978-12-28,71.88
1979-01-30,80.94
1979-02-27,94
1979-03-29,99.13
1979-04-29,95.75
1979-05-30,86.69
1979-06-28,87.38
1979-07-30,85.13
1979-08-30,90.5
1979-09-27,108.5
1979-10-30,93
1979-11-29,103.5
1979-12-30,104.5
1980-01-30,130.63
1980-02-28,123.5
1980-03-30,92
1980-04-29,93
1980-05-29,95.5
1980-06-29,92
1980-07-30,102.75
1980-08-28,93.19
1980-09-29,96
1980-10-30,97.75
1980-11-27,94.56
1980-12-30,87.63
1981-01-29,86
1981-02-26,84.31
1981-03-30,88.94
1981-04-29,85.56
1981-05-28,84
1981-06-29,83
1981-07-30,87
1981-08-30,86
1981-09-29,82
1981-10-29,81.5
1981-11-29,79.5
1981-12-30,79
1982-01-28,77.75
1982-02-25,76
1982-03-30,75
1982-04-29,76
1982-05-27,75
1982-06-29,68
1982-07-29,72
1982-08-30,71
1982-09-29,68
1982-10-28,72
1982-11-29,69.5
1982-12-30,73
1983-01-30,79
1983-02-27,84
1983-03-30,80
1983-04-28,82.25
1983-05-30,81.5
1983-06-29,79.5
1983-07-28,82
1983-08-30,76
1983-09-29,71.75
1983-10-30,69
1983-11-29,70
1983-12-29,68.5
1984-01-30,66.25
1984-02-28,69.5
1984-03-29,75.5
1984-04-29,72
1984-05-30,69
1984-06-28,64.75
1984-07-30,63
1984-08-30,66
1984-09-27,61.5
1984-10-30,63.5
1984-11-29,64.25
1984-12-30,64
1985-01-30,67.5
1985-02-27,63.5
1985-03-28,67.25
1985-04-29,69.75
1985-05-30,68.5
1985-06-27,66.5
1985-07-30,67.75
1985-08-29,66.5
1985-09-29,65
1985-10-30,67.25
1985-11-28,65.5
1985-12-30,67.75
1986-01-30,69.75
1986-02-27,68.25
1986-03-30,71.5
1986-04-29,67.75
1986-05-29,67
1986-06-29,66
1986-07-30,63
1986-08-28,61
1986-09-29,65
1986-10-30,63
1986-11-27,63.38
1986-12-30,63.63
1987-01-29,64.25
1987-02-26,66.75
1987-03-30,67.38
1987-04-29,66.38
1987-05-28,71
1987-06-29,74.75
1987-07-30,83.5
1987-08-30,80.5
1987-09-29,85.25
1987-10-29,89.25
1987-11-29,123.5
1987-12-30,151
1988-01-28,120.88
1988-02-28,95.5
1988-03-30,113
1988-04-28,98.5
1988-05-30,101
1988-06-29,111.88
1988-07-28,99.75
1988-08-30,107.5
1988-09-29,123.63
1988-10-30,152.75
1988-11-29,157
1988-12-29,158.38
1989-01-30,150
1989-02-27,141.75
1989-03-30,141.5
1989-04-27,144.5
1989-05-30,119.38
1989-06-29,113.5
1989-07-30,118
1989-08-30,137.25
1989-09-28,135
1989-10-30,120.38
1989-11-29,115.75
1989-12-28,110
1990-01-30,103.19
1990-02-27,117.75
1990-03-29,129.5
1990-04-29,125
1990-05-30,117.5
1990-06-28,119.25
1990-07-30,128.5
1990-08-30,133
1990-09-27,130.75
1990-10-30,124
1990-11-29,118.25
1990-12-30,121
1991-01-30,111.13
1991-02-27,118.38
1991-03-27,110.75
1991-04-29,111.32
1991-05-30,100.25
1991-06-27,104.88
1991-07-30,104.38
1991-08-29,108
1991-09-29,112.13
