date,value
1463-06-27,0.26
1548-05-12,0.26
1627-10-05,0.26
1715-05-17,0.25
1800-04-01,0.25
1876-11-28,0.25
1967-04-06,0.25
2049-05-25,0.25
2126-01-22,0.25
2213-09-03,0.25
2295-10-23,0.2525
2375-03-18,0.2575
2462-10-27,0.26
2547-09-12,0.2625
2632-07-28,0.255
2714-09-17,0.2525
2796-11-05,0.25
2881-09-20,0.25
2966-08-06,0.25
3045-12-30,0.2525
3122-08-29,0.2575
3213-01-03,0.2575
3295-02-22,0.26
3371-10-22,0.265
3462-02-27,0.27
3544-04-18,0.275
3631-11-28,0.2895
3714-01-17,0.2945
3793-06-11,0.2995
3881-01-21,0.3005
3965-12-07,0.34
4050-10-22,0.357
4130-03-17,0.357
4212-05-06,0.3795
4291-09-29,0.4
4382-02-04,0.4025
4464-03-25,0.3775
4549-02-08,0.3495
4633-12-25,0.3125
4713-05-20,0.275
4800-12-29,0.285
4883-02-17,0.315
4962-07-13,0.33
5052-11-18,0.36
5129-07-18,0.365
1973-03-29,0.395
1973-04-29,0.4625
1973-05-30,0.4925
1973-06-28,0.5025
1973-07-30,0.5875
1973-08-30,0.8175
1973-09-27,0.8455
1973-10-30,0.68
1973-11-29,0.7197
1973-12-30,0.8833
1974-01-30,0.705
1974-02-27,0.691
1974-03-28,0.6765
1974-04-29,0.695
1974-05-30,0.5695
1974-06-27,0.562
1974-07-30,0.566
1974-08-29,0.499
1974-09-29,0.5115
1974-10-30,0.4435
1974-11-28,0.4205
1974-12-30,0.3735
1975-01-30,0.3975
1975-02-27,0.3915
1975-03-30,0.416
1975-04-29,0.442
1975-05-29,0.4315
1975-06-29,0.475
1975-07-30,0.485
1975-08-28,0.526
1975-09-29,0.561
1975-10-30,0.514
1975-11-27,0.558
1975-12-30,0.5735
1976-01-29,0.579
1976-02-26,0.594
1976-03-30,0.543
1976-04-29,0.615
1976-05-27,0.661
1976-06-29,0.8485
1976-07-29,0.735
1976-08-30,0.7335
1976-09-29,0.7665
1976-10-28,0.798
1976-11-29,0.756
1976-12-30,0.7195
1977-01-30,0.7065
1977-02-27,0.742
1977-03-30,0.7615
1977-04-28,0.7325
1977-05-30,0.669
1977-06-29,0.609
1977-07-28,0.5635
1977-08-30,0.5235
1977-09-29,0.5072
1977-10-30,0.4889
1977-11-29,0.4901
1977-12-29,0.5044
1978-01-30,0.528
1978-02-27,0.5423
1978-03-30,0.5482
