date,value
2966-08-06,0
3965-12-07,36
4968-01-03,-2.94
1973-12-30,167.67
1974-12-30,-57.72
1975-12-30,53.55
1976-12-30,25.46
1977-12-30,-29.9
1978-12-30,25.54
1979-12-30,9.46
1980-12-30,28.94
1981-12-30,-37.32
1982-12-30,6.96
1983-12-30,17.84
1984-12-30,-13.37
1985-12-30,-4.36
1986-12-30,-7.69
1987-12-30,14.44
1988-12-30,-13.85
1989-12-30,17.05
1990-12-30,13.21
1991-12-30,-26.05
1992-12-30,0.36
1993-12-30,22.96
1994-12-30,31.02
1995-12-30,-8.06
1996-12-30,-8.58
1997-12-30,-10.34
1998-12-30,-8.07
1999-12-30,-17.45
2000-12-30,21.33
2001-12-30,-47.74
2002-12-30,63.16
2003-12-30,50.39
2004-12-30,-43.02
2005-12-30,19.69
2006-12-30,2.44
2007-12-30,19.68
2008-12-30,-26.67
2009-12-30,54.13
2010-12-30,92.22
2011-12-30,-35.05
2012-12-30,-18.81
2013-12-30,14.95
2014-12-30,-27.67
2015-12-30,5.87
2016-12-30,11.65
2017-12-30,11.3
2018-12-30,-8.18
2019-12-30,-4.36
2020-12-30,13.14
2021-12-30,44.14
2022-12-30,-26.29
2023-12-30,-2.41
2024-12-30,-16.05
2025-12-30,-7.35
