date,value
1463-06-27,5.376
1548-05-12,5.1277
1627-10-05,5.1
1715-05-17,5.3905
1800-04-01,5.7075
1876-11-28,5.6341
1967-04-06,5.5614
2049-05-25,5.5894
2126-01-22,5.475
2213-09-03,5.4042
2295-10-23,5.5296
2375-03-18,5.5153
2462-10-27,5.2375
2547-09-12,5.1279
2632-07-28,5.7068
2714-09-17,5.2663
2796-11-05,5.8126
2881-09-20,5.7833
2966-08-06,5.7542
3045-12-30,5.8353
3122-08-29,5.7398
3213-01-03,5.2416
3295-02-22,5.5503
3371-10-22,5.7629
3462-02-27,5.2436
3544-04-18,4.7552
3631-11-28,4.9412
3714-01-17,4.9807
3793-06-11,5.1263
3881-01-21,5.2051
3965-12-07,5.4153
4050-10-22,5.4153
4130-03-17,5.3109
4212-05-06,5.1423
4291-09-29,5.3631
4382-02-04,5.5052
4464-03-25,5.3373
4549-02-08,5.2349
4633-12-25,5.4528
4713-05-20,5.4399
4800-12-29,6.1004
4883-02-17,6.6186
4962-07-13,6.6789
5052-11-18,6.5118
5129-07-18,6.3159
1973-03-29,6.2575
1973-04-29,6.5104
1973-05-30,6.6863
1973-06-28,6.0571
1973-07-30,7.8638
1973-08-30,8.2965
1973-09-27,9.8481
1973-10-30,8.4884
1973-11-29,8.7843
1973-12-30,9.7746
1974-01-30,11.6288
1974-02-27,11.1393
1974-03-28,9.4474
1974-04-29,9.072
1974-05-30,9.0928
1974-06-27,9.3477
1974-07-30,12.0797
1974-08-29,10.709
1974-09-29,11.347
1974-10-30,11.9935
1974-11-28,11.274
1974-12-30,10.0684
1975-01-30,10.3393
1975-02-27,9.3389
1975-03-30,9.2423
1975-04-29,10.3659
1975-05-29,11.035
1975-06-29,9.5083
1975-07-30,9.7601
1975-08-28,10.0986
1975-09-29,9.925
1975-10-30,10.2232
1975-11-27,10.0326
1975-12-30,9.7059
1976-01-29,9.8045
1976-02-26,9.7115
1976-03-30,9.2325
1976-04-29,9.9471
1976-05-27,10.105
1976-06-29,11.4714
1976-07-29,9.9988
1976-08-30,9.5532
1976-09-29,9.128
1976-10-28,9.805
1976-11-29,8.8982
1976-12-30,9.311
1977-01-30,10.2006
1977-02-27,10.0425
1977-03-30,9.4329
1977-04-28,9.5693
1977-05-30,8.3449
1977-06-29,7.0676
1977-07-28,5.7109
1977-08-30,5.6923
1977-09-29,5.9889
1977-10-30,6.5455
1977-11-29,6.9306
1977-12-29,6.8564
1978-01-30,6.9157
1978-02-27,6.4615
1978-03-30,6.7667
1978-04-27,7.0166
1978-05-30,7.3014
1978-06-29,6.3325
1978-07-30,6.5298
1978-08-30,6.3535
1978-09-28,6.5967
1978-10-30,7.0665
1978-11-29,6.9394
1978-12-28,6.6227
1979-01-30,7.4147
1979-02-27,7.4222
1979-03-29,7.1167
1979-04-29,6.7162
1979-05-30,7.0377
1979-06-28,8.0306
1979-07-30,6.3541
1979-08-30,6.7309
1979-09-27,7.0479
1979-10-30,7.2062
1979-11-29,7.2247
1979-12-30,6.6447
1980-01-30,6.6336
1980-02-28,6.1323
1980-03-30,5.9599
1980-04-29,6.4512
1980-05-29,6.3093
1980-06-29,6.6306
1980-07-30,6.8257
1980-08-28,6.6603
1980-09-29,6.8352
1980-10-30,7.9119
1980-11-27,8.4696
1980-12-30,7.9799
1981-01-29,7.8786
1981-02-26,8.22
1981-03-30,8.0822
1981-04-29,7.8921
1981-05-28,8.2077
1981-06-29,6.9069
1981-07-30,6.8667
1981-08-30,7.0418
1981-09-29,6.8873
1981-10-29,7.6323
1981-11-29,7.8144
1981-12-30,7.1547
1982-01-28,7.8673
1982-02-25,7.3821
1982-03-30,7.424
1982-04-29,7.4267
1982-05-27,7.2391
1982-06-29,6.9001
1982-07-29,5.6407
1982-08-30,5.0679
1982-09-29,4.9257
1982-10-28,5.1078
1982-11-29,5.4638
1982-12-30,5.4697
1983-01-30,5.4585
1983-02-27,5.0575
1983-03-30,5.5188
1983-04-28,5.6759
1983-05-30,5.2839
1983-06-29,5.3166
1983-07-28,5.1661
1983-08-30,5.8428
1983-09-29,6.3904
1983-10-30,6.3554
1983-11-29,6.1038
1983-12-29,6.2411
1984-01-30,6.1885
1984-02-28,5.67
1984-03-29,5.9734
1984-04-29,5.8662
1984-05-30,6.3951
1984-06-28,5.91
1984-07-30,5.5309
1984-08-30,5.6178
1984-09-27,5.4682
1984-10-30,5.6823
1984-11-29,5.8815
1984-12-30,5.6211
1985-01-30,5.4728
1985-02-27,5.4927
1985-03-28,5.1992
1985-04-29,5.0692
1985-05-30,4.7347
1985-06-27,4.7215
1985-07-30,3.8899
1985-08-29,3.5093
1985-09-29,3.6932
1985-10-30,3.7687
1985-11-28,3.995
1985-12-30,4.1759
1986-01-30,3.7671
1986-02-27,3.866
1986-03-30,3.5132
1986-04-29,3.5791
1986-05-29,3.5988
1986-06-29,3.2403
1986-07-30,3.0341
1986-08-28,3.5726
1986-09-29,3.9662
1986-10-30,4.3574
1986-11-27,5.04
1986-12-30,4.7144
1987-01-29,4.5686
1987-02-26,4.2488
1987-03-30,4.46
1987-04-29,4.8084
1987-05-28,4.7486
1987-06-29,4.4334
1987-07-30,4.9603
1987-08-30,5.1176
1987-09-29,5.0909
1987-10-29,5.3574
1987-11-29,6.0096
1987-12-30,5.6602
1988-01-28,5.9801
1988-02-28,5.5058
1988-03-30,5.0115
1988-04-28,5.9086
1988-05-30,6.0943
1988-06-29,10.3602
1988-07-28,8.3022
1988-08-30,8.1182
1988-09-29,8.1448
1988-10-30,7.9164
1988-11-29,7.0786
1988-12-29,7.7361
1989-01-30,7.1251
1989-02-27,6.6316
1989-03-30,5.9738
1989-04-27,5.8302
1989-05-30,5.3673
1989-06-29,4.6266
1989-07-30,3.8635
1989-08-30,4.0644
1989-09-28,4.1417
1989-10-30,4.0577
1989-11-29,4.5092
1989-12-28,4.2462
1990-01-30,3.7472
1990-02-27,3.78
1990-03-29,3.9349
1990-04-29,4.3917
1990-05-30,3.8198
1990-06-28,3.6626
1990-07-30,3.3394
1990-08-30,2.831
1990-09-27,3.0992
1990-10-30,3.1652
1990-11-29,3.0737
1990-12-30,2.8929
1991-01-30,2.9716
1991-02-27,2.7757
1991-03-27,3.1539
1991-04-29,3.0538
1991-05-30,3.1162
1991-06-27,2.858
1991-07-30,3.3038
1991-08-29,3.2469
1991-09-29,3.2209
1991-10-30,3.3923
1991-11-28,3.5346
1991-12-30,3.5437
1992-01-30,3.8072
1992-02-27,3.7644
1992-03-30,3.8439
1992-04-29,3.6418
1992-05-28,3.5096
1992-06-29,3.4051
1992-07-30,3.3461
1992-08-30,3.5141
1992-09-29,3.5384
1992-10-29,3.4008
1992-11-29,3.5607
1992-12-30,3.7223
1993-01-28,3.7436
1993-02-25,3.6798
1993-03-30,3.74
1993-04-29,3.7072
1993-05-27,3.3945
1993-06-29,3.5741
1993-07-29,3.5629
1993-08-30,3.5586
1993-09-29,3.3957
1993-10-28,3.3097
1993-11-29,3.219
1993-12-30,3.5785
1994-01-30,3.326
1994-02-27,3.3806
1994-03-30,3.3856
1994-04-28,3.2114
1994-05-30,3.0015
1994-06-29,3.0458
1994-07-28,3.0539
1994-08-30,3.1661
1994-09-29,3.1468
1994-10-30,3.2364
1994-11-29,2.9466
1994-12-29,3.2105
1995-01-30,3.2621
1995-02-27,3.3881
1995-03-30,3.4728
1995-04-27,3.4826
1995-05-30,3.9684
1995-06-29,3.9236
1995-07-30,4.3572
1995-08-30,4.3986
1995-09-28,4.4163
1995-10-30,4.7849
1995-11-29,4.6568
1995-12-28,5.5109
1996-01-30,5.1549
1996-02-28,5.0081
1996-03-28,5.49
1996-04-29,5.7888
1996-05-30,5.4121
1996-06-27,5.0741
1996-07-30,5.1671
1996-08-29,4.5267
1996-09-29,3.9962
1996-10-30,3.9836
1996-11-28,3.9761
1996-12-30,3.9761
1997-01-30,3.7913
1997-02-27,3.8552
1997-03-30,4.0522
1997-04-29,3.8508
1997-05-29,3.6114
1997-06-29,3.8937
1997-07-30,3.924
1997-08-28,3.7813
1997-09-29,3.5718
1997-10-30,3.5629
1997-11-27,3.9946
1997-12-30,3.4896
1998-01-29,3.5031
1998-02-26,3.382
1998-03-30,3.2515
1998-04-29,3.1958
1998-05-28,2.977
1998-06-29,2.9832
1998-07-30,2.4212
1998-08-30,2.4281
1998-09-29,2.4843
1998-10-29,2.5274
1998-11-29,2.5077
1998-12-30,2.3026
1999-01-28,2.3804
1999-02-25,2.3481
1999-03-30,2.4485
1999-04-29,2.5085
1999-05-27,2.5813
1999-06-29,2.3969
1999-07-29,2.2639
1999-08-30,2.2296
1999-09-29,2.1757
1999-10-28,2.2198
1999-11-29,2.3286
1999-12-30,2.2664
2000-01-30,2.3122
2000-02-28,2.4126
2000-03-30,2.4729
2000-04-27,2.5327
2000-05-30,2.2946
2000-06-29,1.9786
2000-07-30,2.212
2000-08-30,1.9927
2000-09-28,1.9731
2000-10-30,2.1319
2000-11-29,2.0565
2000-12-28,2.1365
2001-01-30,2.1737
2001-02-27,2.2385
2001-03-29,2.2334
2001-04-29,2.3476
2001-05-30,2.4777
2001-06-28,2.4555
2001-07-30,2.8712
2001-08-30,2.7486
2001-09-27,3.4101
2001-10-30,3.939
2001-11-29,4.3048
2001-12-30,4.0845
2002-01-30,4.1481
2002-02-27,4.3631
2002-03-27,4.2756
2002-04-29,3.4221
2002-05-30,4.198
2002-06-27,4.1777
2002-07-30,3.3447
2002-08-29,3.5835
2002-09-29,4.0409
2002-10-30,3.9186
2002-11-28,3.8074
2002-12-30,3.8648
2003-01-30,3.9011
2003-02-27,4.0915
2003-03-30,3.5942
2003-04-29,2.9966
2003-05-29,3.0015
2003-06-29,2.7217
2003-07-30,2.8152
2003-08-28,2.739
2003-09-29,2.8128
2003-10-30,2.7897
2003-11-27,2.6662
2003-12-30,2.8922
2004-01-29,3.061
2004-02-26,3.0966
2004-03-30,3.2704
2004-04-29,3.32
2004-05-27,2.7761
2004-06-29,2.6696
2004-07-29,2.4737
2004-08-30,2.8596
2004-09-29,2.7729
2004-10-28,2.7331
2004-11-29,3.0018
2004-12-30,3.0468
2005-01-30,3.218
2005-02-27,3.0482
2005-03-30,2.9536
2005-04-28,2.8759
2005-05-30,2.6523
2005-06-29,2.7986
2005-07-28,2.992
2005-08-30,2.8906
2005-09-29,2.9287
2005-10-30,2.8945
2005-11-29,3.3668
2005-12-29,3.5895
2006-01-30,3.3549
