date,value
1960-10-30,1.0023
1960-11-29,0.9634
1960-12-29,1.0088
1961-01-30,1.1549
1961-02-27,1.3206
1961-03-29,1.2459
1961-04-27,1.3498
1961-05-30,1.2578
1961-06-29,1.1852
1961-07-30,1.1709
1961-08-30,1.15
1961-09-28,1.1371
1961-10-30,1.1193
1961-11-29,1.1219
1961-12-28,1.1412
1962-01-30,1.1182
1962-02-27,1.0856
1962-03-29,1.0823
1962-04-29,1.0536
1962-05-30,0.9015
1962-06-28,0.8562
1962-07-30,0.8817
1962-08-30,0.837
1962-09-27,0.8722
1962-10-30,0.9327
1962-11-29,0.917
1962-12-30,0.9134
1963-01-30,0.9847
1963-02-27,0.9931
1963-03-28,0.9994
1963-04-29,0.9721
1963-05-30,0.955
1963-06-27,0.958
1963-07-30,0.9101
1963-08-29,0.8595
1963-09-29,0.9671
1963-10-30,1.0368
1963-11-28,0.8573
1963-12-30,0.8656
1964-01-30,0.8309
1964-02-27,0.8245
1964-03-30,0.8048
1964-04-29,0.8384
1964-05-27,0.8581
1964-06-29,0.8255
1964-07-30,0.8762
1964-08-30,0.9171
1964-09-29,1.0289
1964-10-29,1.1119
1964-11-29,1.2352
1964-12-30,1.1312
1965-01-28,1.2354
1965-02-25,1.2235
1965-03-30,1.2377
1965-04-29,1.1298
1965-05-27,1.0283
1965-06-29,1.0093
1965-07-29,0.972
1965-08-30,0.992
1965-09-29,0.9824
1965-10-28,0.985
1965-11-29,1.065
1965-12-29,1.0657
1966-01-30,1.1472
1966-02-27,1.1068
1966-03-30,1.1305
1966-04-28,1.163
1966-05-30,1.1145
1966-06-29,1.1511
1966-07-28,1.2305
1966-08-30,1.233
1966-09-29,1.0975
1966-10-30,1.0667
-97459200000,1.0393
-94867200000,1.0044
-92102400000,0.9893
-89683200000,0.9814
-87004800000,1.0029
-84585600000,0.9858
-81734400000,0.9871
-79142400000,0.8979
-76464000000,0.8684
-73785600000,0.8862
-71280000000,0.8538
-68515200000,0.8193
-65923200000,0.8091
-63417600000,0.8183
0050-09-22,0.8362
0130-02-15,0.8415
0209-07-11,0.8088
0297-02-19,0.8092
0382-01-05,0.7732
0458-09-03,0.6884
0549-01-09,0.6699
0631-03-01,0.6652
0716-01-15,0.6405
0800-11-29,0.6707
0880-04-23,0.7144
0967-12-04,0.7554
1052-10-19,0.7674
1129-06-18,0.781
1206-02-14,0.7461
1296-06-21,0.7494
1375-11-15,0.6885
1463-06-27,0.6998
1548-05-12,0.745
1627-10-05,0.7794
1715-05-17,0.8747
1800-04-01,0.9314
1876-11-28,0.8292
1967-04-06,0.8008
2049-05-25,0.8414
2126-01-22,1.0645
2213-09-03,0.95
2295-10-23,0.9962
2375-03-18,0.9543
2462-10-27,0.8895
2547-09-12,1.0099
2632-07-28,0.9371
2714-09-17,1.0796
2796-11-05,1.2133
2881-09-20,1.054
2966-08-06,0.9531
3045-12-30,0.9936
3122-08-29,0.9919
3213-01-03,0.9645
3295-02-22,0.8921
3371-10-22,0.9525
3462-02-27,1.0654
3544-04-18,1.1753
3631-11-28,1.057
3714-01-17,0.978
3793-06-11,1.0339
3881-01-21,0.9566
3965-12-07,0.9002
4050-10-22,0.8806
4130-03-17,0.874
4212-05-06,0.9287
4291-09-29,0.8721
4382-02-04,0.8801
