date,value
0967-12-04,2.4663
1052-10-19,2.4575
1129-06-18,2.4388
1206-02-14,2.3975
1296-06-21,2.3975
1375-11-15,2.3875
1463-06-27,2.6775
1548-05-12,2.6875
1627-10-05,2.58
1715-05-17,2.345
1800-04-01,2.3875
1876-11-28,2.41
1967-04-06,2.485
2049-05-25,2.565
2126-01-22,2.595
2213-09-03,2.5675
2295-10-23,2.665
2375-03-18,2.7475
2462-10-27,2.9225
2547-09-12,2.81
2632-07-28,2.7725
2714-09-17,2.77
2796-11-05,3.01
2881-09-20,2.985
2966-08-06,2.9
3045-12-30,3.065
3122-08-29,3.0575
3213-01-03,2.995
3295-02-22,2.9325
3371-10-22,3.1275
3462-02-27,3.2275
3544-04-18,3.315
3631-11-28,3.155
3714-01-17,3.07
3793-06-11,3.1325
3881-01-21,2.9625
3965-12-07,3.0925
4050-10-22,3.115
4130-03-17,3.2976
4212-05-06,3.39
4291-09-29,3.44
4382-02-04,3.4725
4464-03-25,3.485
4549-02-08,3.5275
4633-12-25,3.4575
4713-05-20,3.63
4800-12-29,3.485
4883-02-17,3.7475
4962-07-13,4.2125
5052-11-18,4.82
5129-07-18,6.49
1973-03-29,5.44
1973-04-29,7.585
1973-05-30,11.08
1973-06-28,9.1
1973-07-30,9
1973-08-30,7.5
1973-09-27,6.2
1973-10-30,5.36
1973-11-29,5.975
1973-12-30,5.755
1974-01-30,6.39
1974-02-27,6.1075
1974-03-28,6.085
1974-04-29,5.4075
1974-05-30,5.415
1974-06-27,5.63
1974-07-30,8.9
1974-08-29,7.29
1974-09-29,8.63
1974-10-30,8.055
1974-11-28,7.625
1974-12-30,6.945
1975-01-30,5.98
1975-02-27,4.975
1975-03-30,6.07
1975-04-29,5.4925
1975-05-29,5.04
1975-06-29,5.065
1975-07-30,5.765
1975-08-28,5.465
1975-09-29,5.5375
1975-10-30,4.61
1975-11-27,4.8
1975-12-30,4.4575
1976-01-29,4.615
1976-02-26,4.71
1976-03-30,4.58
1976-04-29,4.72
1976-05-27,5.72
1976-06-29,6.57
1976-07-29,5.915
1976-08-30,6.535
1976-09-29,6.12
1976-10-28,6.65
1976-11-29,6.65
1976-12-30,7.015
1977-01-30,7.075
1977-02-27,7.625
1977-03-30,8.805
1977-04-28,9.83
1977-05-30,9.51
1977-06-29,7.55
1977-07-28,5.91
1977-08-30,5.325
1977-09-29,5.0925
1977-10-30,5.2575
1977-11-29,5.7375
1977-12-29,5.87
1978-01-30,5.4775
1978-02-27,5.6675
1978-03-30,6.695
1978-04-27,6.935
1978-05-30,7.25
1978-06-29,6.82
1978-07-30,6.395
1978-08-30,6.555
1978-09-28,6.41
1978-10-30,7.005
1978-11-29,6.73
1978-12-28,6.725
1979-01-30,6.93
1979-02-27,7.3725
1979-03-29,7.5725
1979-04-29,7.07
1979-05-30,7.25
1979-06-28,7.355
1979-07-30,7.095
1979-08-30,7.215
1979-09-27,6.9725
1979-10-30,6.11
1979-11-29,6.5575
1979-12-30,6.1625
1980-01-30,6.48
1980-02-28,6.2525
1980-03-30,5.67
1980-04-29,5.865
1980-05-29,6.0075
1980-06-29,6.54
1980-07-30,7.485
1980-08-28,7.6975
1980-09-29,7.72
1980-10-30,8.61
1980-11-27,8.93
1980-12-30,7.7075
1981-01-29,6.935
1981-02-26,7.25
1981-03-30,7.625
1981-04-29,7.745
1981-05-28,7.4975
1981-06-29,6.765
1981-07-30,7.2525
1981-08-30,6.505
1981-09-29,6.23
1981-10-29,6.275
1981-11-29,6.325
1981-12-30,6.055
1982-01-28,6.4375
1982-02-25,6.155
1982-03-30,6.095
1982-04-29,6.34
1982-05-27,6.125
1982-06-29,5.985
1982-07-29,5.865
1982-08-30,5.505
1982-09-29,5
1982-10-28,5.155
1982-11-29,5.56
1982-12-30,5.51
1983-01-30,5.76
1983-02-27,5.475
1983-03-30,6.125
1983-04-28,6.295
1983-05-30,5.945
1983-06-29,5.95
1983-07-28,6.76
1983-08-30,8.73
1983-09-29,8.5
1983-10-30,8.02
1983-11-29,7.815
1983-12-29,8.095
1984-01-30,7.25
1984-02-28,7.515
1984-03-29,7.805
1984-04-29,7.695
1984-05-30,8.35
1984-06-28,7.425
1984-07-30,6.17
1984-08-30,6.27
1984-09-27,5.87
1984-10-30,6.175
1984-11-29,6
1984-12-30,5.715
1985-01-30,5.935
