date,value
1962-11-29,0.0384
1962-12-27,0.0415
1963-01-30,0.0478
1963-02-27,0.0558
1963-03-28,0.0577
1963-04-29,0.0768
1963-05-30,0.0955
1963-06-27,0.0757
1963-07-30,0.059
1963-08-29,0.0611
1963-09-29,0.0812
1963-10-30,0.1146
1963-11-28,0.1034
1963-12-30,0.1037
1964-01-30,0.0939
1964-02-27,0.0845
1964-03-30,0.0789
1964-04-29,0.078
1964-05-27,0.056
1964-06-29,0.0484
1964-07-30,0.0431
1964-08-30,0.0399
1964-09-29,0.0358
1964-10-29,0.0356
1964-11-29,0.0296
1964-12-30,0.025
1965-01-28,0.0222
1965-02-25,0.0242
1965-03-30,0.0243
1965-04-29,0.0258
1965-05-27,0.0209
1965-06-29,0.0218
1965-07-29,0.0211
1965-08-30,0.0157
1965-09-29,0.0272
1965-10-28,0.0221
1965-11-29,0.0219
1965-12-29,0.023
1966-01-30,0.0261
1966-02-27,0.0234
1966-03-30,0.0213
1966-04-28,0.0215
1966-05-30,0.0192
1966-06-29,0.0187
1966-07-28,0.0191
1966-08-30,0.0158
1966-09-29,0.0182
1966-10-30,0.016
-97459200000,0.0156
-94867200000,0.0132
-92102400000,0.0163
-89683200000,0.0191
-87004800000,0.0183
-84585600000,0.0272
-81734400000,0.0295
-79142400000,0.022
-76464000000,0.0206
-73785600000,0.0166
-71280000000,0.0239
-68515200000,0.0252
-65923200000,0.0224
-63417600000,0.0252
0050-09-22,0.0243
0130-02-15,0.022
0209-07-11,0.019
0297-02-19,0.0203
0382-01-05,0.0192
0458-09-03,0.0199
0549-01-09,0.0191
0631-03-01,0.0163
0716-01-15,0.0202
0800-11-29,0.0276
0880-04-23,0.0313
0967-12-04,0.0308
1052-10-19,0.0305
1129-06-18,0.0356
1206-02-14,0.0381
1296-06-21,0.0371
1375-11-15,0.04
1463-06-27,0.0394
1548-05-12,0.0358
1627-10-05,0.0324
1715-05-17,0.0329
1800-04-01,0.0344
1876-11-28,0.0321
1967-04-06,0.0288
2049-05-25,0.0329
2126-01-22,0.0339
2213-09-03,0.0357
2295-10-23,0.0393
2372-06-21,0.0381
2462-10-27,0.0397
2547-09-12,0.0376
2632-07-28,0.0412
2714-09-17,0.038
2796-11-05,0.0409
2881-09-20,0.0424
2966-08-06,0.0436
3045-12-30,0.0525
3122-08-29,0.0483
3213-01-03,0.0463
3295-02-22,0.0446
3371-10-22,0.0427
3462-02-27,0.042
3544-04-18,0.0432
3631-11-28,0.0421
3714-01-17,0.0456
3793-06-11,0.0485
3881-01-21,0.0515
3963-03-13,0.0799
4050-10-22,0.0863
4130-03-17,0.0912
4212-05-06,0.0803
4291-09-29,0.0758
4382-02-04,0.0716
4464-03-25,0.0579
4549-02-08,0.0514
4633-12-25,0.078
4713-05-20,0.0786
4800-12-29,0.0721
4883-02-17,0.0791
4962-07-13,0.0996
5052-11-18,0.0948
5129-07-18,0.091
1973-03-29,0.0946
1973-04-29,0.0912
1973-05-30,0.1054
1973-06-28,0.0912
1973-07-30,0.0953
1973-08-30,0.0873
1973-09-27,0.0906
1973-10-30,0.0986
1973-11-29,0.0988
1973-12-30,0.1233
1974-01-30,0.1852
1974-02-27,0.2047
1974-03-28,0.2023
1974-04-29,0.2255
1974-05-30,0.2347
1974-06-27,0.2137
1974-07-30,0.2582
1974-08-29,0.342
1974-09-29,0.3338
1974-10-30,0.4597
1974-11-28,0.532
1974-12-30,0.472
1975-01-30,0.3565
1975-02-27,0.2862
1975-03-30,0.254
1975-04-29,0.1892
1975-05-29,0.152
1975-06-29,0.1371
1975-07-30,0.1654
1975-08-28,0.1705
1975-09-29,0.1385
1975-10-30,0.1422
1975-11-27,0.1313
1975-12-30,0.144
