date,value
1962-11-29,0.4074
1962-12-27,0.4403
1963-01-30,0.5072
1963-02-27,0.5921
1963-03-28,0.6102
1963-04-29,0.8122
1963-05-30,1.01
1963-06-27,0.798
1963-07-30,0.6199
1963-08-29,0.642
1963-09-29,0.8532
1963-10-30,1.2002
1963-11-28,1.0829
1963-12-30,1.0825
1964-01-30,0.9802
1964-02-27,0.8821
1964-03-30,0.8236
1964-04-29,0.8142
1964-05-27,0.5846
1964-06-29,0.5036
1964-07-30,0.447
1964-08-30,0.4152
1964-09-29,0.3713
1964-10-29,0.3692
1964-11-29,0.306
1964-12-30,0.2585
1965-01-28,0.2295
1965-02-25,0.2502
1965-03-30,0.2504
1965-04-29,0.265
1965-05-27,0.2147
1965-06-29,0.2225
1965-07-29,0.2154
1965-08-30,0.1603
1965-09-29,0.2776
1965-10-28,0.2249
1965-11-29,0.2228
1965-12-29,0.2333
1966-01-30,0.2647
1966-02-27,0.2359
1966-03-30,0.214
1966-04-28,0.2147
1966-05-30,0.1917
1966-06-29,0.1862
1966-07-28,0.1896
1966-08-30,0.1559
1966-09-29,0.1795
1966-10-30,0.1569
-97459200000,0.1529
-94867200000,0.1294
-92102400000,0.1598
-89683200000,0.1873
-87004800000,0.1789
-84585600000,0.2651
-81734400000,0.2866
-79142400000,0.2131
-76464000000,0.1989
-73785600000,0.1598
-71280000000,0.2294
-68515200000,0.2412
-65923200000,0.2138
-63417600000,0.2398
0050-09-22,0.2299
0130-02-15,0.2075
0209-07-11,0.1787
0297-02-19,0.1903
0382-01-05,0.1795
0458-09-03,0.185
0549-01-09,0.1765
0631-03-01,0.1502
0716-01-15,0.1856
0800-11-29,0.2522
0880-04-23,0.2852
0967-12-04,0.2799
1052-10-19,0.2764
1129-06-18,0.3208
1206-02-14,0.3404
1296-06-21,0.3297
1375-11-15,0.3545
1463-06-27,0.3472
1548-05-12,0.3138
1627-10-05,0.2825
1715-05-17,0.286
1800-04-01,0.2975
1876-11-28,0.2761
1967-04-06,0.2464
2049-05-25,0.2807
2126-01-22,0.2878
2213-09-03,0.3015
2295-10-23,0.3293
2372-06-21,0.3184
2462-10-27,0.33
2547-09-12,0.311
2632-07-28,0.3408
2714-09-17,0.3129
2796-11-05,0.3348
2881-09-20,0.3454
2966-08-06,0.3534
3045-12-30,0.4255
3122-08-29,0.3908
3213-01-03,0.3734
3295-02-22,0.3589
3371-10-22,0.3418
3462-02-27,0.3337
3544-04-18,0.3424
3631-11-28,0.3328
3714-01-17,0.3607
3793-06-11,0.3825
3881-01-21,0.4062
3963-03-13,0.6271
4050-10-22,0.6773
4130-03-17,0.7124
4212-05-06,0.6256
4291-09-29,0.5892
4382-02-04,0.5552
4464-03-25,0.4479
4549-02-08,0.3957
4633-12-25,0.599
4713-05-20,0.6022
