date,value
1959-07-30,21.6734
1959-08-30,21.7839
1959-09-29,21.6215
1959-10-29,21.9758
1959-11-29,22.1843
1959-12-30,22.4037
1960-01-28,22.0729
1960-02-28,21.899
1960-03-30,22.7658
1960-04-28,20.7817
1960-05-30,20.1737
1960-06-29,20.1862
1960-07-28,20.0511
1960-08-30,20.718
1960-09-29,21.1953
1960-10-30,21.5618
1960-11-29,22.2069
1960-12-29,22.5684
1961-01-30,23.0772
1961-02-27,22.8867
1961-03-29,21.5618
1961-04-27,20.4188
1961-05-30,20.1005
1961-06-29,21.1072
1961-07-30,21.1062
1961-08-30,21.7745
1961-09-28,21.9879
1961-10-30,21.7621
1961-11-29,22.4416
1961-12-28,22.2782
1962-01-30,21.7836
1962-02-27,21.7691
1962-03-29,22.2149
1962-04-29,22.8548
1962-05-30,22.8997
1962-06-28,22.795
1962-07-30,22.6006
1962-08-30,22.6431
1962-09-27,21.1893
1962-10-30,21.9214
1962-11-29,22.1633
1962-12-30,22.3989
1963-01-30,22.4307
1963-02-27,21.9235
1963-03-28,21.9236
1963-04-29,20.4134
1963-05-30,19.5863
1963-06-27,19.5835
1963-07-30,18.8178
1963-08-29,19.1561
1963-09-29,21.6862
1963-10-30,22.4641
1963-11-28,22.5793
1963-12-30,22.9029
1964-01-30,22.7567
1964-02-27,21.717
1964-03-30,21.2953
1964-04-29,16.8275
1964-05-27,15.5748
1964-06-29,14.9419
1964-07-30,14.593
1964-08-30,15.3227
1964-09-29,15.3087
1964-10-29,15.6924
1964-11-29,15.8965
1964-12-30,15.4767
1965-01-28,15.6835
1965-02-25,15.5967
1965-03-30,15.3139
1965-04-29,14.5091
1965-05-27,14.4228
1965-06-29,14.6173
1965-07-29,15.0562
1965-08-30,16.1689
1965-09-29,16.4343
1965-10-28,16.6063
1965-11-29,16.6083
1965-12-29,17.0917
1966-01-30,16.8482
1966-02-27,16.3619
1966-03-30,15.7462
1966-04-28,15.9083
1966-05-30,16.8371
1966-06-29,18.4577
1966-07-28,18.6093
1966-08-30,19.0163
1966-09-29,17.4301
1966-10-30,16.7163
-97459200000,17.9379
-94867200000,17.2163
-92102400000,15.7457
-89683200000,17.3712
-87004800000,17.3108
-84585600000,16.0696
-81734400000,16.3321
-79142400000,14.9017
-76464000000,14.8146
-73785600000,14.4546
-71280000000,14.8512
-68515200000,14.587
-65923200000,14.2003
-63417600000,14.0538
0050-09-22,13.9146
0130-02-15,14.0173
0209-07-11,13.9369
0297-02-19,12.7974
0382-01-05,12.865
0458-09-03,12.0565
0549-01-09,11.5068
0631-03-01,11.1772
0716-01-15,11.0369
0800-11-29,11.742
0880-04-23,12.1425
0967-12-04,12.3118
1052-10-19,12.1753
1129-06-18,11.7965
1206-02-14,11.2472
1296-06-21,11.5473
1375-11-15,11.3539
1463-06-27,11.2081
1548-05-12,10.847
1627-10-05,11.5534
1715-05-17,11.7265
1800-04-01,11.6961
1876-11-28,12.3136
1967-04-06,12.6098
2049-05-25,12.2667
2126-01-22,12.5863
2213-09-03,12.1805
2295-10-23,12.0668
2372-06-21,11.2395
2462-10-27,11.7677
2547-09-12,12.1688
2632-07-28,13.4877
2714-09-17,13.8553
2796-11-05,14.286
2881-09-20,13.998
2966-08-06,13.6562
3045-12-30,13.4941
3122-08-29,13.1794
3213-01-03,12.7516
3295-02-22,12.3193
3371-10-22,12.6063
3462-02-27,12.4377
3544-04-18,11.7002
