date,value
1991-12-30,0.78
1992-12-30,0.73
1993-12-30,0.68
1994-12-30,0.73
1995-12-30,0.74
1996-12-30,0.78
1997-12-30,0.74
1998-12-30,0.63
1999-12-30,0.65
2000-12-30,0.58
2001-12-30,0.52
2002-12-30,0.54
2003-12-30,0.65
2004-12-30,0.74
2005-12-30,0.76
2006-12-30,0.75
2007-12-30,0.84
2008-12-30,0.85
2009-12-30,0.79
2010-12-30,0.92
2011-12-30,1.03
2012-12-30,1.04
2013-12-30,0.97
2014-12-30,0.9
2015-12-30,0.75
2016-12-30,0.74
2017-12-30,0.77
2018-12-30,0.75
2019-12-30,0.7
2020-12-30,0.69
2021-12-30,0.75
2022-12-30,0.69
2023-12-30,0.66
2024-12-30,0.66
2025-12-30,0.64
