date,value
1981-12-30,1.71
1982-12-30,1.9
1983-12-30,1.98
1984-12-30,2.33
1985-12-30,2.94
1986-12-30,3.46
1987-12-30,3.73
1988-12-30,3.73
1989-12-30,3.77
1990-12-30,4.79
1991-12-30,5.34
1992-12-30,5.52
1993-12-30,5.78
1994-12-30,8.64
1995-12-30,8.37
1996-12-30,8.34
1997-12-30,8.32
1998-12-30,8.3
1999-12-30,8.28
2000-12-30,8.28
2001-12-30,8.28
2002-12-30,8.28
2003-12-30,8.28
2004-12-30,8.28
2005-12-30,8.2
2006-12-30,7.97
2007-12-30,7.61
2008-12-30,6.95
2009-12-30,6.83
2010-12-30,6.77
2011-12-30,6.46
2012-12-30,6.31
2013-12-30,6.15
2014-12-30,6.16
2015-12-30,6.28
2016-12-30,6.65
2017-12-30,6.76
2018-12-30,6.63
2019-12-30,6.91
2020-12-30,6.9
2021-12-30,6.45
2022-12-30,6.73
2023-12-30,7.09
2024-12-30,7.19
2025-12-30,7.2
