date,value
1999-01-28,2.23
1999-02-25,2.16
1999-03-30,2.1
1999-04-29,2.05
1999-05-27,2.02
1999-06-29,2.01
1999-07-29,2.07
1999-08-30,2.04
1999-09-29,2.05
1999-10-28,2.02
1999-11-29,1.93
1999-12-30,1.93
2000-01-30,1.85
2000-02-28,1.83
2000-03-30,1.8
2000-04-27,1.72
2000-05-30,1.76
2000-06-29,1.78
2000-07-30,1.73
2000-08-30,1.66
2000-09-28,1.64
2000-10-30,1.57
2000-11-29,1.62
2000-12-28,1.75
2001-01-30,1.73
2001-02-27,1.69
2001-03-29,1.6
2001-04-29,1.62
2001-05-30,1.54
2001-06-28,1.54
2001-07-30,1.59
2001-08-30,1.66
2001-09-27,1.65
2001-10-30,1.63
2001-11-29,1.63
2001-12-30,1.62
2002-01-30,1.56
2002-02-27,1.58
2002-03-27,1.57
2002-04-29,1.61
2002-05-30,1.68
2002-06-27,1.78
2002-07-30,1.75
2002-08-29,1.75
2002-09-29,1.76
2002-10-30,1.76
2002-11-28,1.77
2002-12-30,1.87
2003-01-30,1.91
2003-02-27,1.9
2003-03-30,1.91
2003-04-29,1.96
2003-05-29,2.07
2003-06-29,2.02
2003-07-30,1.97
2003-08-28,1.92
2003-09-29,2.03
2003-10-30,2.02
2003-11-27,2.1
2003-12-30,2.2
2004-01-29,2.17
2004-02-26,2.16
2004-03-30,2.12
2004-04-29,2.05
2004-05-27,2.08
2004-06-29,2.07
2004-07-29,2.05
2004-08-30,2.07
2004-09-29,2.11
2004-10-28,2.16
2004-11-29,2.24
2004-12-30,2.3
2005-01-30,2.2
2005-02-27,2.22
2005-03-30,2.16
2005-04-28,2.13
2005-05-30,2.04
2005-06-29,2.01
2005-07-28,2
2005-08-30,2.03
2005-09-29,1.95
2005-10-30,1.94
2005-11-29,1.92
2005-12-29,1.94
2006-01-30,1.98
2006-02-27,1.93
2006-03-30,1.96
2006-04-27,2.02
2006-05-30,2.04
2006-06-29,2.03
2006-07-30,2.02
2006-08-30,2.03
2006-09-28,2.02
2006-10-30,2.04
2006-11-29,2.12
2006-12-28,2.11
2007-01-30,2.08
2007-02-27,2.1
2007-03-29,2.1
2007-04-29,2.13
2007-05-30,2.09
2007-06-28,2.1
2007-07-30,2.12
2007-08-30,2.11
2007-09-27,2.21
2007-10-30,2.24
2007-11-29,2.24
2007-12-30,2.24
2008-01-30,2.27
2008-02-28,2.31
2008-03-30,2.38
2008-04-29,2.35
2008-05-29,2.32
2008-06-29,2.32
2008-07-30,2.29
2008-08-28,2.16
2008-09-29,2.08
2008-10-30,1.9
2008-11-27,1.93
2008-12-30,2.14
2009-01-29,1.96
2009-02-26,1.93
2009-03-30,2.01
2009-04-29,2
2009-05-28,2.14
2009-06-29,2.1
2009-07-30,2.14
2009-08-30,2.14
2009-09-29,2.19
2009-10-29,2.2
2009-11-29,2.24
2009-12-30,2.14
2010-01-28,2.06
2010-02-25,2.03
2010-03-30,2
2010-04-29,1.97
2010-05-27,1.81
2010-06-29,1.81
2010-07-29,1.93
2010-08-30,1.87
2010-09-29,2.01
2010-10-28,2.06
2010-11-29,1.91
2010-12-30,1.97
2011-01-30,2.01
2011-02-27,2.01
2011-03-30,2.04
2011-04-28,2.12
2011-05-30,2.05
2011-06-29,2.07
2011-07-28,2.05
2011-08-30,2.05
2011-09-29,1.9
2011-10-30,1.97
2011-11-29,1.92
2011-12-29,1.85
2012-01-30,1.86
2012-02-28,1.89
2012-03-29,1.88
2012-04-29,1.86
2012-05-30,1.73
2012-06-28,1.78
2012-07-30,1.73
2012-08-30,1.76
2012-09-27,1.79
2012-10-30,1.81
2012-11-29,1.82
2012-12-30,1.85
2013-01-30,1.9
2013-02-27,1.81
2013-03-27,1.78
2013-04-29,1.83
2013-05-30,1.8
2013-06-27,1.8
2013-07-30,1.84
2013-08-29,1.82
2013-09-29,1.86
2013-10-30,1.88
2013-11-28,1.88
2013-12-30,1.9
2014-01-30,1.86
2014-02-27,1.9
2014-03-30,1.88
2014-04-29,1.89
2014-05-29,1.85
2014-06-29,1.85
2014-07-30,1.81
2014-08-28,1.78
2014-09-29,1.71
2014-10-30,1.7
2014-11-27,1.7
2014-12-30,1.66
2015-01-29,1.56
2015-02-26,1.54
2015-03-30,1.47
2015-04-29,1.53
2015-05-28,1.49
2015-06-29,1.51
2015-07-30,1.48
2015-08-30,1.52
2015-09-29,1.52
2015-10-29,1.49
2015-11-29,1.44
2015-12-30,1.48
2016-01-28,1.47
2016-02-28,1.48
2016-03-30,1.54
2016-04-28,1.54
2016-05-30,1.49
2016-06-29,1.49
2016-07-28,1.5
2016-08-30,1.49
2016-09-29,1.5
2016-10-30,1.47
2016-11-29,1.42
