date,value
1991-01-30,0.5991
1991-02-27,0.5994
1991-03-27,0.586
1991-04-29,0.5895
1991-05-30,0.5845
1991-06-27,0.5765
1991-07-30,0.572
1991-08-29,0.5755
1991-09-29,0.5703
1991-10-30,0.5581
1991-11-28,0.563
1991-12-30,0.5415
1992-01-30,0.5405
1992-02-27,0.547
1992-03-30,0.5464
1992-04-29,0.5381
1992-05-28,0.5357
1992-06-29,0.5448
1992-07-30,0.5455
1992-08-30,0.54
1992-09-29,0.5375
1992-10-29,0.5252
1992-11-29,0.5123
1992-12-30,0.5145
1993-01-28,0.5176
1993-02-25,0.5245
1993-03-30,0.5325
1993-04-29,0.5415
1993-05-27,0.5422
1993-06-29,0.5373
1993-07-29,0.5539
1993-08-30,0.5537
1993-09-29,0.5501
1993-10-28,0.5545
1993-11-29,0.5468
1993-12-30,0.5598
1994-01-30,0.5684
1994-02-27,0.5761
1994-03-30,0.5624
1994-04-28,0.5774
1994-05-30,0.5949
1994-06-29,0.5947
1994-07-28,0.6021
1994-08-30,0.6024
1994-09-29,0.6019
1994-10-30,0.616
1994-11-29,0.6289
1994-12-29,0.6428
1995-01-30,0.638
1995-02-27,0.634
1995-03-30,0.6551
1995-04-27,0.6726
1995-05-30,0.6648
1995-06-29,0.6695
1995-07-30,0.6752
1995-08-30,0.6527
1995-09-28,0.6581
1995-10-30,0.6572
1995-11-29,0.6533
1995-12-28,0.6537
1996-01-30,0.6727
1996-02-28,0.6737
1996-03-28,0.6815
1996-04-29,0.6868
1996-05-30,0.6789
1996-06-27,0.6854
1996-07-30,0.689
1996-08-29,0.69
1996-09-29,0.6996
1996-10-30,0.707
1996-11-28,0.7116
1996-12-30,0.707
1997-01-30,0.6906
1997-02-27,0.6946
1997-03-30,0.6953
1997-04-29,0.6933
1997-05-29,0.6898
1997-06-29,0.68
1997-07-30,0.6525
1997-08-28,0.6392
1997-09-29,0.6418
1997-10-30,0.6224
1997-11-27,0.6164
1997-12-30,0.5805
1998-01-29,0.5847
1998-02-26,0.5855
1998-03-30,0.5522
1998-04-29,0.5539
1998-05-28,0.5343
1998-06-29,0.5183
1998-07-30,0.5104
1998-08-30,0.494
1998-09-29,0.5002
1998-10-29,0.5296
1998-11-29,0.5251
1998-12-30,0.5295
1999-01-28,0.5384
1999-02-25,0.5254
1999-03-30,0.5354
1999-04-29,0.5584
1999-05-27,0.5358
1999-06-29,0.5337
1999-07-29,0.5304
1999-08-30,0.5176
1999-09-29,0.5178
1999-10-28,0.5065
1999-11-29,0.51
1999-12-30,0.5226
2000-01-30,0.494
2000-02-28,0.4897
2000-03-30,0.4973
2000-04-27,0.4859
2000-05-30,0.458
2000-06-29,0.4694
2000-07-30,0.4539
2000-08-30,0.4273
2000-09-28,0.4076
2000-10-30,0.3946
2000-11-29,0.4123
2000-12-28,0.4433
2001-01-30,0.4445
2001-02-27,0.4305
2001-03-29,0.4028
2001-04-29,0.4143
2001-05-30,0.4093
2001-06-28,0.4062
2001-07-30,0.413
2001-08-30,0.4399
2001-09-27,0.4076
2001-10-30,0.4113
2001-11-29,0.4168
2001-12-30,0.4166
2002-01-30,0.4167
2002-02-27,0.4218
2002-03-27,0.4413
2002-04-29,0.4477
2002-05-30,0.4808
2002-06-27,0.4873
2002-07-30,0.466
2002-08-29,0.4679
2002-09-29,0.4693
2002-10-30,0.4862
2002-11-28,0.4985
2002-12-30,0.5243
2003-01-30,0.5449
2003-02-27,0.5607
2003-03-30,0.5551
2003-04-29,0.5613
2003-05-29,0.5774
2003-06-29,0.5874
2003-07-30,0.581
2003-08-28,0.5782
2003-09-29,0.5946
2003-10-30,0.6126
2003-11-27,0.6397
2003-12-30,0.6551
2004-01-29,0.6739
2004-02-26,0.6873
2004-03-30,0.6688
2004-04-29,0.6263
2004-05-27,0.6314
2004-06-29,0.6367
2004-07-29,0.6365
2004-08-30,0.6556
2004-09-29,0.6782
2004-10-28,0.684
2004-11-29,0.7145
2004-12-30,0.7183
2005-01-30,0.7108
2005-02-27,0.727
2005-03-30,0.712
2005-04-28,0.7312
2005-05-30,0.7052
2005-06-29,0.6977
2005-07-28,0.6808
2005-08-30,0.6966
2005-09-29,0.692
2005-10-30,0.7004
2005-11-29,0.7031
2005-12-29,0.6828
2006-01-30,0.6867
2006-02-27,0.6613
2006-03-30,0.6152
2006-04-27,0.6367
2006-05-30,0.6339
2006-06-29,0.6072
2006-07-30,0.618
2006-08-30,0.6562
2006-09-28,0.6529
2006-10-30,0.6704
2006-11-29,0.6843
2006-12-28,0.7041
2007-01-30,0.6911
2007-02-27,0.7013
2007-03-29,0.7154
2007-04-29,0.7408
2007-05-30,0.7361
2007-06-28,0.7713
2007-07-30,0.7606
2007-08-30,0.7031
2007-09-27,0.7571
2007-10-30,0.772
2007-11-29,0.7633
2007-12-30,0.7661
2008-01-30,0.7885
2008-02-28,0.7987
2008-03-30,0.7859
2008-04-29,0.7813
2008-05-29,0.7825
2008-06-29,0.7614
2008-07-30,0.7334
2008-08-28,0.7011
2008-09-29,0.6703
2008-10-30,0.582
2008-11-27,0.5496
2008-12-30,0.5835
2009-01-29,0.5074
2009-02-26,0.4996
2009-03-30,0.5602
2009-04-29,0.5646
2009-05-28,0.64
2009-06-29,0.6457
2009-07-30,0.6615
2009-08-30,0.6854
2009-09-29,0.7234
2009-10-29,0.718
2009-11-29,0.7155
2009-12-30,0.7242
2010-01-28,0.7007
2010-02-25,0.6988
2010-03-30,0.7104
2010-04-29,0.7269
2010-05-27,0.6792
2010-06-29,0.6843
2010-07-29,0.7255
2010-08-30,0.6988
2010-09-29,0.7338
2010-10-28,0.7659
2010-11-29,0.7426
2010-12-30,0.7785
2011-01-30,0.7713
2011-02-27,0.7518
2011-03-30,0.7608
2011-04-28,0.8095
2011-05-30,0.8237
2011-06-29,0.8288
2011-07-28,0.8792
2011-08-30,0.8534
2011-09-29,0.761
2011-10-30,0.8061
2011-11-29,0.7805
2011-12-29,0.7777
2012-01-30,0.825
2012-02-28,0.8341
2012-03-29,0.8181
2012-04-29,0.8186
2012-05-30,0.753
2012-06-28,0.8006
2012-07-30,0.8086
2012-08-30,0.8032
2012-09-27,0.8291
2012-10-30,0.8223
2012-11-29,0.8198
2012-12-30,0.8282
2013-01-30,0.8388
2013-02-27,0.8255
2013-03-27,0.8367
2013-04-29,0.8562
2013-05-30,0.7934
2013-06-27,0.7738
2013-07-30,0.7982
2013-08-29,0.7723
2013-09-29,0.8308
2013-10-30,0.8257
2013-11-28,0.8132
2013-12-30,0.822
2014-01-30,0.8079
2014-02-27,0.8385
2014-03-30,0.8676
2014-04-29,0.8614
2014-05-29,0.849
2014-06-29,0.8755
2014-07-30,0.8498
2014-08-28,0.8361
2014-09-29,0.7806
2014-10-30,0.7793
2014-11-27,0.7842
2014-12-30,0.7801
2015-01-29,0.7259
2015-02-26,0.756
2015-03-30,0.7471
2015-04-29,0.761
2015-05-28,0.7107
2015-06-29,0.6765
2015-07-30,0.6592
2015-08-30,0.634
2015-09-29,0.6399
2015-10-29,0.6778
2015-11-29,0.6584
2015-12-30,0.6831
2016-01-28,0.6484
2016-02-28,0.659
2016-03-30,0.6909
2016-04-28,0.6977
2016-05-30,0.6763
2016-06-29,0.7134
2016-07-28,0.7199
2016-08-30,0.725
2016-09-29,0.7286
2016-10-30,0.7151
2016-11-29,0.7083
2016-12-29,0.6934
2017-01-30,0.7312
2017-02-27,0.7192
2017-03-30,0.7006
2017-04-27,0.6866
2017-05-30,0.7085
2017-06-29,0.7333
2017-07-30,0.7512
2017-08-30,0.7178
2017-09-28,0.7209
2017-10-30,0.6847
2017-11-29,0.6832
2017-12-28,0.7098
2018-01-30,0.7365
2018-02-27,0.7209
2018-03-30,0.7246
2018-04-29,0.704
2018-05-30,0.7008
2018-06-29,0.677
2018-07-30,0.6802
2018-08-30,0.6617
2018-09-28,0.6619
2018-10-30,0.6524
2018-11-29,0.6875
2018-12-30,0.6722
2019-01-30,0.6915
2019-02-27,0.6814
2019-03-29,0.6802
2019-04-29,0.664
2019-05-30,0.6535
2019-06-28,0.6722
2019-07-30,0.6561
2019-08-30,0.6313
2019-09-29,0.626
2019-10-30,0.6414
2019-11-29,0.6419
2019-12-30,0.672
2020-01-30,0.6464
2020-02-28,0.6251
2020-03-30,0.594
2020-04-29,0.6114
2020-05-29,0.6204
2020-06-29,0.6451
2020-07-30,0.6629
2020-08-30,0.6735
2020-09-29,0.6628
2020-10-30,0.6663
2020-11-29,0.7012
2020-12-30,0.7183
2021-01-29,0.7229
2021-02-26,0.7234
2021-03-30,0.6984
2021-04-29,0.7163
2021-05-30,0.728
2021-06-29,0.6992
2021-07-30,0.6973
2021-08-30,0.7049
2021-09-29,0.6903
2021-10-29,0.7167
2021-11-29,0.6818
2021-12-30,0.6842
2022-01-30,0.6578
2022-02-27,0.6772
2022-03-30,0.6938
2022-04-29,0.6464
2022-05-30,0.652
2022-06-29,0.6236
2022-07-29,0.6197
2022-08-30,0.6119
2022-09-29,0.5588
2022-10-30,0.5821
2022-11-29,0.6294
2022-12-30,0.6349
2023-01-30,0.6431
2023-02-27,0.6186
2023-03-30,0.6258
2023-04-28,0.6182
2023-05-30,0.6024
2023-06-29,0.611
2023-07-30,0.6204
2023-08-30,0.5976
2023-09-29,0.5995
2023-10-30,0.5807
2023-11-29,0.6157
2023-12-30,0.6318
2024-01-30,0.6111
2024-02-28,0.6085
2024-03-30,0.5986
2024-04-29,0.5879
2024-05-30,0.6157
2024-06-29,0.6099
2024-07-30,0.5951
2024-08-30,0.6249
2024-09-29,0.6344
2024-10-30,0.5971
2024-11-29,0.5924
2024-12-30,0.5594
2025-01-30,0.5637
2025-02-27,0.5598
2025-03-30,0.567
2025-04-29,0.5937
2025-05-30,0.5957
2025-06-29,0.6095
2025-07-30,0.5891
2025-08-29,0.5895
2025-09-29,0.5796
2025-10-30,0.5725
2025-11-28,0.5734
2025-12-16,0.5778
