date,value
1991-01-30,1.44
1991-02-27,1.43
1991-03-27,1.4
1991-04-29,1.41
1991-05-30,1.39
1991-06-27,1.37
1991-07-30,1.35
1991-08-29,1.36
1991-09-29,1.34
1991-10-30,1.31
1991-11-28,1.32
1991-12-30,1.27
1992-01-30,1.26
1992-02-27,1.27
1992-03-30,1.27
1992-04-29,1.24
1992-05-28,1.24
1992-06-29,1.25
1992-07-30,1.25
1992-08-30,1.24
1992-09-29,1.23
1992-10-29,1.19
1992-11-29,1.16
1992-12-30,1.17
1993-01-28,1.17
1993-02-25,1.18
1993-03-30,1.2
1993-04-29,1.21
1993-05-27,1.21
1993-06-29,1.2
1993-07-29,1.24
1993-08-30,1.23
1993-09-29,1.22
1993-10-28,1.23
1993-11-29,1.21
1993-12-30,1.24
1994-01-30,1.25
1994-02-27,1.27
1994-03-30,1.23
1994-04-28,1.26
1994-05-30,1.3
1994-06-29,1.3
1994-07-28,1.31
1994-08-30,1.3
1994-09-29,1.3
1994-10-30,1.33
1994-11-29,1.36
1994-12-29,1.39
1995-01-30,1.37
1995-02-27,1.36
1995-03-30,1.4
1995-04-27,1.43
1995-05-30,1.41
1995-06-29,1.42
1995-07-30,1.43
1995-08-30,1.38
1995-09-28,1.39
1995-10-30,1.38
1995-11-29,1.37
1995-12-28,1.37
1996-01-30,1.41
1996-02-28,1.4
1996-03-28,1.41
1996-04-29,1.42
1996-05-30,1.4
1996-06-27,1.41
1996-07-30,1.42
1996-08-29,1.41
1996-09-29,1.43
1996-10-30,1.44
1996-11-28,1.45
1996-12-30,1.44
1997-01-30,1.4
1997-02-27,1.4
1997-03-30,1.4
1997-04-29,1.4
1997-05-29,1.39
1997-06-29,1.37
1997-07-30,1.31
1997-08-28,1.28
1997-09-29,1.28
1997-10-30,1.24
1997-11-27,1.23
1997-12-30,1.16
1998-01-29,1.17
1998-02-26,1.17
1998-03-30,1.1
1998-04-29,1.1
1998-05-28,1.06
1998-06-29,1.03
1998-07-30,1.01
1998-08-30,0.98
1998-09-29,0.99
1998-10-29,1.04
1998-11-29,1.03
1998-12-30,1.04
1999-01-28,1.06
1999-02-25,1.03
1999-03-30,1.05
1999-04-29,1.08
1999-05-27,1.04
1999-06-29,1.04
1999-07-29,1.03
1999-08-30,1
1999-09-29,0.99
1999-10-28,0.97
1999-11-29,0.98
1999-12-30,1
2000-01-30,0.94
2000-02-28,0.93
2000-03-30,0.94
2000-04-27,0.91
2000-05-30,0.86
2000-06-29,0.88
2000-07-30,0.85
2000-08-30,0.8
2000-09-28,0.76
2000-10-30,0.73
2000-11-29,0.76
2000-12-28,0.82
2001-01-30,0.82
2001-02-27,0.79
2001-03-29,0.74
2001-04-29,0.76
2001-05-30,0.74
2001-06-28,0.74
2001-07-30,0.75
2001-08-30,0.8
2001-09-27,0.74
2001-10-30,0.75
2001-11-29,0.76
2001-12-30,0.76
2002-01-30,0.76
2002-02-27,0.77
2002-03-27,0.8
2002-04-29,0.8
2002-05-30,0.86
2002-06-27,0.87
2002-07-30,0.83
2002-08-29,0.84
2002-09-29,0.84
2002-10-30,0.87
2002-11-28,0.89
2002-12-30,0.93
2003-01-30,0.97
2003-02-27,0.99
2003-03-30,0.97
2003-04-29,0.99
2003-05-29,1.01
2003-06-29,1.03
2003-07-30,1.02
2003-08-28,1.01
2003-09-29,1.04
2003-10-30,1.07
2003-11-27,1.12
2003-12-30,1.15
2004-01-29,1.17
2004-02-26,1.19
2004-03-30,1.15
2004-04-29,1.07
2004-05-27,1.08
2004-06-29,1.08
2004-07-29,1.08
2004-08-30,1.12
2004-09-29,1.15
2004-10-28,1.16
2004-11-29,1.21
2004-12-30,1.22
2005-01-30,1.2
2005-02-27,1.22
2005-03-30,1.19
2005-04-28,1.21
2005-05-30,1.17
2005-06-29,1.16
2005-07-28,1.12
2005-08-30,1.14
2005-09-29,1.12
2005-10-30,1.13
2005-11-29,1.15
2005-12-29,1.12
2006-01-30,1.12
2006-02-27,1.07
2006-03-30,0.99
2006-04-27,1.02
2006-05-30,1.01
2006-06-29,0.97
2006-07-30,0.98
2006-08-30,1.04
2006-09-28,1.04
2006-10-30,1.07
2006-11-29,1.1
2006-12-28,1.13
2007-01-30,1.1
2007-02-27,1.11
2007-03-29,1.12
2007-04-29,1.16
2007-05-30,1.14
2007-06-28,1.19
2007-07-30,1.18
2007-08-30,1.09
2007-09-27,1.17
2007-10-30,1.19
2007-11-29,1.17
2007-12-30,1.18
2008-01-30,1.2
2008-02-28,1.22
2008-03-30,1.19
2008-04-29,1.17
2008-05-29,1.17
2008-06-29,1.12
2008-07-30,1.08
2008-08-28,1.03
2008-09-29,0.99
2008-10-30,0.87
2008-11-27,0.83
2008-12-30,0.9
2009-01-29,0.78
2009-02-26,0.76
2009-03-30,0.85
2009-04-29,0.85
2009-05-28,0.97
2009-06-29,0.97
