date,value
3045-12-30,2.42
3122-08-29,2.42
3213-01-03,2.42
3295-02-22,2.42
3371-10-22,2.42
3462-02-27,2.42
3544-04-18,2.42
3631-11-28,2.45
3714-01-17,2.48
3793-06-11,2.49
3881-01-21,2.49
3965-12-07,2.55
4050-10-22,2.59
4130-03-17,2.61
4215-01-31,2.62
4291-09-29,2.61
4382-02-04,2.61
4464-03-25,2.44
4549-02-08,2.45
4633-12-25,2.45
4713-05-20,2.42
4800-12-29,2.34
4883-02-17,2.35
4962-07-13,2.35
5052-11-18,2.38
5129-07-18,2.49
1973-03-29,2.48
1973-04-29,2.49
1973-05-30,2.57
1973-06-28,2.58
1973-07-30,2.5
1973-08-30,2.46
1973-09-27,2.41
1973-10-30,2.44
1973-11-29,2.34
1973-12-30,2.32
1974-01-30,2.29
1974-02-27,2.3
1974-03-28,2.39
1974-04-29,2.42
1974-05-30,2.4
1974-06-27,2.39
1974-07-30,2.39
1974-08-29,2.32
1974-09-29,2.33
1974-10-30,2.34
1974-11-28,2.33
1974-12-30,2.35
1975-01-30,2.38
1975-02-27,2.43
1975-03-30,2.41
1975-04-29,2.35
1975-05-29,2.32
1975-06-29,2.19
1975-07-30,2.15
1975-08-28,2.11
1975-09-29,2.04
1975-10-30,2.08
1975-11-27,2.02
1975-12-30,2.02
1976-01-29,2.03
1976-02-26,2.03
1976-03-30,1.92
1976-04-29,1.84
1976-05-27,1.76
1976-06-29,1.79
1976-07-29,1.79
1976-08-30,1.78
1976-09-29,1.66
1976-10-28,1.59
1976-11-29,1.65
1976-12-30,1.7
1977-01-30,1.72
1977-02-27,1.71
1977-03-30,1.72
1977-04-28,1.72
1977-05-30,1.72
1977-06-29,1.72
1977-07-28,1.74
1977-08-30,1.74
1977-09-29,1.75
1977-10-30,1.84
1977-11-29,1.82
1977-12-29,1.92
1978-01-30,1.95
1978-02-27,1.94
1978-03-30,1.86
1978-04-27,1.82
1978-05-30,1.83
1978-06-29,1.86
1978-07-30,1.93
1978-08-30,1.94
1978-09-28,1.98
1978-10-30,2.08
1978-11-29,1.94
1978-12-28,2.04
1979-01-30,1.99
1979-02-27,2.02
1979-03-29,2.06
1979-04-29,2.07
1979-05-30,2.07
1979-06-28,2.18
1979-07-30,2.25
1979-08-30,2.25
1979-09-27,2.2
1979-10-30,2.07
1979-11-29,2.2
1979-12-30,2.22
1980-01-30,2.27
1980-02-28,2.27
1980-03-30,2.16
1980-04-29,2.26
1980-05-29,2.34
1980-06-29,2.36
1980-07-30,2.34
1980-08-28,2.4
