date,value
1991-12-30,237.55
1992-12-30,223.58
1993-12-30,166.74
1994-12-30,156.4
1995-12-30,148.33
1996-12-30,170
1997-12-30,198.28
1998-12-30,216.77
1999-12-30,183.79
2000-12-30,163.32
2001-12-30,174.97
2002-12-30,187.94
2003-12-30,189.26
2004-12-30,198.16
2005-12-30,200.2
2006-12-30,214.45
2007-12-30,235.69
2008-12-30,192.17
2009-12-30,146.62
2010-12-30,135.4
2011-12-30,127.81
2012-12-30,126.55
2013-12-30,152.79
2014-12-30,174.18
2015-12-30,185.07
2016-12-30,147.61
2017-12-30,144.54
2018-12-30,147.19
2019-12-30,139.27
2020-12-30,137.01
2021-12-30,151.09
2022-12-30,161.86
2023-12-30,175.5
2024-12-30,193.52
2025-12-30,196.42
