date,value
1994-07-28,3.3925
1994-08-30,3.388
1994-09-29,3.393
1994-10-30,3.433
1994-11-29,3.439
1994-12-29,4.885
1995-01-30,5.7625
1995-02-27,6.035
1995-03-30,6.775
1995-04-27,6.0125
1995-05-30,6.1825
1995-06-29,6.25
1995-07-30,6.02
1995-08-30,6.258
1995-09-28,6.382
1995-10-30,7.11
1995-11-29,7.535
1995-12-28,7.69
1996-01-30,7.385
1996-02-28,7.605
1996-03-28,7.527
1996-04-29,7.41
1996-05-30,7.4235
1996-06-27,7.5951
1996-07-30,7.583
1996-08-29,7.576
1996-09-29,7.545
1996-10-30,7.98
1996-11-28,7.85
1996-12-30,7.876
1997-01-30,7.79
1997-02-27,7.83
1997-03-30,7.88
1997-04-29,7.94
1997-05-29,7.91
1997-06-29,7.93
1997-07-30,7.8
1997-08-28,7.79
1997-09-29,7.7
1997-10-30,8.01
1997-11-27,8.13
1997-12-30,8.06
1998-01-29,8.47
1998-02-26,8.518
1998-03-30,8.515
1998-04-29,8.486
1998-05-28,8.82
1998-06-29,8.985
1998-07-30,8.9
1998-08-30,9.97
1998-09-29,10.185
1998-10-29,10.115
1998-11-29,10.004
1998-12-30,9.93
1999-01-28,10.1011
1999-02-25,9.885
1999-03-30,9.518
1999-04-29,9.235
1999-05-27,9.78
1999-06-29,9.4395
1999-07-29,9.385
1999-08-30,9.39
1999-09-29,9.3425
1999-10-28,9.62
1999-11-29,9.4225
1999-12-30,9.492
2000-01-30,9.6245
2000-02-28,9.3625
2000-03-30,9.248
2000-04-27,9.3943
2000-05-30,9.5063
2000-06-29,9.835
2000-07-30,9.345
2000-08-30,9.2
2000-09-28,9.4365
2000-10-30,9.56
2000-11-29,9.42
2000-12-28,9.6145
2001-01-30,9.66
2001-02-27,9.675
2001-03-29,9.4565
2001-04-29,9.24
2001-05-30,9.175
2001-06-28,9.036
2001-07-30,9.17
2001-08-30,9.1988
2001-09-27,9.509
2001-10-30,9.28
2001-11-29,9.219
2001-12-30,9.1525
2002-01-30,9.14
2002-02-27,9.12
2002-03-27,9.005
2002-04-29,9.405
2002-05-30,9.634
2002-06-27,9.9325
2002-07-30,9.8645
2002-08-29,9.9425
2002-09-29,10.19
2002-10-30,10.2
2002-11-28,10.1375
2002-12-30,10.4285
2003-01-30,10.9013
2003-02-27,11.011
2003-03-30,10.7611
2003-04-29,10.2585
2003-05-29,10.309
2003-06-29,10.448
2003-07-30,10.589
2003-08-28,11.032
2003-09-29,10.977
2003-10-30,11.0119
2003-11-27,11.3745
2003-12-30,11.225
2004-01-29,11.0578
2004-02-26,11.0525
2004-03-30,11.1315
2004-04-29,11.411
2004-05-27,11.4075
2004-06-29,11.476
2004-07-29,11.4105
2004-08-30,11.381
2004-09-29,11.3775
2004-10-28,11.5312
2004-11-29,11.2335
2004-12-30,11.139
2005-01-30,11.1695
2005-02-27,11.1
2005-03-30,11.1665
2005-04-28,11.0815
2005-05-30,10.8662
2005-06-29,10.745
2005-07-28,10.639
2005-08-30,10.7445
2005-09-29,10.7825
2005-10-30,10.7875
2005-11-29,10.5565
2005-12-29,10.62
2006-01-30,10.444
2006-02-27,10.4775
2006-03-30,10.874
2006-04-27,11.052
2006-05-30,11.324
2006-06-29,11.33
2006-07-30,10.96
2006-08-30,10.9125
2006-09-28,10.9815
2006-10-30,10.75
2006-11-29,10.973
2006-12-28,10.8018
2007-01-30,11.0025
2007-02-27,11.1655
2007-03-29,11.038
2007-04-29,10.963
2007-05-30,10.737
2007-06-28,10.8055
2007-07-30,10.99
2007-08-30,11.0235
2007-09-27,10.92
2007-10-30,10.649
2007-11-29,10.91
2007-12-30,10.894
2008-01-30,10.824
2008-02-28,10.707
2008-03-30,10.639
2008-04-29,10.4845
2008-05-29,10.3165
2008-06-29,10.305
2008-07-30,10.03
2008-08-28,10.28
2008-09-29,10.915
2008-10-30,12.75
2008-11-27,13.4472
2008-12-30,13.6475
2009-01-29,14.3
2009-02-26,15.231
2009-03-30,14.18
2009-04-29,13.799
2009-05-28,13.13
2009-06-29,13.1773
2009-07-30,13.169
2009-08-30,13.3605
2009-09-29,13.496
2009-10-29,13.215
2009-11-29,12.925
2009-12-30,13.0713
2010-01-28,13.0903
2010-02-25,12.7713
2010-03-30,12.3625
2010-04-29,12.3055
2010-05-27,12.9615
2010-06-29,12.9385
2010-07-29,12.6465
2010-08-30,13.2027
2010-09-29,12.57
2010-10-28,12.3449
2010-11-29,12.4903
2010-12-30,12.354
2011-01-30,12.1199
2011-02-27,12.1039
2011-03-30,11.9015
2011-04-28,11.4975
2011-05-30,11.5667
2011-06-29,11.708
2011-07-28,11.7163
2011-08-30,12.3382
2011-09-29,13.895
2011-10-30,13.3501
2011-11-29,13.635
2011-12-29,13.9464
2012-01-30,13.0443
2012-02-28,12.8426
2012-03-29,12.8144
2012-04-29,13.0099
2012-05-30,14.3635
2012-06-28,13.3852
2012-07-30,13.3301
2012-08-30,13.1925
2012-09-27,12.866
2012-10-30,13.0932
2012-11-29,12.945
2012-12-30,12.86
2013-01-30,12.7025
2013-02-27,12.7798
2013-03-27,12.3508
2013-04-29,12.1354
2013-05-30,12.798
2013-06-27,12.936
2013-07-30,12.7309
2013-08-29,13.368
2013-09-29,13.086
2013-10-30,13.0202
2013-11-28,13.1
2013-12-30,13.033
2014-01-30,13.3525
2014-02-27,13.2442
2014-03-30,13.0517
2014-04-29,13.0801
2014-05-29,12.8535
2014-06-29,12.9714
2014-07-30,13.2154
2014-08-28,13.085
2014-09-29,13.4252
2014-10-30,13.4772
2014-11-27,13.9355
2014-12-30,14.741
2015-01-29,14.984
2015-02-26,14.946
2015-03-30,15.2515
2015-04-29,15.341
2015-05-28,15.378
2015-06-29,15.7389
2015-07-30,16.1088
2015-08-30,16.7503
2015-09-29,16.9177
2015-10-29,16.5021
2015-11-29,16.5768
2015-12-30,17.2075
2016-01-28,18.1065
2016-02-28,18.136
2016-03-30,17.279
2016-04-28,17.177
2016-05-30,18.4672
2016-06-29,18.2804
2016-07-28,18.7527
2016-08-30,18.7836
2016-09-29,19.3852
2016-10-30,18.8642
2016-11-29,20.5743
2016-12-29,20.7272
2017-01-30,20.8322
2017-02-27,20.109
2017-03-30,18.7249
2017-04-27,18.8206
2017-05-30,18.6199
2017-06-29,18.1203
2017-07-30,17.8005
2017-08-30,17.8863
2017-09-28,18.2545
2017-10-30,19.1466
2017-11-29,18.6284
2017-12-28,19.659
2018-01-30,18.5999
2018-02-27,18.8384
2018-03-30,18.149
2018-04-29,18.7106
2018-05-30,19.9145
2018-06-29,19.909
2018-07-30,18.6686
2018-08-30,19.0845
2018-09-28,18.7179
2018-10-30,20.3306
2018-11-29,20.3972
2018-12-30,19.648
2019-01-30,19.1194
2019-02-27,19.2759
2019-03-29,19.4301
2019-04-29,18.9444
2019-05-30,19.6155
2019-06-28,19.2297
2019-07-30,19.1524
2019-08-30,20.0675
2019-09-29,19.7361
2019-10-30,19.2359
2019-11-29,19.5447
2019-12-30,18.9324
2020-01-30,18.8436
2020-02-28,19.6169
2020-03-30,23.7871
2020-04-29,24.2195
2020-05-29,22.1672
2020-06-29,23.0163
2020-07-30,22.2723
2020-08-30,21.9209
2020-09-29,22.0842
2020-10-30,21.1864
2020-11-29,20.1767
2020-12-30,19.8848
2021-01-29,20.5876
2021-02-26,20.8629
2021-03-30,20.4307
2021-04-29,20.2429
2021-05-30,19.9319
2021-06-29,19.9401
2021-07-30,19.8817
2021-08-30,20.0722
2021-09-29,20.6175
2021-10-29,20.5553
2021-11-29,21.4542
2021-12-30,20.4973
2022-01-30,20.6387
2022-02-27,20.4843
2022-03-30,19.8703
2022-04-29,20.3997
2022-05-30,19.6565
2022-06-29,20.119
2022-07-29,20.3679
2022-08-30,20.1582
2022-09-29,20.1462
2022-10-30,19.8123
2022-11-29,19.2781
2022-12-30,19.4819
2023-01-30,18.8403
2023-02-27,18.3012
2023-03-30,18.0165
2023-04-28,18.0005
2023-05-30,17.6915
2023-06-29,17.1243
2023-07-30,16.7531
2023-08-30,17.0007
2023-09-29,17.4189
2023-10-30,18.0617
2023-11-29,17.3901
2023-12-30,16.9742
2024-01-30,17.2204
2024-02-28,17.0529
2024-03-30,16.558
2024-04-29,17.1528
2024-05-30,17.0416
2024-06-29,18.2803
2024-07-30,18.6465
2024-08-30,19.7296
2024-09-29,19.6774
2024-10-30,20.0492
2024-11-29,20.3808
2024-12-30,20.8784
2025-01-30,20.683
2025-02-27,20.5457
2025-03-30,20.4769
2025-04-29,19.604
2025-05-30,19.4301
2025-06-29,18.7495
2025-07-30,18.8707
2025-08-29,18.6556
2025-09-29,18.3153
2025-10-30,18.5748
2025-11-28,18.295
2025-12-16,17.966
