date,value
1994-12-30,3.5
1995-12-30,6.42
1996-12-30,7.59
1997-12-30,7.89
1998-12-30,9.15
1999-12-30,9.54
2000-12-30,9.46
2001-12-30,9.33
2002-12-30,9.67
2003-12-30,10.79
2004-12-30,11.29
2005-12-30,10.88
2006-12-30,10.91
2007-12-30,10.93
2008-12-30,11.15
2009-12-30,13.5
2010-12-30,12.62
2011-12-30,12.44
2012-12-30,13.15
2013-12-30,12.76
2014-12-30,13.31
2015-12-30,15.9
2016-12-30,18.69
2017-12-30,18.91
2018-12-30,19.22
2019-12-30,19.25
2020-12-30,21.48
2021-12-30,20.29
2022-12-30,20.11
2023-12-30,17.69
2024-12-30,18.32
2025-12-30,19.31
