date,value
1991-01-30,4.13
1991-02-27,4.12
1991-03-27,4.29
1991-04-29,4.2
1991-05-30,4.2
1991-06-27,4.18
1991-07-30,4.12
1991-08-29,4.07
1991-09-29,3.96
1991-10-30,3.96
1991-11-28,3.89
1991-12-30,3.79
1992-01-30,3.81
1992-02-27,3.82
1992-03-30,3.83
1992-04-29,3.83
1992-05-28,3.76
1992-06-29,3.72
1992-07-30,3.7
1992-08-30,3.66
1992-09-29,3.63
1992-10-29,3.68
1992-11-29,3.71
1992-12-30,3.72
1993-01-28,3.72
1993-02-25,3.7
1993-03-30,3.68
1993-04-29,3.61
1993-05-27,3.59
1993-06-29,3.63
1993-07-29,3.61
1993-08-30,3.57
1993-09-29,3.52
1993-10-28,3.51
1993-11-29,3.54
1993-12-30,3.56
1994-01-30,3.51
1994-02-27,3.48
1994-03-30,3.44
1994-04-28,3.4
1994-05-30,3.35
1994-06-29,3.33
1994-07-28,3.28
1994-08-30,3.25
1994-09-29,3.2
1994-10-30,3.17
1994-11-29,3.15
1994-12-29,3.14
1995-01-30,3.12
1995-02-27,3.1
1995-03-30,3
1995-04-27,2.96
1995-05-30,2.95
1995-06-29,2.95
1995-07-30,2.95
1995-08-30,2.99
1995-09-28,3
1995-10-30,2.96
1995-11-29,2.96
1995-12-28,2.97
1996-01-30,2.96
1996-02-28,2.94
1996-03-28,2.92
1996-04-29,2.9
1996-05-30,2.9
1996-06-27,2.9
1996-07-30,2.9
1996-08-29,2.88
1996-09-29,2.88
1996-10-30,2.87
1996-11-28,2.85
1996-12-30,2.84
1997-01-30,2.85
1997-02-27,2.88
1997-03-30,2.91
1997-04-29,2.91
1997-05-29,2.88
1997-06-29,2.88
1997-07-30,2.96
1997-08-28,3.04
1997-09-29,3.06
1997-10-30,3.14
1997-11-27,3.18
1997-12-30,3.37
1998-01-29,3.42
1998-02-26,3.23
1998-03-30,3.21
1998-04-29,3.14
1998-05-28,3.32
1998-06-29,3.33
1998-07-30,3.41
1998-08-30,3.5
1998-09-29,3.32
1998-10-29,3.19
1998-11-29,3.24
1998-12-30,3.25
1999-01-28,3.32
1999-02-25,3.38
1999-03-30,3.37
1999-04-29,3.29
1999-05-27,3.35
1999-06-29,3.3
1999-07-29,3.26
1999-08-30,3.25
1999-09-29,3.26
1999-10-28,3.19
1999-11-29,3.22
1999-12-30,3.19
2000-01-30,3.25
2000-02-28,3.27
2000-03-30,3.22
2000-04-27,3.21
2000-05-30,3.26
2000-06-29,3.23
2000-07-30,3.23
2000-08-30,3.21
2000-09-28,3.23
2000-10-30,3.25
2000-11-29,3.25
2000-12-28,3.21
2001-01-30,3.21
2001-02-27,3.2
2001-03-29,3.3
2001-04-29,3.32
2001-05-30,3.28
2001-06-28,3.3
2001-07-30,3.28
2001-08-30,3.16
2001-09-27,3.19
2001-10-30,3.31
2001-11-29,3.33
2001-12-30,3.37
2002-01-30,3.35
2002-02-27,3.32
2002-03-27,3.32
2002-04-29,3.26
2002-05-30,3.21
2002-06-27,3.17
2002-07-30,3.16
2002-08-29,3.12
2002-09-29,3.17
2002-10-30,3.14
2002-11-28,3.14
