date,value
1954-07-30,3
1954-08-30,17.27
1954-09-29,17.33
1954-10-30,13.6
1954-11-29,16.61
1954-12-30,17.4
1955-01-30,17.4
1955-02-27,17.4
1955-03-30,17.4
1955-04-29,20.42
1955-05-30,20.42
1955-06-29,20.42
1955-07-30,21.06
1955-08-30,24.07
1955-09-29,26.26
1955-10-30,26.98
1955-11-29,29.26
1955-12-30,30.09
1956-01-30,30.09
1956-02-28,30.09
1956-03-30,30.09
1956-04-29,32.98
1956-05-30,32.85
1956-06-29,32.61
1956-07-30,31.67
1956-08-30,35.45
1956-09-29,35.32
1956-10-30,35.19
1956-11-29,35.19
1956-12-30,35.06
1957-01-30,35.06
1957-02-27,34.93
1957-03-30,34.11
1957-04-29,34.68
1957-05-30,34.56
1957-06-29,34.44
1957-07-30,32.83
1957-08-30,39.89
1957-09-29,39.89
1957-10-30,39.89
1957-11-29,34.07
1957-12-30,34.07
1958-01-30,16.92
1958-02-27,5.64
1958-03-30,5.6
1958-04-29,2.79
1958-05-30,1.45
1958-06-29,5.58
1958-07-30,4.23
1958-08-30,19.53
1958-09-29,16.74
1958-10-30,22.32
1958-11-29,27.81
1958-12-30,26.56
1959-01-30,27.81
1959-02-27,27.9
1959-03-30,33.48
1959-04-29,33.37
1959-05-30,36.15
1959-06-29,33.25
1959-07-30,38.66
1959-08-30,38.66
1959-09-29,33.03
1959-10-30,43.89
1959-11-29,43.89
1959-12-30,43.89
1960-01-30,44.04
1960-02-28,43.89
1960-03-30,43.89
1960-04-29,43.74
1960-05-30,38.27
1960-06-29,38.14
1960-07-30,35.42
1960-08-30,32.69
1960-09-29,32.69
1960-10-30,29.77
1960-11-29,2.71
1960-12-30,32.47
1961-01-30,24.35
1961-02-27,21.65
1961-03-30,21.65
1961-04-29,5.41
1961-05-30,10.82
1961-06-29,5.41
1961-07-30,26.88
1961-08-30,18.88
1961-09-29,16.13
1961-10-30,21.5
1961-11-29,18.82
1961-12-30,26.88
1962-01-30,16.13
1962-02-27,29.47
1962-03-30,29.47
1962-04-29,26.7
1962-05-30,29.37
1962-06-29,29.37
1962-07-30,29.28
1962-08-30,31.94
1962-09-29,29.18
1962-10-30,31.83
1962-11-29,30.56
1962-12-30,31.83
1963-01-30,31.83
1963-02-27,31.83
1963-03-30,31.73
1963-04-29,31.73
1963-05-30,31.73
1963-06-29,31.62
1963-07-30,36.77
1963-08-30,36.77
1963-09-29,36.77
1963-10-30,36.65
1963-11-29,36.65
1963-12-30,33.93
1964-01-30,36.54
1964-02-28,36.54
1964-03-30,36.54
1964-04-29,36.54
1964-05-30,36.54
1964-06-29,36.42
1964-07-30,36.3
1964-08-30,36.42
1964-09-29,28.52
1964-10-30,36.3
1964-11-29,41.35
1964-12-30,41.35
1965-01-30,41.35
1965-02-27,41.35
1965-03-30,41.22
1965-04-29,42.43
1965-05-30,42.43
1965-06-29,42.16
1965-07-30,42.16
1965-08-30,40.83
1965-09-29,42.16
1965-10-30,42.02
1965-11-29,42.02
1965-12-30,46.96
1966-01-30,45.65
1966-02-27,46.67
1966-03-30,47.73
1966-04-29,46.24
1966-05-30,47.44
1966-06-29,54.76
1966-07-30,57.07
1966-08-30,44.39
1966-09-29,56.72
1966-10-30,56.37
-97459200000,56.37
-94780800000,49.02
-92102400000,39.22
-89683200000,46.57
-87004800000,43.99
-84412800000,38.98
-81734400000,40.13
-79142400000,33.9
-76464000000,36.22
-73785600000,38.51
-71193600000,36
-68515200000,39.53
-65923200000,42.94
-63244800000,42.82
0050-09-22,44.93
0130-02-15,44.8
0215-01-01,49.37
0297-02-19,58.6
0382-01-05,57.31
0464-02-24,51.13
0549-01-09,55.45
0633-11-25,52.99
0716-01-15,50.54
0800-11-29,54.83
0883-01-18,54.67
0967-12-04,36.34
1052-10-19,57.81
1129-06-18,63.07
1214-05-03,55.85
1296-06-21,71.09
1381-05-07,83.12
1463-06-27,66.1
1548-05-12,76.7
1633-03-27,85
1715-05-17,73.9
1800-04-01,77.83
1882-05-21,79.57
1967-04-06,42.78
2052-02-19,80.04
2128-10-18,72.15
2213-09-03,63.33
2295-10-23,71.21
2380-09-07,65.85
2462-10-27,47.8
2547-09-12,55.83
2632-07-28,53.76
2714-09-17,41.14
