date,value
1963-12-30,7.53
1964-12-30,1.69
1965-12-30,10.45
-94780800000,-0.22
-63244800000,22.84
0967-12-04,8.07
1967-04-06,27.92
2966-08-06,-17.51
3965-12-07,-9.38
4968-01-03,8.83
1973-12-30,7.64
1974-12-30,7.25
1975-12-30,4.86
1976-12-30,-12.24
1977-12-30,14.24
1978-12-30,17.61
1979-12-30,12.9
1980-12-30,20.33
1981-12-30,12.47
1982-12-30,-25.89
1983-12-30,14.09
1984-12-30,-2.28
1985-12-30,-22.08
1986-12-30,-19.67
1987-12-30,22.13
1988-12-30,3.51
1989-12-30,-13.24
1990-12-30,1.89
1991-12-30,-16.96
1992-12-30,-0.15
1993-12-30,-12.99
1994-12-30,34.48
1995-12-30,-28.83
1996-12-30,15.23
1997-12-30,-10.58
1998-12-30,-19.13
1999-12-30,38.71
2000-12-30,-20.62
2001-12-30,-0.98
2002-12-30,-24.46
2003-12-30,11.49
2004-12-30,-0.7
2005-12-30,3.54
2006-12-30,7.29
2007-12-30,-14.23
2008-12-30,-44.31
2009-12-30,71.11
2010-12-30,-14.29
2011-12-30,-42.73
2012-12-30,-5.82
2013-12-30,70.79
2014-12-30,-28.62
2015-12-30,4.61
2016-12-30,7.68
2017-12-30,-1.59
2018-12-30,11.83
2019-12-30,-28.62
2020-12-30,-51.56
2021-12-30,63.44
2022-12-30,155.26
2023-12-30,0
2024-12-30,18.04
2025-12-30,-8.73
