date,value
1975-12-31,12.512
1976-01-31,13.044
1976-02-29,13.085
1976-03-31,12.915
1976-04-30,12.645
1976-05-31,12.727
1976-06-30,13.122
1976-07-31,12.594
1976-08-31,13.209
1976-09-30,12.537
1976-10-31,13.006
1976-11-30,14.197
1976-12-31,14.019
1977-01-31,14.335
1977-02-28,14.782
1977-03-31,14.753
1977-04-30,14.605
1977-05-31,14.571
1977-06-30,14.306
1977-07-31,14.488
1977-08-31,14.274
1977-09-30,14.511
1977-10-31,14.396
1977-11-30,14.789
1977-12-31,13.334
1978-01-31,13.969
1978-02-28,14.714
1978-03-31,15.757
1978-04-30,15.83
1978-05-31,15.868
1978-06-30,15.086
1978-07-31,15.676
1978-08-31,14.195
1978-09-30,15.391
1978-10-31,15.015
1978-11-30,14.839
1978-12-31,14.626
1979-01-31,14.856
1979-02-28,14.839
1979-03-31,14.304
1979-04-30,13.966
1979-05-31,12.363
1979-06-30,13.712
1979-07-31,13.999
1979-08-31,13.953
1979-09-30,12.733
1979-10-31,12.667
1979-11-30,13.198
1979-12-31,14.115
1980-01-31,12.967
1980-02-29,11.797
1980-03-31,10.198
1980-04-30,9.31
1980-05-31,10.181
1980-06-30,11.381
1980-07-31,10.86
1980-08-31,10.622
1980-09-30,11.146
1980-10-31,11.014
1980-11-30,10.718
1980-12-31,11.036
1981-01-31,12.116
1981-02-28,12.185
1981-03-31,10.212
1981-04-30,10.136
1981-05-31,10.205
1981-06-30,10.206
1981-07-31,12.457
1981-08-31,10.863
1981-09-30,9.209
1981-10-31,9.294
1981-11-30,8.849
1981-12-31,10.075
1982-01-31,10.725
1982-02-28,10.457
1982-03-31,9.541
1982-04-30,10.9
1982-05-31,9.42
1982-06-30,9.585
1982-07-31,9.779
1982-08-31,10.958
1982-09-30,9.981
1982-10-31,11.866
1982-11-30,11.073
1982-12-31,10.688
1983-01-31,10.441
1983-02-28,10.832
1983-03-31,11.507
1983-04-30,11.865
1983-05-31,12.785
1983-06-30,12.733
1983-07-31,12.048
1983-08-31,12.258
1983-09-30,13.103
1983-10-31,12.899
1983-11-30,14.278
1983-12-31,13.998
1984-01-31,14.13
1984-02-29,13.967
1984-03-31,14.094
1984-04-30,14.569
1984-05-31,14.394
1984-06-30,14.455
1984-07-31,14.006
1984-08-31,13.662
1984-09-30,14.342
1984-10-31,14.444
1984-11-30,14.306
1984-12-31,15.265
1985-01-31,15.432
1985-02-28,15.049
1985-03-31,15.224
1985-04-30,15.27
1985-05-31,14.8
1985-06-30,15.222
1985-07-31,16.633
1985-08-31,18.809
1985-09-30,13.887
1985-10-31,14.333
1985-11-30,15.387
1985-12-31,15.781
1986-01-31,15.126
1986-02-28,13.9
1986-03-31,15.579
1986-04-30,16.038
1986-05-31,15.637
1986-06-30,15.471
1986-07-31,17.01
1986-08-31,21.221
1986-09-30,14.516
1986-10-31,14.545
1986-11-30,17.782
1986-12-31,12.155
1987-01-31,14.83
1987-02-28,15.017
1987-03-31,15.167
1987-04-30,14.283
1987-05-31,15.341
1987-06-30,15.372
1987-07-31,16.786
1987-08-31,15.82
1987-09-30,13.975
1987-10-31,14.227
1987-11-30,15.354
1987-12-31,15.77
1988-01-31,16.172
1988-02-29,15.848
1988-03-31,15.201
1988-04-30,15.606
1988-05-31,15.525
1988-06-30,15.375
1988-07-31,15.078
1988-08-31,14.71
1988-09-30,14.815
1988-10-31,15.038
1988-11-30,16.098
1988-12-31,15.017
1989-01-31,14.668
1989-02-28,14.362
1989-03-31,15.698
1989-04-30,14.942
1989-05-31,14.065
1989-06-30,14.389
1989-07-31,16.234
1989-08-31,15.361
1989-09-30,13.27
1989-10-31,13.068
1989-11-30,13.273
1989-12-31,16.01
1990-01-31,14.066
1990-02-28,14.203
1990-03-31,14.009
1990-04-30,13.743
1990-05-31,13.867
1990-06-30,13.789
1990-07-31,13.582
1990-08-31,14.025
1990-09-30,13.483
1990-10-31,12.877
1990-11-30,12.702
1990-12-31,11.596
1991-01-31,12.175
1991-02-28,12.616
1991-03-31,11.825
1991-04-30,12.27
1991-05-31,12.505
1991-06-30,12.742
1991-07-31,12.352
1991-08-31,12.89
1991-09-30,12.015
1991-10-31,12.364
1991-11-30,12.42
1991-12-31,12.367
1992-01-31,12.698
1992-02-29,12.592
1992-03-31,12.31
1992-04-30,12.86
1992-05-31,13.317
1992-06-30,12.6
1992-07-31,12.62
1992-08-31,13.114
1992-09-30,13.368
1992-10-31,12.958
1992-11-30,13.514
1992-12-31,13.193
1993-01-31,12.698
1993-02-28,13.041
1993-03-31,14.235
1993-04-30,14.212
1993-05-31,14.188
1993-06-30,14.143
1993-07-31,13.276
1993-08-31,13.676
1993-09-30,14.603
1993-10-31,14.539
1993-11-30,14.679
1993-12-31,15.035
1994-01-31,15.194
1994-02-28,14.974
1994-03-31,15.68
1994-04-30,14.249
1994-05-31,14.763
1994-06-30,14.522
1994-07-31,14.989
1994-08-31,14.911
1994-09-30,15.517
1994-10-31,15.5
1994-11-30,15.196
1994-12-31,14.363
1995-01-31,14.457
1995-02-28,14.865
1995-03-31,13.98
1995-04-30,14.418
1995-05-31,15.019
1995-06-30,14.326
1995-07-31,15.006
1995-08-31,14.959
1995-09-30,14.47
1995-10-31,15.012
1995-11-30,15.862
1995-12-31,14.449
1996-01-31,15.215
1996-02-29,15.679
1996-03-31,15.112
1996-04-30,15.624
1996-05-31,14.864
1996-06-30,14.7
1996-07-31,15.128
1996-08-31,15.184
1996-09-30,14.972
1996-10-31,15.392
1996-11-30,14.849
1996-12-31,15.332
1997-01-31,14.916
1997-02-28,15.444
1997-03-31,14.694
1997-04-30,14.717
1997-05-31,14.18
1997-06-30,15.194
1997-07-31,15.765
1997-08-31,14.711
1997-09-30,15.036
1997-10-31,15.421
1997-11-30,16.059
1997-12-31,14.4
1998-01-31,14.839
1998-02-28,15.001
1998-03-31,15.521
1998-04-30,16.649
1998-05-31,16.378
1998-06-30,14.255
1998-07-31,14.358
1998-08-31,15.862
1998-09-30,16.679
1998-10-31,15.631
1998-11-30,16.943
1998-12-31,16.094
1999-01-31,16.566
1999-02-28,16.332
1999-03-31,16.422
1999-04-30,17.059
1999-05-31,16.839
1999-06-30,17.171
1999-07-31,17.121
1999-08-31,17.116
1999-09-30,17.139
1999-10-31,17.072
1999-11-30,17.793
1999-12-31,18.114
2000-01-31,18.879
2000-02-29,17.822
2000-03-31,17.442
2000-04-30,17.467
2000-05-31,17.078
2000-06-30,16.851
2000-07-31,17.09
2000-08-31,18.245
2000-09-30,17.117
2000-10-31,16.259
2000-11-30,15.831
2000-12-31,17.251
2001-01-31,17.433
2001-02-28,16.868
2001-03-31,16.531
2001-04-30,16.503
2001-05-31,17.104
2001-06-30,16.123
2001-07-31,16.016
2001-08-31,16.056
2001-09-30,21.709
2001-10-31,17.725
2001-11-30,16.147
2001-12-31,16.22
2002-01-31,17.005
2002-02-28,16.788
2002-03-31,17.343
2002-04-30,15.844
2002-05-31,16.626
2002-06-30,17.829
2002-07-31,18.105
2002-08-31,16.326
2002-09-30,15.923
2002-10-31,16.195
2002-11-30,17.593
2002-12-31,16.426
2003-01-31,15.814
2003-02-28,16.173
2003-03-31,16.433
2003-04-30,16.152
2003-05-31,16.686
2003-06-30,16.777
2003-07-31,17.931
2003-08-31,16.945
2003-09-30,16.143
2003-10-31,17.197
2003-11-30,16.992
2003-12-31,16.304
2004-01-31,16.634
2004-02-29,16.837
2004-03-31,16.493
2004-04-30,17.759
2004-05-31,15.761
2004-06-30,16.87
2004-07-31,16.717
2004-08-31,17.432
2004-09-30,17.056
2004-10-31,16.912
2004-11-30,17.627
2004-12-31,16.37
2005-01-31,16.403
2005-02-28,16.93
2005-03-31,17.274
2005-04-30,16.928
2005-05-31,17.967
