date,value
1977-12-30,4.17
1978-12-30,0.34
1979-12-30,-11.06
1980-12-30,-18.79
1981-12-30,-17.44
1982-12-30,25.13
1983-12-30,28.94
1984-12-30,0.2
1985-12-30,7.56
1986-12-30,15.57
1987-12-30,-13.65
1988-12-30,4.85
1989-12-30,-17.55
1990-12-30,-4.3
1991-12-30,-2.22
1992-12-30,8.81
1993-12-30,8.62
1994-12-30,3.52
1995-12-30,4.38
1996-12-30,-6.39
1997-12-30,8.15
1998-12-30,5.5
1999-12-30,5.02
2000-12-30,-11.03
2001-12-30,2
2002-12-30,8.96
2003-12-30,-3.42
2004-12-30,3.74
2005-12-30,-5.33
2006-12-30,-0.71
2007-12-30,-5.14
2008-12-30,-35.48
2009-12-30,9.06
2010-12-30,11.96
2011-12-30,8.66
2012-12-30,12.38
2013-12-30,2.26
2014-12-30,8.37
2015-12-30,1.93
2016-12-30,4.83
2017-12-30,-2.57
2018-12-30,0.85
2019-12-30,-3.22
2020-12-30,-3.02
2021-12-30,-23.13
2022-12-30,5.81
2023-12-30,17.89
2024-12-30,6.38
2025-12-30,-7.41
