date,value
-92361600000,10814127.14
-89942400000,11755338.57
-87523200000,12394162.06
-84499200000,12532128.28
-82080000000,12173763.04
-79660800000,11817550.15
-76636800000,12361619.16
-74217600000,11361850.15
-71193600000,11107234.43
-68774400000,11112561.45
-66355200000,10898362.78
-63331200000,11104091.06
0039-10-10,10944371.76
0116-06-08,10987823.54
0212-04-06,10523199.97
0288-12-03,10192552.53
0365-08-02,10032114.58
0461-05-30,9648942.88
0538-01-27,9575163.21
0633-11-25,9805854.4
0710-07-25,9630881.14
0787-03-23,9439249.66
0883-01-18,9622158.64
0959-09-17,10140227.49
1036-05-16,9758376.32
1113-01-13,9839011.51
1208-11-10,9301551.27
1285-07-09,8814890.14
1381-05-07,8755227.14
1458-01-04,8998218.06
1534-09-03,9729421.47
1630-07-01,9362986.86
1707-02-28,9442082.1
1783-10-27,9823841.72
1879-08-25,10416569.89
1956-04-23,11157017.08
2052-02-19,11818703.31
2128-10-18,12138479.74
2205-06-17,12978436.05
2282-02-13,14645107.22
2377-12-12,15100200.18
2454-08-10,15512856.34
2531-04-09,15863384.56
2627-02-05,16582943.72
2703-10-05,17214224.8
2799-08-02,18281185.61
2876-03-30,18669439.7
2952-11-27,17400463.99
3048-09-25,16906086.58
3125-05-25,16823294.26
3202-01-21,17394101.93
3278-09-19,17109407.66
3374-07-18,17376673.23
3451-03-17,17256219.01
3547-01-13,17039463.14
3623-09-11,17298124.22
3700-05-10,17653890.02
3796-03-07,17303149.98
3872-11-04,16648564.08
3949-07-04,15986782.41
4045-05-01,15076391.27
4121-12-29,14862798.62
4198-08-27,14624323.6
4294-06-25,14534676.39
4371-02-22,14507491.13
4447-10-21,14472700.98
4543-08-19,14842425.01
4620-04-17,13762602.67
4716-02-14,13507720.74
4792-10-12,13344722.22
4869-06-10,13259995.83
4965-04-08,12621622.19
5041-12-06,12122538.99
5118-08-05,11894906.81
1973-03-30,11524292.54
1973-04-27,11474589.7
1973-05-25,11513737.74
1973-06-29,11464781.24
1973-07-27,11671902.55
1973-08-24,11979815.41
1973-09-28,11831994.2
1973-10-26,11848457.79
1973-11-23,12333214.71
1973-12-28,12602220.89
1974-01-25,13497724.25
1974-02-22,13852354.81
1974-03-29,13914660.71
1974-04-26,13742442.6
1974-05-24,13652427.51
1974-06-28,13652888.04
1974-07-26,13692518.56
1974-08-30,14263647.42
1974-09-27,14700111.98
1974-10-25,15907117.81
1974-11-29,19328606.72
1974-12-27,21106303.58
1975-01-24,22956932.59
1975-02-21,24385611.6
1975-03-28,26380226
1975-04-25,27560977.69
1975-05-30,28114950.32
1975-06-27,24613330.04
1975-07-25,24251588.1
1975-08-29,22894108.55
1975-09-26,22750593.61
1975-10-24,21515817.52
1975-11-28,19779463.85
1975-12-26,17854187.24
1976-01-30,16795217.54
1976-02-27,16313031.22
1976-03-26,16330011.27
1976-04-23,16674276.29
1976-05-28,16647573.03
1976-06-25,17235433.71
1976-07-30,16924566.65
1976-08-27,17313770.75
1976-09-24,17376853.87
1976-10-29,17158685.32
1976-11-26,16789856.19
1976-12-24,15640328.9
1977-01-28,15874412.29
1977-02-25,15085593.98
1977-03-25,14480007.24
1977-04-29,14214188.07
1977-05-27,14041834.58
1977-06-24,13901475.72
1977-07-29,13774941.07
1977-08-26,13740466.13
1977-09-23,13559119.56
1977-10-28,13546514.72
1977-11-25,13652824.23
1977-12-30,12782972.96
1978-01-27,13304996.13
1978-02-24,13092181.76
1978-03-24,12581914.09
1978-04-28,11468835.56
1978-05-26,11057091.02
1978-06-23,11126375.6
1978-07-28,11508112.39
1978-08-25,11582872.27
1978-09-29,10753650.18
1978-10-27,10681528.2
1978-11-24,11241777.28
1978-12-29,10906087.58
1979-01-26,11301441.77
1979-02-23,11441346.03
1979-03-30,10790543.48
1979-04-27,10741372.68
1979-05-25,10132475.61
1979-06-29,10180970.98
1979-07-27,10479923.05
1979-08-24,10800111.53
1979-09-28,10489718.31
1979-10-26,10817803.75
1979-11-23,11253511.57
1979-12-28,11459957.3
1980-01-25,11679361.66
1980-02-22,11716854.58
1980-03-28,11541321.17
1980-04-25,12846688.72
1980-05-30,14712409.43
1980-06-27,15258266.41
1980-07-25,15020343.54
1980-08-29,14745645.71
1980-09-26,14127403.8
1980-10-24,13415951.03
1980-11-28,11955506.54
1980-12-26,11721335.99
1981-01-30,11030103.16
1981-02-27,10645613.89
1981-03-27,10482321.31
1981-04-24,10473276.91
1981-05-29,10639484.21
1981-06-26,10620303.12
1981-07-24,10208562.65
1981-08-28,10323349.88
1981-09-25,10635514.52
1981-10-30,10992630.22
1981-11-27,11566755.18
1981-12-25,12476934
1982-01-29,12043873.61
1982-02-26,12114791.05
1982-03-26,12677159.3
1982-04-23,13357900.21
1982-05-28,13319951.11
1982-06-25,13491030.69
1982-07-30,13365604.51
1982-08-27,14249470.58
1982-09-24,14964985.31
1982-10-29,15093358.4
1982-11-26,14620571.04
1982-12-24,14478890.79
1983-01-28,12829880.27
1983-02-25,12770647.97
1983-03-25,12302786.25
1983-04-29,12176187.04
1983-05-27,11240860.66
1983-06-24,10921688.53
1983-07-29,10048146.47
1983-08-26,9911829.53
1983-09-23,9523076.99
1983-10-28,9133905.54
1983-11-25,8711059.42
1983-12-30,8419065
1984-01-27,8090931.46
1984-02-24,7777374.11
1984-03-30,7583012.98
1984-04-27,7618196.27
1984-05-25,7246704.09
1984-06-29,7244402.79
1984-07-27,7216566.46
1984-08-24,7423533.06
1984-09-28,7600151.56
1984-10-26,7884824.44
1984-11-23,7869508.16
1984-12-28,7768420.66
1985-01-25,7952428.07
1985-02-22,8036637.75
1985-03-29,7657792.16
1985-04-26,7730601.33
1985-05-24,7650677.96
1985-06-28,7509435.92
1985-07-26,7546371.45
1985-08-30,7750424.03
1985-09-27,7812349.98
1985-10-25,7884494.73
1985-11-29,7806568.06
1985-12-27,7696606.48
1986-01-24,7563702.28
1986-02-21,7749727.23
1986-03-28,7749765.2
1986-04-25,7802649.6
1986-05-30,8021076.11
1986-06-27,7676657.22
1986-07-25,7712006.37
1986-08-29,7833204.23
1986-09-26,7897183.1
1986-10-24,7916342.95
1986-11-28,7847815.63
1986-12-26,7487501.95
1987-01-30,7295331.97
1987-02-27,7110215.59
1987-03-27,6934629.88
1987-04-24,6829019.93
1987-05-29,6759235.81
1987-06-26,6596159.3
1987-07-24,6369020.8
1987-08-28,6143884.78
1987-09-25,5999634.6
1987-10-30,5432900.8
1987-11-27,5875417.87
1987-12-25,5981633.8
1988-01-29,6169641.25
1988-02-26,5870054.06
1988-03-25,5750722.72
1988-04-29,5721257.02
1988-05-27,5613934
1988-06-24,5549142.63
1988-07-29,5738047.16
1988-08-26,5643462.2
1988-09-23,5527693.93
1988-10-28,5407324.58
1988-11-25,5424280.16
1988-12-30,5599980.18
1989-01-27,5516299.18
1989-02-24,5748270.45
1989-03-24,5657345.42
1989-04-28,5408333.91
1989-05-26,5356909.66
1989-06-23,5590884.05
1989-07-28,5655189.24
1989-08-25,5653878.2
1989-09-29,5728683.36
1989-10-27,5796338.99
1989-11-24,5892695
1989-12-29,5888464.89
1990-01-26,5863824.77
1990-02-23,5914458.34
1990-03-30,5927402.99
1990-04-27,6013297.77
1990-05-25,6069239.87
1990-06-29,6063848.82
1990-07-27,6087596.79
1990-08-24,6225721.43
1990-09-28,6426912.46
1990-10-26,6733913.91
1990-11-23,7123824.78
1990-12-28,7082841.69
1991-01-25,7577547.41
1991-02-22,7906094.54
1991-03-29,8367471.27
1991-04-26,8288290.78
1991-05-24,8259084.01
1991-06-28,7959667.03
1991-07-26,7829564.36
1991-08-30,7742880.81
1991-09-27,7734881.12
1991-10-25,7744750.65
1991-11-29,7836968.27
1991-12-27,7812572.44
1992-01-24,7857315.02
1992-02-28,7633478.21
1992-03-27,7724791.79
1992-04-24,7780772.51
1992-05-29,7831975.03
1992-06-26,7684406.13
1992-07-24,7617490.38
1992-08-28,7268496.63
1992-09-25,7291293.94
1992-10-30,6762862.15
1992-11-27,6612500.5
1992-12-25,6364840.03
1993-01-29,6023702.27
1993-02-26,5962081.38
1993-03-26,6121021.76
1993-04-23,6254099.39
1993-05-28,6122395.68
1993-06-25,6136253.93
1993-07-30,6350698.91
1993-08-27,6210635.83
1993-09-24,6304500.32
1993-10-29,6201052.58
1993-11-26,6159189.47
1993-12-24,6017598.9
1994-01-28,6093799.47
1994-02-25,6149987.16
1994-03-25,5938453.19
1994-04-29,6059507.52
1994-05-27,5963551.51
1994-06-24,5856225.72
1994-07-29,5707851.66
1994-08-26,5732493.48
1994-09-23,5615670.42
1994-10-28,5471670.21
