date,value
1966-02-28,40.33999
1966-03-31,39.268
1966-04-30,39.268
1966-05-31,39.26763
1966-06-30,39.621
1966-07-31,39.621
1966-08-31,39.62091
1966-09-30,39.52
-99964800000,39.52
-97372800000,39.51977
-94694400000,39.204
-92016000000,39.204
-89596800000,39.20383
-86918400000,38.033
-84326400000,38.033
-81648000000,38.03292
-79056000000,38.821
-76377600000,38.821
-73699200000,38.82145
-71107200000,39.102
-68428800000,39.102
-65836800000,39.10231
-63158400000,38.43
0053-06-18,38.43
0132-11-11,38.42951
0217-09-27,36.964
0299-11-16,36.964
0384-10-01,36.96379
0466-11-20,37.309
0551-10-06,37.309
0636-08-21,37.30897
0718-10-11,36.985
0803-08-26,36.985
0885-10-14,36.98532
0970-08-30,36.196
1055-07-16,36.196
1132-03-14,36.19577
1217-01-27,34.974
1299-03-18,34.974
1384-02-01,34.97403
1466-03-23,35.019
1551-02-06,35.019
1635-12-22,35.01946
1718-02-10,35.47
1802-12-27,35.47
1885-02-14,35.46954
1969-12-31,35.389
2054-11-15,35.389
2131-07-15,35.38879
2216-05-30,34.673
2298-07-19,34.673
2383-06-04,34.67329
2465-07-23,34.867
2550-06-08,34.867
2635-04-24,34.86717
2717-06-13,35.748
2802-04-28,35.748
2884-06-16,35.74822
2969-05-02,34.503
3054-03-18,34.503
3130-11-15,34.50345
3215-09-30,34.361
3297-11-18,34.361
3382-10-04,34.36089
3464-11-23,35.007
3549-10-09,35.007
3634-08-24,35.00694
3716-10-13,35.632
3801-08-29,35.632
3883-10-18,35.63237
3968-09-02,34.726
4053-07-18,34.726
4132-12-11,34.72622
4217-10-27,33.674
4299-12-16,33.674
4384-10-31,33.67383
4466-12-20,33.624
4551-11-05,33.624
4636-09-20,33.62447
4718-11-10,33.748
4803-09-25,33.748
4885-11-13,33.74758
4970-09-29,33.293
5055-08-15,33.293
5132-04-13,33.29287
1973-03-31,32.345
1973-04-30,32.345
1973-05-31,32.34466
1973-06-30,32.125
1973-07-31,32.125
1973-08-31,32.12455
1973-09-30,31.774
1973-10-31,31.774
