date,value
1966-02-28,405.36
1966-03-31,392.15
1966-04-30,392.15
1966-05-31,390.93
1966-06-30,393.24
1966-07-31,390.83
1966-08-31,390.83
1966-09-30,387.47
-99964800000,387.47
-97372800000,387.46
-94694400000,384.37
-92016000000,384.37
-89596800000,383.2
-86918400000,370.63
-84326400000,369.52
-81648000000,368.41
-79056000000,374.91
-76377600000,373.8
-73699200000,372.69
-71107200000,374.27
-68428800000,373.16
-65836800000,372.06
-63158400000,363.52
0053-06-18,362.46
0132-11-11,361.4
0217-09-27,346.6
0299-11-16,345.6
0384-10-01,343.6
0466-11-20,344.83
0551-10-06,343.84
0636-08-21,342.86
0718-10-11,337.96
0803-08-26,337
0885-10-14,336.06
0970-08-30,327.96
1055-07-16,326.13
1132-03-14,323.42
1217-01-27,310.78
1299-03-18,309.92
1384-02-01,308.23
1466-03-23,306.95
1551-02-06,305.29
1635-12-22,304.47
1718-02-10,306.74
1802-12-27,305.1
1885-02-14,303.48
1969-12-31,301.99
2054-11-15,300.4
2131-07-15,298.82
2216-05-30,290.5
2298-07-19,289.75
2383-06-04,288.25
2465-07-23,288.38
2550-06-08,288.38
2635-04-24,286.91
2717-06-13,292.66
2802-04-28,291.18
2884-06-16,289.72
2969-05-02,279.63
3054-03-18,278.93
3130-11-15,278.24
3215-09-30,276.4
3297-11-18,275.03
3382-10-04,272.99
3464-11-23,277.44
3549-10-09,276.76
3634-08-24,276.76
3716-10-13,281.01
3801-08-29,281.01
3883-10-18,279.65
3968-09-02,272.54
4053-07-18,271.22
4132-12-11,270.56
4217-10-27,261.73
4299-12-16,261.1
4384-10-31,260.48
4466-12-20,258.85
4551-11-05,258.23
4636-09-20,257.62
4718-11-10,257.35
4803-09-25,256.74
4885-11-13,256.13
4970-09-29,252.09
5055-08-15,250.33
5132-04-13,248.01
1973-03-31,239.29
1973-04-30,237.66
1973-05-31,236.04
1973-06-30,233.91
1973-07-31,229.76
1973-08-31,229.25
1973-09-30,224.76
1973-10-31,223.29
1973-11-30,221.84
1973-12-31,219.87
1974-01-31,217.07
1974-02-28,214.35
1974-03-31,208.29
1974-04-30,205.72
1974-05-31,204.03
1974-06-30,201.52
1974-07-31,199.1
1974-08-31,196.74
1974-09-30,194.41
1974-10-31,192.9
1974-11-30,191.41
1974-12-31,195.25
1975-01-31,193.76
1975-02-28,193.02
1975-03-31,196.82
1975-04-30,195.71
1975-05-31,194.25
1975-06-30,192.7
1975-07-31,192.35
1975-08-31,191.29
1975-09-30,192.3
1975-10-31,190.91
1975-11-30,190.22
1975-12-31,191.36
1976-01-31,190.68
1976-02-29,190.33
1976-03-31,192.59
1976-04-30,191.22
1976-05-31,190.21
1976-06-30,190.05
1976-07-31,189.06
1976-08-31,188.4
1976-09-30,188.23
1976-10-31,187.91
1976-11-30,187.26
1976-12-31,185.55
1977-01-31,183.66
1977-02-28,182.43
1977-03-31,176.35
1977-04-30,175.48
1977-05-31,174.32
1977-06-30,174.44
1977-07-31,173.87
1977-08-31,173.3
1977-09-30,173.95
1977-10-31,173.1
1977-11-30,172.55
1977-12-31,172.9
1978-01-31,171.8
1978-02-28,170.44
1978-03-31,162.16
1978-04-30,160.65
1978-05-31,158.93
1978-06-30,158.16
1978-07-31,157.44
1978-08-31,156.26
1978-09-30,153.17
1978-10-31,152.48
1978-11-30,151.81
1978-12-31,148.94
1979-01-31,147.21
1979-02-28,145.73
1979-03-31,141.92
1979-04-30,140.14
1979-05-31,138.58
1979-06-30,136.72
1979-07-31,135.42
1979-08-31,133.97
1979-09-30,133.08
1979-10-31,131.85
1979-11-30,130.48
1979-12-31,128.32
1980-01-31,126.53
1980-02-29,124.63
1980-03-31,124.93
1980-04-30,123.71
1980-05-31,122.37
1980-06-30,123.94
1980-07-31,123.05
1980-08-31,122.02
1980-09-30,118.51
1980-10-31,117.54
1980-11-30,116.45
1980-12-31,114.46
1981-01-31,113.29
1981-02-28,112.52
1981-03-31,111.17
1981-04-30,110.31
1981-05-31,109.33
1981-06-30,107.77
1981-07-31,106.95
1981-08-31,105.92
1981-09-30,108.29
1981-10-31,107.94
1981-11-30,107.6
1981-12-31,110.87
1982-01-31,110.52
1982-02-28,110.64
1982-03-31,110.13
1982-04-30,109.1
1982-05-31,107.75
1982-06-30,112.23
1982-07-31,112
1982-08-31,111.78
1982-09-30,115.56
1982-10-31,115.8
1982-11-30,116.27
1982-12-31,118.17
1983-01-31,118.05
1983-02-28,118.05
1983-03-31,120.62
1983-04-30,119.89
1983-05-31,119.53
1983-06-30,120.54
1983-07-31,120.17
1983-08-31,119.58
1983-09-30,118.73
1983-10-31,118.49
1983-11-30,118.37
1983-12-31,118.56
1984-01-31,117.98
1984-02-29,117.75
1984-03-31,118.03
1984-04-30,117.69
1984-05-31,117.35
1984-06-30,119.28
1984-07-31,118.83
1984-08-31,118.26
1984-09-30,122.79
1984-10-31,122.79
1984-11-30,122.79
1984-12-31,123.65
1985-01-31,123.06
1985-02-28,122.6
1985-03-31,124.68
1985-04-30,124.21
1985-05-31,123.87
1985-06-30,124.35
1985-07-31,124.12
1985-08-31,123.78
1985-09-30,129.94
1985-10-31,129.58
1985-11-30,129.22
1985-12-31,129.71
1986-01-31,130.07
1986-02-28,130.67
1986-03-31,134.57
1986-04-30,134.2
1986-05-31,133.46
1986-06-30,135.87
1986-07-31,135.63
1986-08-31,135.01
1986-09-30,139.06
