date,value
1958-12-31,1657
1959-01-31,1667
1959-02-28,1620
1959-03-31,1590
1959-04-30,1498
1959-05-31,1503
1959-06-30,1547
1959-07-31,1430
1959-08-31,1540
1959-09-30,1355
1959-10-31,1416
1959-11-30,1601
1959-12-31,1460
1960-01-31,1503
1960-02-29,1109
1960-03-31,1289
1960-04-30,1271
1960-05-31,1247
1960-06-30,1197
1960-07-31,1344
1960-08-31,1097
1960-09-30,1246
1960-10-31,1246
1960-11-30,1063
1960-12-31,1183
1961-01-31,1226
1961-02-28,1312
1961-03-31,1166
1961-04-30,1228
1961-05-31,1382
1961-06-30,1335
1961-07-31,1312
1961-08-31,1429
1961-09-30,1415
1961-10-31,1385
1961-11-30,1365
1961-12-31,1361
1962-01-31,1278
1962-02-28,1443
1962-03-31,1524
1962-04-30,1483
1962-05-31,1404
1962-06-30,1450
1962-07-31,1517
1962-08-31,1324
1962-09-30,1533
1962-10-31,1622
1962-11-30,1564
1962-12-31,1244
1963-01-31,1456
1963-02-28,1534
1963-03-31,1689
1963-04-30,1641
1963-05-31,1588
1963-06-30,1614
1963-07-31,1639
1963-08-31,1763
1963-09-30,1779
1963-10-31,1622
1963-11-30,1491
1963-12-31,1603
1964-01-31,1820
1964-02-29,1517
1964-03-31,1448
1964-04-30,1467
1964-05-31,1550
1964-06-30,1562
1964-07-31,1569
1964-08-31,1455
1964-09-30,1524
1964-10-31,1486
1964-11-30,1484
1964-12-31,1361
1965-01-31,1433
1965-02-28,1423
1965-03-31,1438
1965-04-30,1478
1965-05-31,1488
1965-06-30,1529
1965-07-31,1432
1965-08-31,1482
1965-09-30,1452
1965-10-31,1460
1965-11-30,1656
1965-12-31,1370
1966-01-31,1378
1966-02-28,1394
1966-03-31,1352
1966-04-30,1265
1966-05-31,1194
1966-06-30,1086
1966-07-31,1119
1966-08-31,1046
1966-09-30,843
-99964800000,961
-97372800000,990
-94694400000,1067
-92016000000,1123
-89596800000,1056
-86918400000,1091
-84326400000,1304
-81648000000,1248
-79056000000,1364
-76377600000,1407
-73699200000,1421
-71107200000,1491
-68428800000,1538
-65836800000,1308
-63158400000,1380
0053-06-18,1520
0132-11-11,1466
0217-09-27,1554
0299-11-16,1408
0384-10-01,1405
0466-11-20,1512
0551-10-06,1495
0636-08-21,1556
0718-10-11,1569
0803-08-26,1630
0885-10-14,1548
0970-08-30,1769
1055-07-16,1705
1132-03-14,1561
1217-01-27,1524
1299-03-18,1583
1384-02-01,1528
1466-03-23,1368
1551-02-06,1358
1635-12-22,1507
1718-02-10,1381
1802-12-27,1229
1885-02-14,1327
1969-12-31,1085
2054-11-15,1305
2131-07-15,1319
2216-05-30,1264
2298-07-19,1290
2383-06-04,1385
2465-07-23,1517
2550-06-08,1399
2635-04-24,1534
2717-06-13,1580
2802-04-28,1647
2884-06-16,1893
2969-05-02,1828
3054-03-18,1741
3130-11-15,1910
3215-09-30,1986
3297-11-18,2049
3382-10-04,2026
3464-11-23,2083
3549-10-09,2158
3634-08-24,2041
3716-10-13,2128
3801-08-29,2182
3883-10-18,2295
3968-09-02,2494
4053-07-18,2390
4132-12-11,2334
4217-10-27,2249
4299-12-16,2221
4384-10-31,2254
4466-12-20,2252
4551-11-05,2382
4636-09-20,2481
4718-11-10,2485
4803-09-25,2421
4885-11-13,2366
4970-09-29,2481
5055-08-15,2289
5132-04-13,2365
1973-03-31,2084
1973-04-30,2266
1973-05-31,2067
1973-06-30,2123
1973-07-31,2051
1973-08-31,1874
1973-09-30,1677
1973-10-31,1724
1973-11-30,1526
1973-12-31,1451
1974-01-31,1752
1974-02-28,1555
1974-03-31,1607
1974-04-30,1426
1974-05-31,1513
1974-06-30,1316
1974-07-31,1142
1974-08-31,1150
1974-09-30,1070
1974-10-31,1026
1974-11-30,975
1974-12-31,1032
1975-01-31,904
1975-02-28,993
1975-03-31,1005
1975-04-30,1121
1975-05-31,1087
1975-06-30,1226
1975-07-31,1260
1975-08-31,1264
1975-09-30,1344
1975-10-31,1360
1975-11-30,1321
1975-12-31,1367
1976-01-31,1538
1976-02-29,1421
1976-03-31,1395
1976-04-30,1459
1976-05-31,1495
1976-06-30,1401
1976-07-31,1550
1976-08-31,1720
1976-09-30,1629
1976-10-31,1641
1976-11-30,1804
1976-12-31,1527
1977-01-31,1943
1977-02-28,2063
1977-03-31,1892
1977-04-30,1971
1977-05-31,1893
1977-06-30,2058
1977-07-31,2020
1977-08-31,1949
1977-09-30,2042
1977-10-31,2042
1977-11-30,2142
1977-12-31,1718
1978-01-31,1738
1978-02-28,2032
1978-03-31,2197
1978-04-30,2075
1978-05-31,2070
1978-06-30,2092
1978-07-31,1996
1978-08-31,1970
1978-09-30,1981
1978-10-31,2094
1978-11-30,2044
1978-12-31,1630
1979-01-31,1520
1979-02-28,1847
1979-03-31,1748
1979-04-30,1876
1979-05-31,1913
1979-06-30,1760
1979-07-31,1778
1979-08-31,1832
1979-09-30,1681
1979-10-31,1524
1979-11-30,1498
1979-12-31,1341
1980-01-31,1350
1980-02-29,1047
1980-03-31,1051
1980-04-30,927
1980-05-31,1196
1980-06-30,1269
1980-07-31,1436
1980-08-31,1471
1980-09-30,1523
1980-10-31,1510
1980-11-30,1482
1980-12-31,1547
1981-01-31,1246
1981-02-28,1306
1981-03-31,1360
1981-04-30,1140
1981-05-31,1045
1981-06-30,1041
1981-07-31,940
1981-08-31,911
1981-09-30,873
1981-10-31,837
1981-11-30,910
1981-12-31,843
1982-01-31,866
1982-02-28,931
1982-03-31,917
1982-04-30,1025
1982-05-31,902
1982-06-30,1166
1982-07-31,1046
1982-08-31,1144
1982-09-30,1173
1982-10-31,1372
1982-11-30,1303
1982-12-31,1586
1983-01-31,1699
1983-02-28,1606
1983-03-31,1472
1983-04-30,1776
1983-05-31,1733
1983-06-30,1785
1983-07-31,1910
1983-08-31,1710
1983-09-30,1715
1983-10-31,1785
1983-11-30,1688
1983-12-31,1897
1984-01-31,2260
1984-02-29,1663
1984-03-31,1851
1984-04-30,1774
1984-05-31,1843
1984-06-30,1732
1984-07-31,1586
1984-08-31,1698
1984-09-30,1590
1984-10-31,1689
1984-11-30,1612
1984-12-31,1711
1985-01-31,1632
1985-02-28,1800
1985-03-31,1821
1985-04-30,1680
1985-05-31,1676
1985-06-30,1684
1985-07-31,1743
1985-08-31,1676
1985-09-30,1834
1985-10-31,1698
1985-11-30,1942
1985-12-31,1972
1986-01-31,1848
1986-02-28,1876
1986-03-31,1933
1986-04-30,1854
1986-05-31,1847
1986-06-30,1782
1986-07-31,1807
1986-08-31,1687
1986-09-30,1681
1986-10-31,1623
1986-11-30,1833
1986-12-31,1774
1987-01-31,1784
1987-02-28,1726
1987-03-31,1614
1987-04-30,1628
1987-05-31,1594
1987-06-30,1575
1987-07-31,1605
1987-08-31,1695
1987-09-30,1515
1987-10-31,1656
1987-11-30,1400
1987-12-31,1271
1988-01-31,1473
1988-02-29,1532
1988-03-31,1573
1988-04-30,1421
1988-05-31,1478
1988-06-30,1467
1988-07-31,1493
1988-08-31,1492
1988-09-30,1522
1988-10-31,1569
1988-11-30,1563
1988-12-31,1621
1989-01-31,1425
1989-02-28,1422
1989-03-31,1339
1989-04-30,1331
1989-05-31,1397
1989-06-30,1427
1989-07-31,1332
1989-08-31,1279
1989-09-30,1410
1989-10-31,1351
1989-11-30,1251
1989-12-31,1551
1990-01-31,1437
1990-02-28,1289
1990-03-31,1248
1990-04-30,1212
1990-05-31,1177
1990-06-30,1171
1990-07-31,1115
1990-08-31,1110
1990-09-30,1014
1990-10-31,1145
1990-11-30,969
1990-12-31,798
1991-01-31,965
1991-02-28,921
1991-03-31,1001
1991-04-30,996
1991-05-31,1036
1991-06-30,1063
1991-07-31,1049
1991-08-31,1015
1991-09-30,1079
1991-10-31,1103
1991-11-30,1079
1991-12-31,1176
1992-01-31,1250
1992-02-29,1297
1992-03-31,1099
1992-04-30,1214
1992-05-31,1145
1992-06-30,1139
1992-07-31,1226
1992-08-31,1186
1992-09-30,1244
1992-10-31,1214
1992-11-30,1227
1992-12-31,1210
1993-01-31,1210
1993-02-28,1083
1993-03-31,1258
1993-04-30,1260
1993-05-31,1280
1993-06-30,1254
1993-07-31,1300
1993-08-31,1343
1993-09-30,1392
1993-10-31,1376
1993-11-30,1533
1993-12-31,1272
1994-01-31,1337
1994-02-28,1564
1994-03-31,1465
1994-04-30,1526
1994-05-31,1409
1994-06-30,1439
1994-07-31,1450
1994-08-31,1474
1994-09-30,1450
1994-10-31,1511
1994-11-30,1455
1994-12-31,1407
1995-01-31,1316
1995-02-28,1249
1995-03-31,1267
1995-04-30,1314
1995-05-31,1281
1995-06-30,1461
1995-07-31,1416
1995-08-31,1369
1995-09-30,1369
1995-10-31,1452
1995-11-30,1431
1995-12-31,1467
1996-01-31,1491
1996-02-29,1424
1996-03-31,1516
1996-04-30,1504
1996-05-31,1467
1996-06-30,1472
1996-07-31,1557
1996-08-31,1475
1996-09-30,1392
1996-10-31,1489
1996-11-30,1370
1996-12-31,1355
1997-01-31,1486
1997-02-28,1457
1997-03-31,1492
1997-04-30,1442
1997-05-31,1494
1997-06-30,1437
1997-07-31,1390
1997-08-31,1546
1997-09-30,1520
1997-10-31,1510
1997-11-30,1566
1997-12-31,1525
1998-01-31,1584
1998-02-28,1567
1998-03-31,1540
1998-04-30,1536
1998-05-31,1641
1998-06-30,1698
1998-07-31,1614
1998-08-31,1582
1998-09-30,1715
1998-10-31,1660
1998-11-30,1792
1998-12-31,1748
1999-01-31,1670
1999-02-28,1710
1999-03-31,1553
1999-04-30,1611
1999-05-31,1559
1999-06-30,1669
1999-07-31,1648
1999-08-31,1635
1999-09-30,1608
1999-10-31,1648
1999-11-30,1708
1999-12-31,1636
2000-01-31,1737
2000-02-29,1604
2000-03-31,1626
2000-04-30,1575
2000-05-31,1559
2000-06-30,1463
2000-07-31,1541
2000-08-31,1507
2000-09-30,1549
2000-10-31,1551
2000-11-30,1532
2000-12-31,1600
2001-01-31,1625
2001-02-28,1590
2001-03-31,1649
2001-04-30,1605
2001-05-31,1636
2001-06-30,1670
2001-07-31,1567
2001-08-31,1562
2001-09-30,1540
2001-10-31,1602
2001-11-30,1568
2001-12-31,1698
2002-01-31,1829
2002-02-28,1642
2002-03-31,1592
2002-04-30,1764
2002-05-31,1717
2002-06-30,1655
2002-07-31,1633
2002-08-31,1804
2002-09-30,1648
2002-10-31,1753
2002-11-30,1788
2002-12-31,1853
2003-01-31,1629
2003-02-28,1726
2003-03-31,1643
2003-04-30,1751
2003-05-31,1867
2003-06-30,1897
2003-07-31,1833
2003-08-31,1939
2003-09-30,1967
2003-10-31,2083
2003-11-30,2057
2003-12-31,1911
2004-01-31,1846
2004-02-29,1998
2004-03-31,2003
2004-04-30,1981
2004-05-31,1828
2004-06-30,2002
2004-07-31,2024
2004-08-31,1905
2004-09-30,2072
2004-10-31,1782
2004-11-30,2042
2004-12-31,2144
2005-01-31,2207
2005-02-28,1864
2005-03-31,2061
2005-04-30,2025
2005-05-31,2068
2005-06-30,2054
2005-07-31,2095
2005-08-31,2151
2005-09-30,2065
2005-10-31,2147
2005-11-30,1994
2005-12-31,2273
2006-01-31,2119
2006-02-28,1969
2006-03-31,1821
2006-04-30,1942
2006-05-31,1802
2006-06-30,1737
2006-07-31,1650
2006-08-31,1720
2006-09-30,1491
2006-10-31,1570
2006-11-30,1649
2006-12-31,1409
2007-01-31,1480
2007-02-28,1495
2007-03-31,1490
2007-04-30,1415
2007-05-31,1448
2007-06-30,1354
2007-07-31,1330
2007-08-31,1183
2007-09-30,1264
2007-10-31,1197
2007-11-30,1037
2007-12-31,1084
2008-01-31,1103
2008-02-29,1005
2008-03-31,1013
2008-04-30,973
2008-05-31,1046
2008-06-30,923
2008-07-31,844
2008-08-31,820
2008-09-30,777
2008-10-31,652
2008-11-30,560
2008-12-31,490
2009-01-31,582
2009-02-28,505
2009-03-31,478
2009-04-30,540
2009-05-31,585
2009-06-30,594
2009-07-31,586
2009-08-31,585
2009-09-30,534
2009-10-31,588
2009-11-30,581
2009-12-31,614
2010-01-31,604
2010-02-28,636
2010-03-31,687
2010-04-30,583
2010-05-31,536
2010-06-30,546
2010-07-31,599
2010-08-31,594
2010-09-30,543
2010-10-31,545
2010-11-30,539
2010-12-31,630
2011-01-31,517
2011-02-28,600
2011-03-31,554
2011-04-30,561
2011-05-31,608
2011-06-30,623
2011-07-31,585
2011-08-31,650
2011-09-30,610
2011-10-31,711
2011-11-30,694
2011-12-31,723
2012-01-31,704
2012-02-29,695
2012-03-31,753
2012-04-30,708
2012-05-31,757
2012-06-30,740
2012-07-31,754
2012-08-31,847
2012-09-30,915
2012-10-31,833
2012-11-30,976
2012-12-31,888
2013-01-31,962
2013-02-28,1010
2013-03-31,835
2013-04-30,930
2013-05-31,839
2013-06-30,880
2013-07-31,917
2013-08-31,850
2013-09-30,925
2013-10-31,1100
2013-11-30,1002
2013-12-31,888
2014-01-31,944
2014-02-28,970
2014-03-31,1043
2014-04-30,1007
2014-05-31,911
2014-06-30,1085
2014-07-31,984
2014-08-31,1023
2014-09-30,1074
2014-10-31,1001
2014-11-30,1073
2014-12-31,1085
2015-01-31,886
2015-02-28,960
2015-03-31,1190
2015-04-30,1079
2015-05-31,1205
2015-06-30,1146
2015-07-31,1130
2015-08-31,1224
2015-09-30,1058
2015-10-31,1172
2015-11-30,1146
2015-12-31,1092
2016-01-31,1225
2016-02-29,1111
2016-03-31,1163
2016-04-30,1148
2016-05-31,1203
2016-06-30,1239
2016-07-31,1171
2016-08-31,1068
2016-09-30,1313
2016-10-31,1140
2016-11-30,1252
2016-12-31,1190
2017-01-31,1271
2017-02-28,1190
2017-03-31,1146
2017-04-30,1157
2017-05-31,1249
2017-06-30,1206
2017-07-31,1159
2017-08-31,1181
2017-09-30,1257
2017-10-31,1273
2017-11-30,1177
2017-12-31,1299
2018-01-31,1277
2018-02-28,1318
2018-03-31,1276
2018-04-30,1357
2018-05-31,1192
2018-06-30,1208
2018-07-31,1288
2018-08-31,1250
2018-09-30,1221
2018-10-31,1181
2018-11-30,1095
2018-12-31,1226
2019-01-31,1121
2019-02-28,1191
2019-03-31,1272
2019-04-30,1293
2019-05-31,1243
2019-06-30,1240
2019-07-31,1375
2019-08-31,1311
2019-09-30,1325
2019-10-31,1353
2019-11-30,1548
2019-12-31,1581
2020-01-31,1549
2020-02-29,1266
2020-03-31,936
2020-04-30,1039
2020-05-31,1266
2020-06-30,1526
2020-07-31,1396
2020-08-31,1473
2020-09-30,1543
2020-10-31,1543
2020-11-30,1614
2020-12-31,1630
2021-01-31,1404
2021-02-28,1696
2021-03-31,1495
2021-04-30,1589
2021-05-31,1650
2021-06-30,1597
2021-07-31,1594
2021-08-31,1577
2021-09-30,1579
2021-10-31,1705
2021-11-30,1722
2021-12-31,1702
2022-01-31,1735
2022-02-28,1712
2022-03-31,1820
2022-04-30,1531
2022-05-31,1551
2022-06-30,1381
2022-07-31,1531
2022-08-31,1488
2022-09-30,1435
2022-10-31,1424
2022-11-30,1308
2022-12-31,1361
2023-01-31,1399
2023-02-28,1377
2023-03-31,1354
2023-04-30,1584
2023-05-31,1421
2023-06-30,1460
2023-07-31,1317
2023-08-31,1371
2023-09-30,1368
2023-10-31,1514
2023-11-30,1521
2023-12-31,1381
2024-01-31,1552
2024-02-29,1312
2024-03-31,1385
2024-04-30,1316
2024-05-31,1327
2024-06-30,1265
2024-07-31,1391
2024-08-31,1357
2024-09-30,1352
2024-10-31,1295
2024-11-30,1514
2024-12-31,1358
2025-01-31,1490
2025-02-28,1355
2025-03-31,1398
2025-04-30,1282
2025-05-31,1382
2025-06-30,1429
2025-07-31,1307
