date,value
1960-12-30,-33.6
1961-12-30,28.41
1962-12-30,14.58
1963-12-30,-4.67
1964-12-30,-0.47
1965-12-30,11.59
-94780800000,-40.22
-63244800000,32.12
0967-12-04,18.35
1967-04-06,-14.28
2966-08-06,42.65
3965-12-07,21.24
4968-01-03,3.09
1973-12-30,-35.5
1974-12-30,-36.11
1975-12-30,35.49
1976-12-30,36.56
1977-12-30,18.74
1978-12-30,-4.58
1979-12-30,-26.71
1980-12-30,-1.07
1981-12-30,-38.6
1982-12-30,43.19
1983-12-30,29.55
1984-12-30,-4.5
1985-12-30,20.47
1986-12-30,-5.61
1987-12-30,-23.62
1988-12-30,11.64
1989-12-30,-19.96
1990-12-30,-22.54
1991-12-30,11.35
1992-12-30,13.72
1993-12-30,24.94
1994-12-30,-5.09
1995-12-30,-1.65
1996-12-30,-4.26
1997-12-30,14.31
1998-12-30,14.43
1999-12-30,-4.69
2000-12-30,-10.3
2001-12-30,2.35
2002-12-30,14.03
2003-12-30,15.04
2004-12-30,-0.73
2005-12-30,-2.35
2006-12-30,-17.3
2007-12-30,-37.11
2008-12-30,-46
2009-12-30,3.75
2010-12-30,-7.23
2011-12-30,28.76
2012-12-30,40.63
2013-12-30,2.66
2014-12-30,7.09
2015-12-30,6.8
2016-12-30,9.25
2017-12-30,-5.99
2018-12-30,-6.97
2019-12-30,41.37
2020-12-30,4.26
2021-12-30,6.69
2022-12-30,-24.04
2023-12-30,16.28
2024-12-30,-0.46
2025-12-30,-13.67
