date,value
1959-12-30,1535.33
1960-12-30,1256
1961-12-30,1311.5
1962-12-30,1458.58
1963-12-30,1588.33
1964-12-30,1540.42
1965-12-30,1469.33
-94780800000,1166.5
-63244800000,1284.83
0967-12-04,1503.58
1967-04-06,1486.67
2966-08-06,1434.83
3965-12-07,2035.58
4968-01-03,2360.75
1973-12-30,2043.92
1974-12-30,1331.92
1975-12-30,1159.75
1976-12-30,1535
1977-12-30,1961.83
1978-12-30,2000.58
1979-12-30,1717.25
1980-12-30,1300.25
1981-12-30,1096.33
1982-12-30,1057.33
1983-12-30,1705.42
1984-12-30,1766.25
1985-12-30,1741.42
1986-12-30,1811.92
1987-12-30,1630.5
1988-12-30,1487.83
1989-12-30,1382.08
1990-12-30,1203.17
1991-12-30,1008.75
1992-12-30,1201.42
1993-12-30,1291.58
1994-12-30,1446
1995-12-30,1361
1996-12-30,1468.67
1997-12-30,1474.58
1998-12-30,1621.17
1999-12-30,1647.25
2000-12-30,1573.33
2001-12-30,1601.17
2002-12-30,1710.25
2003-12-30,1853.75
2004-12-30,1949.5
2005-12-30,2072.92
2006-12-30,1811.92
2007-12-30,1341.83
2008-12-30,900
2009-12-30,554
2010-12-30,585.5
2011-12-30,611.92
2012-12-30,783.75
2013-12-30,928.17
2014-12-30,1000.25
2015-12-30,1106.75
2016-12-30,1177.08
2017-12-30,1204.67
2018-12-30,1246.83
2019-12-30,1291.5
2020-12-30,1394.33
2021-12-30,1603.17
2022-12-30,1551.5
2023-12-30,1420.58
2024-12-30,1370.58
2025-12-30,1375.13
