date,value
1918-12-31,95.11
1919-01-31,92.59
1919-02-28,88.82
1919-03-31,88.78
1919-04-30,88.25
1919-05-31,93.89
1919-06-30,96.67
1919-07-31,96.5
1919-08-31,94.01
1919-09-30,91.5
1919-10-31,88.11
1919-11-30,87.62
1919-12-31,93.9
1920-01-31,92.93
1920-02-29,90.23
1920-03-31,82.86
1920-04-30,83.76
1920-05-31,83.39
1920-06-30,81.7
1920-07-31,84.14
1920-08-31,82.37
1920-09-30,79.3
1920-10-31,73.13
1920-11-30,70.17
1920-12-31,67.54
1921-01-31,68.33
1921-02-28,66.81
1921-03-31,67.55
1921-04-30,71.03
1921-05-31,70.94
1921-06-30,70.05
1921-07-31,72.5
1921-08-31,73.82
1921-09-30,78.28
1921-10-31,77.74
1921-11-30,77.68
1921-12-31,82.6
1922-01-31,86.19
1922-02-28,91.9
1922-03-31,88.78
1922-04-30,93.46
1922-05-31,98.13
1922-06-30,97.55
1922-07-31,96.63
1922-08-31,101.85
1922-09-30,106.96
1922-10-31,110.96
1922-11-30,113.38
1922-12-31,111.48
1923-01-31,113.03
1923-02-28,116.64
1923-03-31,118.52
1923-04-30,120.06
1923-05-31,118.33
1923-06-30,115.95
1923-07-31,114.6
1923-08-31,111.41
1923-09-30,110.26
1923-10-31,110.26
1923-11-30,107.76
1923-12-31,110.26
1924-01-31,112.92
1924-02-29,111.55
1924-03-31,108.64
1924-04-30,104.05
1924-05-31,99.46
1924-06-30,97.35
1924-07-31,101.5
1924-08-31,104.45
1924-09-30,106.37
1924-10-31,108.38
1924-11-30,110.76
1924-12-31,114.27
1925-01-31,114.94
1925-02-28,114.27
1925-03-31,115.95
1925-04-30,114.77
1925-05-31,112.47
1925-06-30,114.14
1925-07-31,112.18
1925-08-31,110.71
1925-09-30,115.12
1925-10-31,115.61
1925-11-30,117.71
1925-12-31,115.77
1926-01-31,115.77
1926-02-28,117.88
1926-03-31,117.22
1926-04-30,116.91
1926-05-31,119.04
1926-06-30,120.89
1926-07-31,123.08
1926-08-31,124.36
1926-09-30,123.66
1926-10-31,122.47
1926-11-30,121.98
1926-12-31,122.88
1927-01-31,124.58
1927-02-28,126.8
1927-03-31,123.8
1927-04-30,124.08
1927-05-31,122.18
1927-06-30,122.79
1927-07-31,123.51
1927-08-31,120.79
1927-09-30,117.6
1927-10-31,118.28
1927-11-30,118.78
1927-12-31,121.29
1928-01-31,123.72
1928-02-29,124.74
1928-03-31,124.23
1928-04-30,125.02
1928-05-31,126.76
1928-06-30,128.28
1928-07-31,130.82
1928-08-31,130.31
1928-09-30,133.59
1928-10-31,136.11
1928-11-30,139.44
1928-12-31,141.47
1929-01-31,140.96
1929-02-28,142.3
1929-03-31,145.71
1929-04-30,147.4
1929-05-31,147.55
1929-06-30,147.85
1929-07-31,146.35
1929-08-31,145.35
1929-09-30,142.84
1929-10-31,135.82
1929-11-30,130.56
1929-12-31,131.33
1930-01-31,131.59
1930-02-28,130.32
1930-03-31,128.53
1930-04-30,127.24
1930-05-31,124.38
1930-06-30,120.14
1930-07-31,118.24
1930-08-31,115.43
1930-09-30,112.98
1930-10-31,111.03
1930-11-30,110.4
1930-12-31,111.25
1931-01-31,113.22
1931-02-28,116.17
1931-03-31,117.47
1931-04-30,117.31
1931-05-31,115.99
1931-06-30,114.27
1931-07-31,110.25
1931-08-31,105.78
1931-09-30,102.42
1931-10-31,102.63
1931-11-30,102.74
1931-12-31,101.87
1932-01-31,100.85
1932-02-29,100.33
1932-03-31,94.19
1932-04-30,92.4
1932-05-31,89.89
1932-06-30,87.35
1932-07-31,90.56
1932-08-31,97.06
1932-09-30,101.05
1932-10-31,101.81
1932-11-30,100.61
1932-12-31,100.15
1933-01-31,102.41
1933-02-28,97.03
1933-03-31,103.91
1933-04-30,121.11
1933-05-31,138.59
1933-06-30,146.94
1933-07-31,139.91
1933-08-31,132.03
1933-09-30,125.46
1933-10-31,118.24
1933-11-30,118.89
1933-12-31,122.83
1934-01-31,127.78
1934-02-28,133.65
1934-03-31,133.65
1934-04-30,136.25
1934-05-31,132.65
1934-06-30,123.59
1934-07-31,122.3
1934-08-31,113.48
1934-09-30,119.46
1934-10-31,120.75
1934-11-30,129.41
1934-12-31,137.71
1935-01-31,139.24
1935-02-28,138.6
1935-03-31,135.09
1935-04-30,135.09
1935-05-31,137.97
1935-06-30,137.97
1935-07-31,143.03
1935-08-31,146.83
1935-09-30,151.26
1935-10-31,153.31
1935-11-30,155.19
1935-12-31,152.68
1936-01-31,148.91
1936-02-29,151.9
1936-03-31,161.39
1936-04-30,164.55
1936-05-31,166.5
1936-06-30,168.42
1936-07-31,169.7
1936-08-31,172.79
1936-09-30,175.27
1936-10-31,180.23
1936-11-30,185.8
1936-12-31,183.87
1937-01-31,186.33
1937-02-28,189.29
1937-03-31,187.97
1937-04-30,187.26
1937-05-31,184.85
1937-06-30,184.78
1937-07-31,183.58
1937-08-31,176.38
1937-09-30,163.32
1937-10-31,148.3
1937-11-30,136.08
1937-12-31,134.94
1938-01-31,134.67
1938-02-28,134.67
1938-03-31,131.28
1938-04-30,129.14
1938-05-31,130.37
1938-06-30,137.75
1938-07-31,145.13
1938-08-31,149.43
1938-09-30,154.21
1938-10-31,160.41
1938-11-30,162.27
1938-12-31,162.27
1939-01-31,164.68
1939-02-28,165.3
1939-03-31,165.87
1939-04-30,165.24
1939-05-31,169.01
1939-06-30,174.04
1939-07-31,176.56
1939-08-31,183.25
1939-09-30,193.85
1939-10-31,198.81
1939-11-30,198.81
1939-12-31,197.74
1940-01-31,190.14
1940-02-29,185.8
1940-03-31,189.52
1940-04-30,195.09
1940-05-31,199.86
1940-06-30,203.76
1940-07-31,205
1940-08-31,209.34
1940-09-30,212.43
1940-10-31,217.39
1940-11-30,223.22
1940-12-31,228.76
1941-01-31,235.52
1941-02-28,241.19
1941-03-31,240.11
1941-04-30,249.28
1941-05-31,245.96
1941-06-30,248.91
1941-07-31,248.48
1941-08-31,245.19
1941-09-30,244.25
1941-10-31,243.79
1941-11-30,246.13
1941-12-31,247.97
1942-01-31,250.79
1942-02-28,250.37
1942-03-31,241.81
1942-04-30,239.37
1942-05-31,239.91
1942-06-30,244.26
1942-07-31,250.14
1942-08-31,255.92
1942-09-30,261.16
1942-10-31,265.8
1942-11-30,270.38
1942-12-31,272.95
1943-01-31,280.13
1943-02-28,277.26
1943-03-31,277.56
1943-04-30,277.96
1943-05-31,276.47
1943-06-30,286.53
1943-07-31,294.2
1943-08-31,299.99
1943-09-30,304.47
1943-10-31,308.46
1943-11-30,304.47
1943-12-31,307.96
1944-01-31,310.45
1944-02-29,309.95
1944-03-31,308.18
1944-04-30,306.2
1944-05-31,303.47
1944-06-30,301.27
1944-07-31,305.19
1944-08-31,303.23
1944-09-30,304.21
1944-10-31,301.76
1944-11-30,299.09
1944-12-31,296.17
1945-01-31,295.19
1945-02-28,293.24
1945-03-31,287.89
1945-04-30,278.53
1945-05-31,269.22
1945-06-30,263
1945-07-31,235.69
