date,value
1919-12-30,4.93
1920-12-30,5.17
1921-12-30,3.97
1922-12-30,5.06
1923-12-30,6.03
1924-12-30,5.64
1925-12-30,6.22
1926-12-30,6.58
1927-12-30,6.57
1928-12-30,6.85
1929-12-30,7.6
1930-12-30,6.31
1931-12-30,5.23
1932-12-30,4.08
1933-12-30,4.83
1934-12-30,5.24
1935-12-30,6.07
1936-12-30,7.16
1937-12-30,7.84
1938-12-30,6.2
1939-12-30,7.61
1940-12-30,8.79
1941-12-30,11.1
1942-12-30,12.74
1943-12-30,15.48
1944-12-30,16.64
1945-12-30,14.24
1946-12-30,12.31
1947-12-30,13.85
1948-12-30,14.43
1949-12-30,13.63
1950-12-30,15.78
1951-12-30,17.11
1952-12-30,17.78
1953-12-30,19.27
1954-12-30,18.18
1955-12-30,20.51
1956-12-30,21.39
1957-12-30,21.7
1958-12-30,20.29
1959-12-30,22.72
1960-12-30,23.23
1961-12-30,23.38
1962-12-30,25.33
1963-12-30,26.89
1964-12-30,28.7
1965-12-30,31.55
-94780800000,34.34
-63244800000,35.08
0967-12-04,37.03
1967-04-06,38.75
2966-08-06,37.47
3965-12-07,37.98
4968-01-03,41.63
1973-12-30,45.05
1974-12-30,44.92
1975-12-30,40.91
1976-12-30,44.14
1977-12-30,47.52
1978-12-30,50.13
1979-12-30,51.63
1980-12-30,50.3
1981-12-30,50.96
1982-12-30,48.32
1983-12-30,49.64
1984-12-30,54.07
1985-12-30,54.73
1986-12-30,55.28
1987-12-30,58.16
1988-12-30,61.17
1989-12-30,61.73
1990-12-30,62.32
1991-12-30,61.4
1992-12-30,63.2
1993-12-30,65.28
1994-12-30,68.71
1995-12-30,71.9
1996-12-30,75.17
1997-12-30,80.57
1998-12-30,85.31
1999-12-30,89.04
2000-12-30,92.49
2001-12-30,89.69
2002-12-30,89.98
2003-12-30,91.14
2004-12-30,93.58
2005-12-30,96.72
2006-12-30,98.92
2007-12-30,101.46
2008-12-30,97.95
2009-12-30,86.8
2010-12-30,91.62
2011-12-30,94.5
2012-12-30,97.36
2013-12-30,99.33
2014-12-30,102.31
2015-12-30,100.86
2016-12-30,98.7
2017-12-30,100
2018-12-30,103.16
2019-12-30,102.43
2020-12-30,95.12
2021-12-30,99.3
2022-12-30,102.71
2023-12-30,101.13
2024-12-30,100.11
2025-12-30,101.12
