date,value
-63244800000,227396.55
0967-12-04,197349.21
1967-04-06,196008.2
2966-08-06,294730.16
3965-12-07,297011.9
4968-01-03,262850.81
1973-12-30,241673.39
1974-12-30,347623.02
1975-12-30,475938.52
1976-12-30,383849.21
1977-12-30,373746.03
1978-12-30,341302.42
1979-12-30,380592.74
1980-12-30,491008.06
1981-12-30,447654.76
1982-12-30,587067.46
1983-12-30,443535.71
1984-12-30,372858.87
1985-12-30,391857.14
1986-12-30,378889.34
1987-12-30,325682.54
1988-12-30,310234.38
1989-12-30,328270.16
1990-12-30,381350.81
1991-12-30,447940.48
1992-12-30,411584.68
1993-12-30,344182.54
1994-12-30,339654.76
1995-12-30,357463.71
1996-12-30,352384.92
1997-12-30,322852.46
1998-12-30,317039.68
1999-12-30,298301.59
2000-12-30,298064.52
2001-12-30,403419.35
2002-12-30,404321.43
2003-12-30,403651.64
2004-12-30,343154.76
2005-12-30,330698.41
2006-12-30,311822.58
2007-12-30,319762.1
2008-12-30,412225.81
2009-12-30,576250
2010-12-30,460563.49
2011-12-30,409329.37
2012-12-30,375556.45
2013-12-30,344103.17
2014-12-30,308959.02
2015-12-30,278186.51
2016-12-30,262566.41
2017-12-30,244274.19
2018-12-30,220012.1
2019-12-30,217500
2020-12-30,1372129.03
2021-12-30,476873.02
2022-12-30,213813.49
2023-12-30,222681.45
2024-12-30,222503.97
2025-12-30,226591.35
