date,value
1992-12-30,115695.17
1993-12-30,120548.58
1994-12-30,127266.25
1995-12-30,130562.25
1996-12-30,134376.33
1997-12-30,138017
1998-12-30,142149.58
1999-12-30,150506
2000-12-30,155096.08
2001-12-30,155440.75
2002-12-30,156536.75
2003-12-30,159726.67
2004-12-30,165272.92
2005-12-30,170464.42
2006-12-30,174094
2007-12-30,174787
2008-12-30,166202.08
2009-12-30,154541.83
2010-12-30,160313.5
2011-12-30,166881.33
2012-12-30,171502.75
2013-12-30,175548.5
2014-12-30,180007.33
2015-12-30,184383.75
2016-12-30,186942.33
2017-12-30,191494.08
2018-12-30,195084
2019-12-30,197603.58
2020-12-30,196506.67
2021-12-30,221828.58
2022-12-30,224191.42
2023-12-30,222876
2024-12-30,222149.17
2025-12-30,224802.56
