date,value
1991-12-31,7.24
1992-01-31,7.45
1992-02-29,6.72
1992-03-31,7.4
1992-04-30,7.39
1992-05-31,7.36
1992-06-30,7.12
1992-07-31,6.87
1992-08-31,7.3
1992-09-30,7.51
1992-10-31,7.72
1992-11-30,7.5
1992-12-31,7.01
1993-01-31,7.21
1993-02-28,7.19
1993-03-31,7.17
1993-04-30,6.71
1993-05-31,6.48
1993-06-30,6.25
1993-07-31,5.79
1993-08-31,6.22
1993-09-30,6.42
1993-10-31,6.42
1993-11-30,6.19
1993-12-31,6.4
1994-01-31,6.16
1994-02-28,6.14
1994-03-31,5.47
1994-04-30,5.47
1994-05-31,5.67
1994-06-30,5.87
1994-07-31,5.41
1994-08-31,5.4
1994-09-30,5.18
1994-10-31,4.96
1994-11-30,4.96
1994-12-31,5.15
1995-01-31,4.92
1995-02-28,5.33
1995-03-31,5.73
1995-04-30,5.3
1995-05-31,5.5
1995-06-30,5.29
1995-07-31,5.27
1995-08-31,5.05
1995-09-30,5.04
1995-10-31,4.83
1995-11-30,5.04
1995-12-31,5.01
1996-01-31,4.79
1996-02-29,4.56
1996-03-31,4.75
1996-04-30,4.74
1996-05-31,4.53
1996-06-30,4.52
1996-07-31,4.31
1996-08-31,4.5
1996-09-30,4.48
1996-10-31,4.68
1996-11-30,4.68
1996-12-31,4.26
1997-01-31,4.24
1997-02-28,4.03
1997-03-31,4.03
1997-04-30,4.43
1997-05-31,4.02
1997-06-30,4.22
1997-07-31,4.21
1997-08-31,4.2
1997-09-30,3.79
1997-10-31,3.4
1997-11-30,3.6
1997-12-31,3.79
1998-01-31,3.79
1998-02-28,3.58
1998-03-31,3.37
1998-04-30,3.37
1998-05-31,3.36
1998-06-30,3.36
1998-07-31,3.55
1998-08-31,3.35
1998-09-30,3.74
1998-10-31,3.74
1998-11-30,3.54
1998-12-31,3.53
1999-01-31,3.73
1999-02-28,3.71
1999-03-31,3.88
1999-04-30,3.69
1999-05-31,3.88
1999-06-30,3.48
1999-07-31,3.09
1999-08-31,3.27
1999-09-30,3.26
1999-10-31,3.26
1999-11-30,3.26
1999-12-31,3.44
2000-01-31,3.04
2000-02-29,3.2
2000-03-31,2.82
2000-04-30,3.01
2000-05-31,2.99
2000-06-30,3.17
2000-07-31,3.55
2000-08-31,3.53
2000-09-30,2.97
2000-10-31,2.78
2000-11-30,2.78
2000-12-31,2.95
2001-01-31,2.94
2001-02-28,3.66
2001-03-31,3.83
2001-04-30,3.81
2001-05-31,3.99
2001-06-30,4
2001-07-31,4.18
2001-08-31,4.52
2001-09-30,4.72
2001-10-31,5.27
2001-11-30,5.48
2001-12-31,5.28
2002-01-31,5.26
2002-02-28,5.05
2002-03-31,5.2
2002-04-30,5.2
2002-05-31,5.38
2002-06-30,5.37
2002-07-31,5
2002-08-31,5.17
2002-09-30,5.34
2002-10-31,5.16
2002-11-30,5.17
2002-12-31,5.33
2003-01-31,5.28
2003-02-28,5.43
2003-03-31,5.26
2003-04-30,5.27
2003-05-31,5.44
2003-06-30,5.44
2003-07-31,5.59
2003-08-31,5.57
2003-09-30,5.41
2003-10-31,5.42
2003-11-30,5.25
2003-12-31,5.05
2004-01-31,5.02
2004-02-29,4.99
2004-03-31,4.98
2004-04-30,4.95
2004-05-31,4.59
2004-06-30,4.43
2004-07-31,4.6
2004-08-31,4.42
2004-09-30,4.22
2004-10-31,4.22
2004-11-30,4.24
2004-12-31,4.06
2005-01-31,4.04
2005-02-28,4
2005-03-31,3.98
