date,value
1993-12-30,-15.15
1994-12-30,-17.86
1995-12-30,4.35
1996-12-30,-4.17
1997-12-30,-21.74
1998-12-30,0
1999-12-30,-5.56
2000-12-30,-11.76
2001-12-30,100
2002-12-30,-3.33
2003-12-30,3.45
2004-12-30,-16.67
2005-12-30,-16
2006-12-30,-14.29
2007-12-30,16.67
2008-12-30,71.43
2009-12-30,36.11
2010-12-30,-2.04
2011-12-30,-14.58
2012-12-30,-2.44
2013-12-30,-17.5
2014-12-30,-15.15
2015-12-30,-10.71
2016-12-30,0
2017-12-30,-12
2018-12-30,0
2019-12-30,-9.09
2020-12-30,95
2021-12-30,-46.15
2022-12-30,-9.52
2023-12-30,10.53
2024-12-30,14.29
2025-12-30,20.83
