date,value
1993-04-29,24.1
1993-05-30,34.9
1993-06-29,53.7
1993-07-29,65.6
1993-08-30,96.4
1993-09-29,146.6
1993-10-28,184.4
1993-11-29,274
1993-12-29,375.5
1994-01-30,740.6
1994-02-27,1053.9
1994-03-29,1515.6
1994-04-28,1708.4
1994-05-30,2467.2
1994-06-29,3623.2
1994-07-28,4201.2998
1994-08-30,5329.5
1994-09-29,5484
1994-10-30,4797.8999
1994-11-29,4656
1994-12-28,4353.8999
1995-01-30,3885
1995-02-23,3270.8999
1995-03-30,2979
1995-04-27,3813.7
1995-05-30,3720.6001
1995-06-29,3603.3999
1995-07-30,3877.5
1995-08-30,4310.5
1995-09-28,4670.1001
1995-10-30,4128.3999
1995-11-29,4378.6001
1995-12-27,4299
1996-01-30,5151.5
1996-02-28,4957.7002
1996-03-28,4954.8999
1996-04-29,5164.1001
1996-05-30,5728
1996-06-27,6043.8999
1996-07-30,6123.2998
1996-08-29,6259.3999
1996-09-29,6446.8999
1996-10-30,6533.2002
1996-11-28,6666.1001
1996-12-29,7039.8999
1997-01-30,7964.7002
1997-02-27,8828.7002
1997-03-30,9044
1997-04-29,9982
1997-05-29,11345
1997-06-29,12568
1997-07-30,12872
1997-08-28,10609
1997-09-29,11797
1997-10-30,8986
1997-11-27,9395
1997-12-29,10197
1998-01-29,9720
1998-02-26,10571
1998-03-30,11947
1998-04-29,11677
1998-05-28,9847
1998-06-29,9678
1998-07-30,10707
1998-08-30,6472
1998-09-29,6593
1998-10-29,7047
1998-11-29,8631
1998-12-29,6784
1999-01-28,8172
1999-02-25,8911
1999-03-30,10696
1999-04-29,11351
1999-05-30,11090
1999-06-29,11627
1999-07-29,10442
1999-08-30,10565
1999-09-29,11106
1999-10-28,11700
1999-11-29,13779
1999-12-29,17092
2000-01-30,16388
2000-02-28,17660
2000-03-30,17820
2000-04-27,15538
2000-05-30,14957
2000-06-29,16728
2000-07-30,16455
2000-08-30,17347
2000-09-28,15928
2000-10-30,14867
2000-11-29,13287
2000-12-28,15259.3
2001-01-30,17673
2001-02-27,15891
2001-03-29,14438
2001-04-29,14918
2001-05-30,14650
2001-06-28,14560
2001-07-30,13754
2001-08-30,12841
2001-09-27,10636
2001-10-30,11365
2001-11-29,12932
2001-12-30,13577.6
2002-01-30,12721
2002-02-27,14033
2002-03-27,13255
2002-04-29,13085
2002-05-30,12861
2002-06-27,11139
2002-07-30,9763
2002-08-29,10382
2002-09-29,8623
2002-10-30,10168
2002-11-28,10509
2002-12-30,11268.5
2003-01-30,10941
2003-02-27,10281
2003-03-30,11274
2003-04-29,12557
2003-05-29,13421.6
2003-06-29,12972.6
2003-07-30,13571.7
2003-08-28,15174.5
2003-09-29,16010.7
2003-10-30,17982.5
2003-11-27,20184
2003-12-29,22236.39
2004-01-29,21851.44
2004-02-26,21755.02
2004-03-30,22142.26
2004-04-29,19607.23
2004-05-30,19544.67
2004-06-29,21148.91
2004-07-29,22336.87
2004-08-30,22803.19
2004-09-29,23245.24
2004-10-28,23052.18
2004-11-29,25128.33
2004-12-29,26196.25
2005-01-30,24350.62
2005-02-27,28139.13
2005-03-30,26610.65
2005-04-28,24858.26
2005-05-30,25207.07
2005-06-29,25051.21
2005-07-28,26042.36
2005-08-30,28044.83
2005-09-29,31583.79
2005-10-30,30193.51
2005-11-29,31916.76
2005-12-28,33455.94
2006-01-30,38372.82
2006-02-23,38610.39
2006-03-30,37951.97
2006-04-27,40363.42
2006-05-30,36530.04
2006-06-29,36630.66
2006-07-30,37077.12
2006-08-30,36232.22
2006-09-28,36449.81
2006-10-30,39262.79
2006-11-29,41931.84
2006-12-28,44440.17
2007-01-30,44642.91
2007-02-27,43892.31
2007-03-29,45804.66
2007-04-29,48956.39
2007-05-30,52268.46
2007-06-28,54392.06
2007-07-30,54191.26
2007-08-30,54637.24
2007-09-27,60465.06
2007-10-30,65319.04
2007-11-29,63006.16
2007-12-27,63644.87
2008-01-30,59490.4
2008-02-28,63489.3
2008-03-30,60968
2008-04-29,67868.4
2008-05-29,72592.5
2008-06-29,65017.58
2008-07-30,59505.17
2008-08-28,55680.41
2008-09-29,49541.27
2008-10-30,37256.84
2008-11-27,36595.87
2008-12-29,37550.31
2009-01-29,39300.79
