date,value
1990-03-29,1972
1990-04-29,2046
1990-05-30,2107
1990-06-28,2035
1990-07-30,1965
1990-08-30,1690
1990-09-27,1499
1990-10-30,1645
1990-11-29,1605
1990-12-27,1509
1991-01-30,1580
1991-02-27,1760
1991-03-27,1816
1991-04-29,1779
1991-05-30,1861.8
1991-06-27,1747.6
1991-07-30,1754.7
1991-08-29,1864.3
1991-09-29,1880.6
1991-10-30,1856.7
1991-11-28,1739.7
1991-12-30,1765.7
1992-01-30,1875.3
1992-02-27,1983.4
1992-03-30,1942.4
1992-04-29,2031.1
1992-05-28,2033.3
1992-06-29,1900.6
1992-07-30,1754.7
1992-08-30,1684.9
1992-09-29,1736.7
1992-10-29,1742.4
1992-11-29,1771.4
1992-12-30,1857.8
1993-01-28,1772.2
1993-02-25,1983.7
1993-03-30,2031.4
1993-04-29,1939
1993-05-27,1888.7
1993-06-29,1971.9
1993-07-29,2085.8999
1993-08-30,2216.5
1993-09-29,2114.6001
1993-10-28,2182
1993-11-29,2110.1001
1993-12-30,2268.2
1994-01-30,2334.3999
1994-02-27,2238.1001
1994-03-30,2081.8999
1994-04-28,2166
1994-05-30,2029.9
1994-06-29,1892
1994-07-28,2075
1994-08-30,2069.1001
1994-09-29,1879.3
1994-10-27,1905.7
1994-11-29,1975.9
1994-12-29,1881.2
1995-01-30,1797.9
1995-02-27,1776.9
1995-03-30,1859.5
1995-04-27,1918.5
1995-05-30,1948
1995-06-29,1858.8
1995-07-30,1920
1995-08-30,1883.4
1995-09-28,1788.4
1995-10-30,1814
1995-11-29,1828.3
1995-12-28,1872
1996-01-30,2021
1996-02-28,1990.8
1996-03-28,2044.8
1996-04-29,2146.8
1996-05-30,2110.1001
1996-06-27,2123.7
1996-07-30,1995.9
1996-08-29,1970.6
1996-09-29,2132.8
1996-10-30,2140.5
1996-11-28,2315.7
1996-12-30,2315.7
1997-01-30,2516.6001
1997-02-27,2607.8
1997-03-26,2656.7
1997-04-29,2639.5
1997-05-29,2583.8999
1997-06-29,2858.3
1997-07-30,3075.7
1997-08-28,2770.5
1997-09-29,3008.3
1997-10-30,2739.3
1997-11-27,2854.3999
1997-12-30,2998.8999
1998-01-29,3172.1001
1998-02-26,3421.8999
1998-03-30,3875.3
1998-04-29,3880.9199
1998-05-28,4041.1599
1998-06-29,4203.4502
1998-07-30,4177.3101
1998-08-30,3765.23
1998-09-29,3197.95
1998-10-29,3522.9299
1998-11-29,3843.3799
1998-12-29,3942.6599
1999-01-28,4251.7998
1999-02-25,4092.9399
1999-03-30,4197.8799
1999-04-29,4405.3501
1999-05-30,4351.29
1999-06-29,4536.6099
1999-07-29,4382.0601
1999-08-30,4589.2202
