date,value
1990-03-29,4942.43
1990-04-29,5119.94
1990-05-30,5260.34
1990-06-28,5053.21
1990-07-30,4860.68
1990-08-30,4142.31
1990-09-27,3643.7
1990-10-30,3974.63
1990-11-29,3869.29
1990-12-27,3637.85
1991-01-30,3786.38
1991-02-27,4211.48
1991-03-27,4339.04
1991-04-29,4244.35
1991-05-30,4428.79
1991-06-27,4144.91
1991-07-30,4155.64
1991-08-29,4402.27
1991-09-29,4421.34
1991-10-30,4358.8
1991-11-28,4072.27
1991-12-30,4130.14
1992-01-30,4380.15
1992-02-27,4615.93
1992-03-30,4497.79
1992-04-29,4696.44
1992-05-28,4694.8
1992-06-29,4372.75
1992-07-30,4028.45
1992-08-30,3857.23
1992-09-29,3964.56
1992-10-29,3963.54
1992-11-29,4023.83
1992-12-30,4223.07
1993-01-28,4008.71
1993-02-25,4471.45
1993-03-30,4563.03
1993-04-29,4343.37
1993-05-27,4224.83
1993-06-29,4404.83
1993-07-29,4659.49
1993-08-30,4937.54
1993-09-29,4700.81
1993-10-28,4830.67
1993-11-29,4668.29
1993-12-30,5018.06
1994-01-30,5150.39
1994-02-27,4921.09
1994-03-30,4562.09
1994-04-28,4739.94
1994-05-30,4439.1
1994-06-29,4123.55
1994-07-28,4510.2
1994-08-30,4479.27
1994-09-29,4057.49
1994-10-27,4111.74
1994-11-29,4257.5
1994-12-29,4053.45
1995-01-30,3858.5
1995-02-27,3798.27
1995-03-30,3961.71
1995-04-27,4073.95
1995-05-30,4128.44
1995-06-29,3931.65
1995-07-30,4061.1
1995-08-30,3973.26
1995-09-28,3765.46
1995-10-30,3806.93
1995-11-29,3839.44
1995-12-28,3933.77
1996-01-30,4222.12
1996-02-28,4145.61
1996-03-28,4236.18
1996-04-29,4430.42
1996-05-30,4346.33
1996-06-27,4371.56
1996-07-30,4100.63
1996-08-29,4040.93
1996-09-29,4359.68
1996-10-30,4361.6
1996-11-28,4709.68
1996-12-30,4709.68
1997-01-30,5102.18
1997-02-27,5270.52
1997-03-26,5355.92
1997-04-29,5314.61
1997-05-29,5205.9
1997-06-29,5751.57
1997-07-30,6181.31
1997-08-28,5557.56
1997-09-29,6019.6
1997-10-30,5467.77
1997-11-27,5701.04
1997-12-30,5997.07
1998-01-29,6331.66
1998-02-26,6817.61
1998-03-30,7706.66
1998-04-29,7703.59
1998-05-28,8006.88
1998-06-29,8318.22
1998-07-30,8256.36
1998-08-30,7432.78
1998-09-29,6305.22
1998-10-29,6929.02
1998-11-29,7559.3
1998-12-29,7759.29
1999-01-28,8347.32
1999-02-25,8025.67
1999-03-30,8206.5
1999-04-29,8549.9
1999-05-30,8444.98
1999-06-29,8804.65
1999-07-29,8479.19
1999-08-30,8858.79
1999-09-29,8820.8
1999-10-28,9375.02
1999-11-29,10237.66
1999-12-29,11419.62
2000-01-30,10815.35
2000-02-28,11760.75
2000-03-30,11843.75
2000-04-27,12088.41
2000-05-30,12086.73
2000-06-29,12061.42
2000-07-30,12212.7
2000-08-30,12367.45
2000-09-28,11637.08
2000-10-30,11860.05
2000-11-29,10983.19
2000-12-28,10986.35
2001-01-30,11050.16
2001-02-27,9848.39
2001-03-29,9483.7
2001-04-29,10284.03
2001-05-30,9900.46
2001-06-28,9468.98
2001-07-30,9241.6
2001-08-30,8521.61
2001-09-27,7379.28
2001-10-30,7880.31
2001-11-29,8138.68
2001-12-27,8442.04
2002-01-30,8126.62
2002-02-27,8096.66
2002-03-27,8457.34
2002-04-29,8006.15
2002-05-30,7668.7
2002-06-27,6989.1
2002-07-30,6116.98
2002-08-29,6008.9
2002-09-29,4949.71
2002-10-30,5604.41
2002-11-28,5918.63
2002-12-30,5463.23
2003-01-30,5215.44
2003-02-27,4851.75
