date,value
1991-12-30,17.01
1992-12-30,5.22
1993-12-30,22.09
1994-12-30,-17.06
1995-12-30,-0.49
1996-12-30,23.7
1997-12-30,29.5
1998-12-30,31.47
1999-12-30,51.12
2000-12-30,-0.54
2001-12-30,-21.97
2002-12-30,-33.75
2003-12-30,16.12
2004-12-30,7.4
2005-12-30,23.4
2006-12-30,17.53
2007-12-30,1.31
2008-12-30,-42.68
2009-12-30,22.32
2010-12-30,-3.34
2011-12-30,-16.95
2012-12-30,15.23
2013-12-30,17.99
2014-12-30,-0.54
2015-12-30,8.53
2016-12-30,4.86
2017-12-30,9.26
2018-12-30,-10.95
2019-12-30,26.37
2020-12-30,-7.14
2021-12-30,28.85
2022-12-30,-9.5
2023-12-30,16.52
2024-12-30,-2.15
2025-12-30,5.28
