date,value
1990-11-29,1441.2
1990-12-27,1398.2
1991-01-30,1420.1
1991-02-27,1542.1
1991-03-27,1522.8
1991-04-29,1605.8
1991-05-30,1704.1
1991-06-27,1622.2
1991-07-30,1622.3
1991-08-29,1650.5
1991-09-29,1607
1991-10-30,1582.1
1991-11-28,1566.6
1991-12-29,1578
1992-01-30,1687.5
1992-02-27,1745.1
1992-03-30,1717.9
1992-04-29,1734
1992-05-28,1803.2
1992-06-29,1752.6
1992-07-30,1615.4
1992-08-30,1541.3
1992-09-29,1466.4
1992-10-29,1492.3
1992-11-29,1544.3
1992-12-29,1545.1
1993-01-28,1571.9
1993-02-25,1684.4
1993-03-30,1684.2
1993-04-29,1627.2
1993-05-27,1631.9
1993-06-29,1697.6
1993-07-29,1803.2
1993-08-30,1944.9
1993-09-29,1915.7
1993-10-28,2069
1993-11-29,2057.8
1993-12-29,2266.7
1994-01-30,2177.5
1994-02-27,2091.6001
1994-03-30,2133.1001
1994-04-28,2246
1994-05-30,2127.7
1994-06-29,2025.3
1994-07-28,2146.6001
1994-08-30,2212.8999
1994-09-29,2011.8
1994-10-30,2071.6001
1994-11-29,2048.3
1994-12-29,2106.6001
1995-01-30,2021.3
1995-02-27,2102.2
1995-03-30,1922.6
1995-04-27,2015.9
1995-05-30,2092.2
1995-06-29,2083.8999
1995-07-30,2218.7
1995-08-30,2238.3
1995-09-28,2187
1995-10-30,2167.8999
1995-11-29,2242.8
1995-12-28,2253.8999
1996-01-30,2470.1001
1996-02-28,2473.6001
1996-03-28,2485.8999
1996-04-29,2505.3
1996-05-30,2542.8
1996-06-27,2561.3999
1996-07-30,2473.3999
1996-08-29,2543.8
1996-09-29,2651.8999
1996-10-30,2659.3
1996-11-28,2845.5
1996-12-29,2888.7
1997-01-30,3035.2
1997-02-27,3259.6001
1997-03-26,3429.1001
1997-04-29,3438.1001
1997-05-29,3562.7
1997-06-29,3766.8999
1997-07-30,4405.5
1997-08-28,3919.8
1997-09-29,4154.8999
1997-10-30,3753.7
1997-11-27,3972.1001
1997-12-29,4224.2998
1998-01-29,4442.5
1998-02-26,4693.8999
1998-03-30,5097.2998
1998-04-29,5107.4399
1998-05-28,5569.0801
1998-06-29,5897.4399
1998-07-30,5873.9199
1998-08-30,4833.8901
1998-09-29,4474.5098
1998-10-29,4671.1201
1998-11-29,5022.7002
1998-12-29,5002.3901
1999-01-28,5159.96
1999-02-25,4911.8101
1999-03-30,4884.2002
1999-04-29,5393.1099
1999-05-30,5069.8301
1999-06-29,5378.52
1999-07-29,5101.8701
1999-08-30,5270.77
1999-09-29,5149.8301
1999-10-28,5525.3999
1999-11-29,5896.04
1999-12-29,6958.1401
2000-01-30,6835.6
2000-02-28,7644.5
2000-03-30,7599.4
2000-04-27,7414.7
2000-05-30,7109.7
2000-06-29,6886.8
2000-07-30,7190.4
2000-08-30,7216.5
2000-09-28,6798.1
2000-10-30,7077.4
2000-11-29,6372.3
2000-12-28,6433.6
2001-01-30,6795.1
2001-02-27,6208.2
2001-03-29,5830
2001-04-29,6264.5
2001-05-30,6123.3
2001-06-28,6058.4
2001-07-30,5861.2
2001-08-30,5188.2
2001-09-27,4308.15
2001-10-30,4559.13
2001-11-29,4989.91
2001-12-30,5160.1
2002-01-30,5107.61
2002-02-27,5039.08
2002-03-27,5397.29
2002-04-29,5041.2
2002-05-30,4818.3
2002-06-27,4382.56
2002-07-30,3700.14
2002-08-29,3712.94
2002-09-29,2769.03
2002-10-30,3152.85
2002-11-28,3320.32
2002-12-29,2892.63
2003-01-30,2747.83
2003-02-27,2547.05
2003-03-30,2423.87
2003-04-29,2942.04
2003-05-29,2982.68
2003-06-29,3220.58
2003-07-30,3487.86
2003-08-28,3484.58
2003-09-29,3256.78
2003-10-30,3655.99
2003-11-27,3745.95
2003-12-29,3965.16
2004-01-29,4058.6
2004-02-26,4018.16
2004-03-30,3856.7
2004-04-29,3985.21
2004-05-30,3921.41
2004-06-29,4052.73
2004-07-29,3895.61
2004-08-30,3785.21
2004-09-29,3892.9
2004-10-28,3960.25
2004-11-29,4126
2004-12-29,4256.08
2005-01-30,4254.85
2005-02-27,4350.49
2005-03-30,4348.77
2005-04-28,4184.84
2005-05-30,4460.63
2005-06-29,4586.28
2005-07-28,4886.5
2005-08-30,4829.69
2005-09-29,5044.12
2005-10-30,4929.07
2005-11-29,5193.4
2005-12-29,5408.26
2006-01-30,5674.15
2006-02-27,5796.04
2006-03-30,5970.08
2006-04-27,6009.89
2006-05-30,5692.86
2006-06-29,5683.31
2006-07-30,5681.97
2006-08-30,5859.57
2006-09-28,6004.33
2006-10-30,6268.92
2006-11-29,6309.19
2006-12-28,6596.92
2007-01-30,6789.11
2007-02-27,6715.44
2007-03-29,6917.03
2007-04-29,7408.87
2007-05-30,7883.04
2007-06-28,8007.32
2007-07-30,7584.14
2007-08-30,7638.17
2007-09-27,7861.51
2007-10-30,8019.22
2007-11-29,7870.52
2007-12-27,8067.32
2008-01-30,6851.75
2008-02-28,6748.13
2008-03-30,6534.97
2008-04-29,6948.82
2008-05-29,7096.79
2008-06-29,6418.32
2008-07-30,6479.56
2008-08-28,6422.3
2008-09-29,5831.02
2008-10-30,4987.97
2008-11-27,4669.44
2008-12-29,4810.2
2009-01-29,4338.35
2009-02-26,3843.74
2009-03-30,4084.76
2009-04-29,4769.45
2009-05-28,4940.82
2009-06-29,4808.64
2009-07-30,5332.14
2009-08-30,5464.61
2009-09-29,5675.16
2009-10-29,5414.96
2009-11-29,5625.95
2009-12-29,5957.43
2010-01-28,5608.79
2010-02-25,5598.46
2010-03-30,6153.55
2010-04-29,6135.7
2010-05-30,5964.33
2010-06-29,5965.52
2010-07-29,6147.97
2010-08-30,5925.22
2010-09-29,6229.02
2010-10-28,6601.37
2010-11-29,6688.49
2010-12-30,6914.1899
2011-01-30,7077.48
2011-02-27,7272.32
2011-03-30,7041.31
2011-04-28,7514.46
2011-05-30,7293.69
2011-06-29,7376.24
2011-07-28,7158.77
2011-08-30,5784.85
2011-09-29,5502.02
2011-10-30,6141.34
2011-11-29,6088.84
2011-12-29,5898.35
2012-01-30,6458.91
2012-02-28,6856.08
2012-03-29,6946.83
2012-04-29,6761.19
2012-05-30,6264.38
2012-06-28,6416.28
2012-07-30,6772.26
2012-08-30,6970.79
2012-09-27,7216.15
2012-10-30,7260.63
2012-11-29,7405.5
2012-12-30,7612.3901
2013-01-30,7776.05
2013-02-27,7741.7
2013-03-27,7795.31
2013-04-29,7913.71
2013-05-30,8348.84
