date,value
1990-11-29,3474.4
1990-12-27,3370.74
1991-01-30,3403.19
1991-02-27,3690.07
1991-03-27,3638.49
1991-04-29,3831.13
1991-05-30,4053.66
1991-06-27,3847.49
1991-07-30,3842.08
1991-08-29,3897.42
1991-09-29,3778.1
1991-10-30,3714.15
1991-11-28,3667.08
1991-12-29,3691.09
1992-01-30,3941.5
1992-02-27,4061.34
1992-03-30,3977.94
1992-04-29,4009.47
1992-05-28,4163.51
1992-06-29,4032.24
1992-07-30,3708.65
1992-08-30,3528.48
1992-09-29,3347.51
1992-10-29,3394.62
1992-11-29,3507.96
1992-12-29,3512.26
1993-01-28,3555.64
1993-02-25,3796.8
1993-03-30,3783.13
1993-04-29,3644.94
1993-05-27,3650.4
1993-06-29,3792.1
1993-07-29,4027.99
1993-08-30,4332.52
1993-09-29,4258.65
1993-10-28,4580.5
1993-11-29,4552.58
1993-12-29,5014.74
1994-01-30,4804.22
1994-02-27,4598.97
1994-03-30,4674.29
1994-04-28,4915.01
1994-05-30,4652.97
1994-06-29,4414.07
1994-07-28,4665.83
1994-08-30,4790.57
1994-09-29,4343.56
1994-10-30,4469.68
1994-11-29,4413.5
1994-12-29,4539.13
1995-01-30,4337.94
1995-02-27,4493.62
1995-03-30,4096.14
1995-04-27,4280.78
1995-05-30,4434.05
1995-06-29,4407.77
1995-07-30,4692.89
1995-08-30,4721.96
1995-09-28,4604.71
1995-10-30,4549.64
1995-11-29,4709.89
1995-12-28,4736.29
1996-01-30,5160.35
1996-02-28,5150.98
1996-03-28,5150
1996-04-29,5170.26
1996-05-30,5237.6
1996-06-27,5272.54
1996-07-30,5081.67
1996-08-29,5216.34
1996-09-29,5420.78
1996-10-30,5418.74
1996-11-28,5787.18
1996-12-29,5875.04
1997-01-30,6153.6
1997-02-27,6587.84
1997-03-26,6913.09
1997-04-29,6922.58
1997-05-29,7177.94
1997-06-29,7579.88
1997-07-30,8853.85
1997-08-28,7863.03
1997-09-29,8313.95
1997-10-30,7492.56
1997-11-27,7933.4
1997-12-29,8447.58
1998-01-29,8867.43
1998-02-26,9351.88
1998-03-30,10136.81
1998-04-29,10138.22
1998-05-28,11034.2
1998-06-29,11670.45
1998-07-30,11609.67
1998-08-30,9542.38
1998-09-29,8822.14
1998-10-29,9187.32
1998-11-29,9878.82
1998-12-29,9844.88
1999-01-28,10130.26
1999-02-25,9631.36
1999-03-30,9548.2
1999-04-29,10466.95
1999-05-30,9839.53
1999-06-29,10438.63
1999-07-29,9872.01
1999-08-30,10174.42
1999-09-29,9893.59
1999-10-28,10596.19
1999-11-29,11300.25
1999-12-29,13335.86
2000-01-30,13062.19
2000-02-28,14521.89
2000-03-30,14318.17
2000-04-27,13962.01
2000-05-30,13372.08
2000-06-29,12885.23
2000-07-30,13422.12
2000-08-30,13470.84
2000-09-28,12624.08
2000-10-30,13120.08
2000-11-29,11806.18
2000-12-28,11926.6
2001-01-30,12517.61
2001-02-27,11390.92
2001-03-29,10672.71
2001-04-29,11422.74
2001-05-30,11115.01
2001-06-28,10978.67
2001-07-30,10651.24
2001-08-30,9428.23
