date,value
1986-12-30,2568.3
1987-01-27,2553.3
1987-02-26,2877.8999
1987-03-30,2713.8
1987-04-29,2659.8999
1987-05-28,2950.8
1987-06-29,3178.2
1987-07-30,3479.2
1987-08-27,3611.7
1987-09-29,3943.6001
1987-10-29,2204.5
1987-11-29,2138.3999
1987-12-30,2302.8
1988-01-28,2409.7
1988-02-28,2418.1001
1988-03-30,2544
1988-04-28,2602.8999
1988-05-30,2496.7
1988-06-29,2671.5
1988-07-28,2678.8999
1988-08-30,2443.8
1988-09-29,2441
1988-10-30,2627.3999
1988-11-29,2659.3
1988-12-29,2687.3999
1989-01-30,3072.8999
1989-02-27,3012.7
1989-03-30,3005
1989-04-27,3116
1989-05-30,2743.8999
1989-06-29,2273.8999
1989-07-30,2571.1001
1989-08-30,2508.6001
1989-09-28,2758.2
1989-10-30,2725.3
1989-11-29,2748.3999
1989-12-28,2836.6001
1990-01-30,2751.6001
1990-02-27,2952
1990-03-29,2997
1990-04-29,2951
1990-05-30,3132
1990-06-28,3278
1990-07-30,3438
1990-08-30,3087
1990-09-27,2760
1990-10-30,2990
1990-11-29,2965
1990-12-30,3024
1991-01-30,3243
1991-02-27,3552
1991-03-27,3745
1991-04-29,3588
1991-05-30,3707
1991-06-27,3668
1991-07-30,4009
1991-08-29,3998
1991-09-29,3956.7
1991-10-30,4038.7
1991-11-28,4149.7998
1991-12-30,4297.2998
1992-01-30,4601.7998
1992-02-27,4929.1001
1992-03-30,4938.2998
1992-04-29,5369.6001
1992-05-28,6080.2002
1992-06-29,6103.8999
1992-07-30,5881.1001
1992-08-27,5628.6001
1992-09-29,5505.3999
1992-10-29,6190.7002
1992-11-29,5810.6001
1992-12-30,5512.3999
1993-01-28,5751.3999
1993-02-25,6352
1993-03-30,6388.8999
1993-04-29,6830.5
1993-05-30,7372.2002
1993-06-29,7099.2998
1993-07-29,6989
1993-08-30,7549.7002
1993-09-29,7676.2002
1993-10-28,9329.0996
1993-11-29,9125.2002
1993-12-30,11888.4004
1994-01-30,11487
1994-02-27,10410.2002
1994-03-30,9029.9004
1994-04-28,8966.0996
1994-05-30,9553.5996
1994-06-29,8758.4004
1994-07-28,9482.7998
1994-08-30,9929.4004
1994-09-29,9521.2002
1994-10-30,9646.2998
1994-11-29,8466.2998
1994-12-29,8191
1995-01-29,7342.7002
1995-02-27,8327.5
1995-03-30,8587.7002
1995-04-27,8361
1995-05-30,9407.4004
1995-06-29,9206.5
1995-07-30,9453.4004
1995-08-30,9179.9004
1995-09-28,9646.2998
1995-10-30,9782.4004
1995-11-29,9813.2998
1995-12-28,10073.4004
1996-01-30,11359.7002
1996-02-28,11125.7002
1996-03-28,10957.2002
1996-04-29,10964.5
1996-05-30,11264.7002
1996-06-27,11020.9004
1996-07-30,10681.4004
1996-08-29,11159
1996-09-29,11902.4004
1996-10-30,12477.5996
1996-11-28,13393.9004
1996-12-30,13451.5
1997-01-30,13321.7998
1997-02-27,13398.7002
1997-03-26,12534.2998
1997-04-29,12903.2998
1997-05-29,14757.7998
1997-06-26,15196.7998
1997-07-30,16365.7002
1997-08-28,14135.2002
1997-09-29,15049.2998
1997-10-30,10623.7998
1997-11-27,10526.9004
1997-12-30,10722.7998
1998-01-26,9252.4004
1998-02-26,11480.7002
1998-03-30,11518.7002
1998-04-29,10383.6797
1998-05-28,8934.5596
1998-06-29,8543.0996
1998-07-30,7936.2002
1998-08-30,7275.04
1998-09-29,7883.46
1998-10-29,10154.9404
1998-11-29,10402.3203
1998-12-30,10048.5801
1999-01-28,9506.9004
1999-02-25,9858.4902
1999-03-30,10942.2002
1999-04-29,13333.2002
1999-05-30,12147.1201
1999-06-29,13532.1397
1999-07-29,13186.8604
1999-08-30,13482.7695
1999-09-29,12733.2402
1999-10-28,13256.9502
1999-11-29,15377.1904
1999-12-29,16962.0996
2000-01-30,15532.34
2000-02-28,17169.44
2000-03-30,17406.54
2000-04-27,15519.3
2000-05-30,14713.86
2000-06-29,16155.78
2000-07-30,16840.98
2000-08-30,17097.51
2000-09-28,15648.98
2000-10-30,14895.34
2000-11-29,13984.39
2000-12-28,15095.53
2001-01-30,16102.35
2001-02-27,14787.87
2001-03-29,12760.64
2001-04-26,13386.04
2001-05-30,13174.41
2001-06-28,13042.53
2001-07-30,12316.69
2001-08-30,11090.48
2001-09-27,9950.7
2001-10-30,10073.97
2001-11-29,11279.25
2001-12-30,11397.21
2002-01-30,10725.3
2002-02-27,10482.55
2002-03-27,11032.92
2002-04-29,11497.58
2002-05-30,11301.94
2002-06-27,10598.55
2002-07-30,10267.36
2002-08-29,10043.87
2002-09-29,9072.21
2002-10-30,9441.25
2002-11-28,10069.87
2002-12-30,9321.29
2003-01-29,9258.95
2003-02-27,9122.66
2003-03-30,8634.45
2003-04-29,8717.22
2003-05-29,9487.38
2003-06-29,9577.12
2003-07-30,10134.83
2003-08-28,10908.99
2003-09-29,11229.8
2003-10-30,12190.1
2003-11-27,12317.47
2003-12-30,12575.94
2004-01-29,13289.37
2004-02-26,13907.03
2004-03-30,12681.67
2004-04-29,11942.96
2004-05-30,12198.24
2004-06-29,12285.75
2004-07-29,12238.03
2004-08-30,12850.28
2004-09-29,13120.03
2004-10-28,13054.66
2004-11-29,14060.05
2004-12-30,14230.14
2005-01-30,13721.69
2005-02-27,14195.35
2005-03-30,13516.88
2005-04-28,13908.97
